#LIBRARY    ENDF/B-VII.1
#REACTION   AL-27(N,EL)AL-27-L0,SIG
#NUCLEUS    Al-27
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       15.6821      Lin-Lin
 1.10304E-05 14.9371      Lin-Lin
 1.21669E-05 14.228       Lin-Lin
 1.34206E-05 13.5532      Lin-Lin
 1.48034E-05 12.9109      Lin-Lin
 1.63286E-05 12.2996      Lin-Lin
 1.80947E-05 11.6912      Lin-Lin
 1.99591E-05 11.139       Lin-Lin
 2.20157E-05 10.6136      Lin-Lin
 2.42841E-05 10.1137      Lin-Lin
 2.67863E-05 9.63817      Lin-Lin
 2.95462E-05 9.18579      Lin-Lin
 3.25906E-05 8.75548      Lin-Lin
 3.59486E-05 8.34622      Lin-Lin
 3.96527E-05 7.95702      Lin-Lin
 4.37383E-05 7.58696      Lin-Lin
 4.8245E-05  7.23512      Lin-Lin
 5.3216E-05  6.90067      Lin-Lin
 5.86992E-05 6.5828       Lin-Lin
 6.47474E-05 6.28075      Lin-Lin
 7.19191E-05 5.97391      Lin-Lin
 7.9889E-05  5.6834       Lin-Lin
 8.87378E-05 5.40869      Lin-Lin
 9.85715E-05 5.14875      Lin-Lin
 0.00010949  4.9031       Lin-Lin
 0.000121623 4.67084      Lin-Lin
 0.000135094 4.45152      Lin-Lin
 0.000150065 4.24434      Lin-Lin
 0.000166687 4.04888      Lin-Lin
 0.000185159 3.86444      Lin-Lin
 0.000205668 3.69066      Lin-Lin
 0.000228459 3.52688      Lin-Lin
 0.000253764 3.37278      Lin-Lin
 0.000281886 3.22777      Lin-Lin
 0.000313109 3.09157      Lin-Lin
 0.000347807 2.96365      Lin-Lin
 0.000389056 2.83599      Lin-Lin
 0.000435198 2.71693      Lin-Lin
 0.000486812 2.60607      Lin-Lin
 0.000544547 2.50298      Lin-Lin
 0.00060913  2.4073       Lin-Lin
 0.000686144 2.31334      Lin-Lin
 0.000772935 2.22684      Lin-Lin
 0.00087066  2.14747      Lin-Lin
 0.000980789 2.07476      Lin-Lin
 0.00111259  2.00464      Lin-Lin
 0.0012621   1.94112      Lin-Lin
 0.00144173  1.88076      Lin-Lin
 0.00165854  1.82405      Lin-Lin
 0.00190796  1.7738       Lin-Lin
 0.00221037  1.72735      Lin-Lin
 0.00257865  1.68495      Lin-Lin
 0.00305073  1.64518      Lin-Lin
 0.00363452  1.61003      Lin-Lin
 0.00439132  1.57825      Lin-Lin
 0.00541826  1.54924      Lin-Lin
 0.00682716  1.52362      Lin-Lin
 0.00884728  1.50112      Lin-Lin
 0.0119567   1.48134      Lin-Lin
 0.0169715   1.46471      Lin-Lin
 0.0252117   1.45175      Lin-Lin
 0.0253      1.45165      Lin-Lin
 0.0427851   1.44078      Lin-Lin
 0.0874161   1.43275      Lin-Lin
 0.268123    1.42755      Lin-Lin
 4.41767     1.4249       Lin-Lin
 733.97      1.38019      Lin-Lin
 1777.62     1.32933      Lin-Lin
 3291.11     1.26824      Lin-Lin
 4645.78     1.22158      Lin-Lin
 5108.7      1.21164      Lin-Lin
 5177.92     1.21144      Lin-Lin
 5350.96     1.21533      Lin-Lin
 5454.78     1.22426      Lin-Lin
 5519.67     1.2357       Lin-Lin
 5571.58     1.25131      Lin-Lin
 5610.51     1.26969      Lin-Lin
 5636.47     1.2871       Lin-Lin
 5662.42     1.31084      Lin-Lin
 5681.89     1.33459      Lin-Lin
 5701.36     1.36589      Lin-Lin
 5714.34     1.39251      Lin-Lin
 5727.31     1.42536      Lin-Lin
 5740.29     1.46651      Lin-Lin
 5750.02     1.50455      Lin-Lin
 5759.76     1.55067      Lin-Lin
 5769.17     1.60518      Lin-Lin
 5777.93     1.66737      Lin-Lin
 5783.77     1.71656      Lin-Lin
 5789.61     1.77344      Lin-Lin
 5795.88     1.84533      Lin-Lin
 5800.58     1.90805      Lin-Lin
 5805.29     1.97987      Lin-Lin
 5809.99     2.06255      Lin-Lin
 5814.7      2.15848      Lin-Lin
 5819.02     2.26117      Lin-Lin
 5822.27     2.34908      Lin-Lin
 5825.51     2.44801      Lin-Lin
 5828.76     2.55987      Lin-Lin
 5832        2.68699      Lin-Lin
 5835.25     2.83226      Lin-Lin
 5838.49     2.99927      Lin-Lin
 5840.65     3.12489      Lin-Lin
 5842.82     3.2638       Lin-Lin
 5844.98     3.41792      Lin-Lin
 5847.14     3.58955      Lin-Lin
 5849.31     3.78142      Lin-Lin
 5851.04     3.95166      Lin-Lin
 5852.77     4.13891      Lin-Lin
 5854.5      4.34546      Lin-Lin
 5856.23     4.57399      Lin-Lin
 5857.96     4.82766      Lin-Lin
 5859.69     5.11032      Lin-Lin
 5861.42     5.42661      Lin-Lin
 5863.15     5.7821       Lin-Lin
 5864.79     6.16221      Lin-Lin
 5866.02     6.47854      Lin-Lin
 5867.26     6.82544      Lin-Lin
 5868.49     7.20688      Lin-Lin
 5869.72     7.6275       Lin-Lin
 5871.02     8.11859      Lin-Lin
 5872.32     8.66665      Lin-Lin
 5873.62     9.2806       Lin-Lin
 5874.91     9.97111      Lin-Lin
 5875.78     10.4802      Lin-Lin
 5876.65     11.0335      Lin-Lin
 5877.51     11.6358      Lin-Lin
 5878.38     12.2931      Lin-Lin
 5879.24     13.0119      Lin-Lin
 5880.11     13.7996      Lin-Lin
 5880.97     14.6649      Lin-Lin
 5881.84     15.6175      Lin-Lin
 5882.7      16.6688      Lin-Lin
 5883.57     17.8316      Lin-Lin
 5884.43     19.1208      Lin-Lin
 5885.3      20.553       Lin-Lin
 5885.95     21.7325      Lin-Lin
 5886.59     23.012       Lin-Lin
 5887.24     24.4014      Lin-Lin
 5887.89     25.9111      Lin-Lin
 5888.54     27.5522      Lin-Lin
 5889.19     29.3366      Lin-Lin
