#LIBRARY    ENDF/B-VII.1
#REACTION   B-11(N,EL)B-11-L0,SIG
#NUCLEUS    B-11
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       83.2072      Lin-Lin
 1.10304E-05 79.2374      Lin-Lin
 1.21669E-05 75.4581      Lin-Lin
 1.34206E-05 71.8603      Lin-Lin
 1.48034E-05 68.4353      Lin-Lin
 1.63286E-05 65.1749      Lin-Lin
 1.80111E-05 62.0712      Lin-Lin
 1.98669E-05 59.1167      Lin-Lin
 2.19139E-05 56.3045      Lin-Lin
 2.41719E-05 53.6276      Lin-Lin
 2.66625E-05 51.0797      Lin-Lin
 2.94097E-05 48.6546      Lin-Lin
 3.244E-05   46.3465      Lin-Lin
 3.57825E-05 44.1499      Lin-Lin
 3.94694E-05 42.0594      Lin-Lin
 4.35362E-05 40.07        Lin-Lin
 4.80221E-05 38.1771      Lin-Lin
 5.29701E-05 36.3759      Lin-Lin
 5.8428E-05  34.6621      Lin-Lin
 6.44482E-05 33.0318      Lin-Lin
 7.10888E-05 31.4808      Lin-Lin
 7.84136E-05 30.0055      Lin-Lin
 8.64931E-05 28.6023      Lin-Lin
 9.54051E-05 27.268       Lin-Lin
 0.000105235 25.9991      Lin-Lin
 0.000116078 24.7928      Lin-Lin
 0.000128039 23.646       Lin-Lin
 0.000141232 22.556       Lin-Lin
 0.000155784 21.5203      Lin-Lin
 0.000171835 20.5362      Lin-Lin
 0.000190877 19.5363      Lin-Lin
 0.00021202  18.5906      Lin-Lin
 0.000235515 17.6958      Lin-Lin
 0.000261602 16.8501      Lin-Lin
 0.000290592 16.0503      Lin-Lin
 0.000322779 15.2951      Lin-Lin
 0.000358548 14.5816      Lin-Lin
 0.000398262 13.9084      Lin-Lin
 0.000442397 13.273       Lin-Lin
 0.000491399 12.6743      Lin-Lin
 0.000545854 12.1099      Lin-Lin
 0.000606315 11.5788      Lin-Lin
 0.000673505 11.0789      Lin-Lin
 0.000748105 10.6093      Lin-Lin
 0.000831009 10.1681      Lin-Lin
 0.000923054 9.75438      Lin-Lin
 0.00103253  9.34173      Lin-Lin
 0.00115498  8.95729      Lin-Lin
 0.00129196  8.59968      Lin-Lin
 0.00144519  8.26755      Lin-Lin
 0.00161659  7.95965      Lin-Lin
 0.00182107  7.65762      Lin-Lin
 0.00205131  7.38024      Lin-Lin
 0.00231078  7.12591      Lin-Lin
 0.00262131  6.88042      Lin-Lin
 0.00297356  6.65785      Lin-Lin
 0.00339677  6.44612      Lin-Lin
 0.00388041  6.25639      Lin-Lin
 0.00446397  6.07868      Lin-Lin
 0.00517125  5.91426      Lin-Lin
 0.00603285  5.76395      Lin-Lin
 0.00708765  5.62822      Lin-Lin
 0.00844395  5.50254      Lin-Lin
 0.0102022   5.38877      Lin-Lin
 0.0124999   5.28804      Lin-Lin
 0.0156406   5.19811      Lin-Lin
 0.0201267   5.1183       Lin-Lin
 0.0252419   5.0619       Lin-Lin
 0.0253      5.06139      Lin-Lin
 0.0349188   5.00041      Lin-Lin
 0.051332    4.94912      Lin-Lin
 0.0826521   4.90777      Lin-Lin
 0.154168    4.87633      Lin-Lin
 0.383242    4.85462      Lin-Lin
 2.11718     4.84265      Lin-Lin
 2555.43     4.84         Lin-Lin
 2573.33     4.84         Lin-Lin
 2591.48     4.84         Lin-Lin
 2798.99     4.84         Lin-Lin
 2818.73     4.84         Lin-Lin
 2838.47     4.84         Lin-Lin
 2858.5      4.84         Lin-Lin
 2898.82     4.84         Lin-Lin
 2919.13     4.84         Lin-Lin
 2939.72     4.84         Lin-Lin
 3023.26     4.84         Lin-Lin
 3044.43     4.84         Lin-Lin
 3065.91     4.84         Lin-Lin
 3130.94     4.84         Lin-Lin
 3153.03     4.84         Lin-Lin
 3219.91     4.84         Lin-Lin
 3242.62     4.84         Lin-Lin
 3265.34     4.84         Lin-Lin
 3288.37     4.84         Lin-Lin
 3311.4      4.84         Lin-Lin
 3334.76     4.84         Lin-Lin
 3358.12     4.84         Lin-Lin
 3381.81     4.84         Lin-Lin
 3405.5      4.84         Lin-Lin
 3429.52     4.84         Lin-Lin
 3704.13     4.84         Lin-Lin
 3730.26     4.84         Lin-Lin
 4172.67     4.84         Lin-Lin
 4382.26     4.84         Lin-Lin
 4413.17     4.84         Lin-Lin
 4444.08     4.84         Lin-Lin
 4475.43     4.84         Lin-Lin
 4538.57     4.84         Lin-Lin
 11108.2     4.8458       Lin-Lin
 19546       4.89415      Lin-Lin
 19637       4.99503      Lin-Lin
 19716.6     5.18476      Lin-Lin
 19728       5.2257       Lin-Lin
 19745       5.32163      Lin-Lin
 19847       5.99312      Lin-Lin
 19853.4     6.05555      Lin-Lin
 19859.8     6.15623      Lin-Lin
 19864       6.25683      Lin-Lin
 19868.2     6.38811      Lin-Lin
 19872.5     6.54726      Lin-Lin
 19881       6.92048      Lin-Lin
 19908.6     8.24802      Lin-Lin
 19915       8.59314      Lin-Lin
 19918.2     8.80147      Lin-Lin
 19921.4     9.05746      Lin-Lin
 19923.5     9.26657      Lin-Lin
 19925.6     9.51551      Lin-Lin
 19927.8     9.81167      Lin-Lin
 19929.9     10.1612      Lin-Lin
 19932       10.5681      Lin-Lin
 19934.2     11.0632      Lin-Lin
 19936.5     11.6232      Lin-Lin
 19938.8     12.2438      Lin-Lin
 19941       12.9196      Lin-Lin
 19944.4     14.0256      Lin-Lin
 19947.8     15.2388      Lin-Lin
 19950       16.1174      Lin-Lin
 19952.2     17.0712      Lin-Lin
 19954.5     18.1282      Lin-Lin
 19956.2     19.0109      Lin-Lin
 19957.9     19.9918      Lin-Lin
 19959.6     21.0916      Lin-Lin
 19961.2     22.3322      Lin-Lin
 19962.9     23.7343      Lin-Lin
 19964.6     25.3172      Lin-Lin
 19966.3     27.0962      Lin-Lin
 19968       29.0825      Lin-Lin
 19969.3     30.7746      Lin-Lin
 19970.6     32.5961      Lin-Lin
 19972.6     35.5662      Lin-Lin
 19974.6     38.808       Lin-Lin
 19976.5     42.2971      Lin-Lin
 19979.2     47.2726      Lin-Lin
 19983.1     55.1893      Lin-Lin
 19986.4     61.8428      Lin-Lin
 19989       66.8804      Lin-Lin
 19991.1     70.4574      Lin-Lin
 19993.1     73.5334      Lin-Lin
 19994.5     75.2316      Lin-Lin
 19995.9     76.6007      Lin-Lin
 19997.2     77.6071      Lin-Lin
 19998.6     78.2248      Lin-Lin
 20000       78.4378      Lin-Lin
 20001.5     78.2024      Lin-Lin
 20003       77.4866      Lin-Lin
 20004.5     76.3131      Lin-Lin
 20006       74.7177      Lin-Lin
 20007.5     72.7469      Lin-Lin
 20009       70.4546      Lin-Lin
