#LIBRARY    CENDL-3.1
#REACTION   C-12(N,EL)C-12-L0,SIG
#NUCLEUS    C-12
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       78.203       Lin-Lin
 1.10304E-05 74.4729      Lin-Lin
 1.21669E-05 70.9219      Lin-Lin
 1.34206E-05 67.5415      Lin-Lin
 1.48034E-05 64.3234      Lin-Lin
 1.63286E-05 61.2601      Lin-Lin
 1.80111E-05 58.344       Lin-Lin
 1.98669E-05 55.5683      Lin-Lin
 2.19139E-05 52.9262      Lin-Lin
 2.41719E-05 50.4113      Lin-Lin
 2.66625E-05 48.0177      Lin-Lin
 2.94097E-05 45.7396      Lin-Lin
 3.244E-05   43.5714      Lin-Lin
 3.57825E-05 41.508       Lin-Lin
 3.94694E-05 39.5444      Lin-Lin
 4.35362E-05 37.6759      Lin-Lin
 4.80221E-05 35.898       Lin-Lin
 5.29701E-05 34.2065      Lin-Lin
 5.8428E-05  32.5971      Lin-Lin
 6.44482E-05 31.0662      Lin-Lin
 7.10888E-05 29.6099      Lin-Lin
 7.84136E-05 28.2248      Lin-Lin
 8.64931E-05 26.9075      Lin-Lin
 9.54051E-05 25.655       Lin-Lin
 0.000105235 24.4641      Lin-Lin
 0.000116078 23.332       Lin-Lin
 0.000128039 22.2559      Lin-Lin
 0.000141459 21.217       Lin-Lin
 0.000156035 20.2463      Lin-Lin
 0.000173326 19.2599      Lin-Lin
 0.000192524 18.327       Lin-Lin
 0.000213859 17.4442      Lin-Lin
 0.000237547 16.6098      Lin-Lin
 0.000263872 15.8207      Lin-Lin
 0.000293099 15.0756      Lin-Lin
 0.00032558  14.3715      Lin-Lin
 0.000361642 13.7072      Lin-Lin
 0.000401718 13.0801      Lin-Lin
 0.000446214 12.4892      Lin-Lin
 0.000495662 11.9321      Lin-Lin
 0.000550564 11.4079      Lin-Lin
 0.000611576 10.9144      Lin-Lin
 0.000679316 10.4507      Lin-Lin
 0.000754597 10.0151      Lin-Lin
 0.000838178 9.60656      Lin-Lin
 0.000937585 9.19899      Lin-Lin
 0.00105028  8.81456      Lin-Lin
 0.00117484  8.46156      Lin-Lin
 0.00131418  8.13368      Lin-Lin
 0.00147004  7.82966      Lin-Lin
 0.0016559   7.53149      Lin-Lin
 0.00186536  7.25738      Lin-Lin
 0.0021012   7.0062       Lin-Lin
 0.00238356  6.76359      Lin-Lin
 0.00270386  6.54356      Lin-Lin
 0.00308885  6.33412      Lin-Lin
 0.00352847  6.14651      Lin-Lin
 0.0040591   5.97066      Lin-Lin
 0.00470246  5.80784      Lin-Lin
 0.00548596  5.65895      Lin-Lin
 0.00643691  5.5254       Lin-Lin
 0.00766868  5.40055      Lin-Lin
 0.00926551  5.28735      Lin-Lin
 0.0113522   5.18692      Lin-Lin
 0.0142046   5.09698      Lin-Lin
 0.0182788   5.01689      Lin-Lin
 0.0241898   4.94853      Lin-Lin
 0.0252641   4.93955      Lin-Lin
 0.0253      4.93926      Lin-Lin
 0.0354114   4.88183      Lin-Lin
 0.0531604   4.83422      Lin-Lin
 0.0882803   4.79635      Lin-Lin
 0.172698    4.76868      Lin-Lin
 0.493867    4.75023      Lin-Lin
 5.34248     4.74097      Lin-Lin
 32657.3     4.62497      Lin-Lin
 135580      4.30141      Lin-Lin
 145000      4.28384      Lin-Lin
 148125      4.2997       Lin-Lin
 148750      4.30715      Lin-Lin
 150000      4.34028      Lin-Lin
 151000      4.39399      Lin-Lin
 152000      4.47616      Lin-Lin
 152900      4.51949      Lin-Lin
 153950      4.4575       Lin-Lin
 155000      4.3734       Lin-Lin
 156000      4.32128      Lin-Lin
 158000      4.27116      Lin-Lin
 161250      4.23936      Lin-Lin
 173615      4.19219      Lin-Lin
 268140      3.93763      Lin-Lin
 367510      3.6943       Lin-Lin
 469316      3.4686       Lin-Lin
 569618      3.26695      Lin-Lin
 689352      3.04846      Lin-Lin
 817009      2.84014      Lin-Lin
 944667      2.65351      Lin-Lin
 1.07539E+06 2.48169      Lin-Lin
 1.19998E+06 2.3342       Lin-Lin
 1.31834E+06 2.20675      Lin-Lin
 1.4451E+06  2.08327      Lin-Lin
 1.59722E+06 1.94952      Lin-Lin
 1.7225E+06  1.8504       Lin-Lin
 1.725E+06   1.85014      Lin-Lin
 1.736E+06   1.86239      Lin-Lin
 1.745E+06   1.84085      Lin-Lin
 1.755E+06   1.82802      Lin-Lin
 1.98876E+06 1.67718      Lin-Lin
 2.025E+06   1.65914      Lin-Lin
 2.0495E+06  1.68437      Lin-Lin
 2.053E+06   1.7021       Lin-Lin
 2.056E+06   1.72796      Lin-Lin
 2.058E+06   1.7544       Lin-Lin
 2.06E+06    1.79201      Lin-Lin
 2.0615E+06  1.83159      Lin-Lin
 2.0625E+06  1.86514      Lin-Lin
 2.063E+06   1.88392      Lin-Lin
 2.064E+06   1.92982      Lin-Lin
 2.065E+06   1.98736      Lin-Lin
 2.066E+06   2.06025      Lin-Lin
 2.067E+06   2.15354      Lin-Lin
 2.068E+06   2.27502      Lin-Lin
 2.069E+06   2.43477      Lin-Lin
 2.07E+06    2.64761      Lin-Lin
 2.07075E+06 2.8585       Lin-Lin
 2.071E+06   2.93335      Lin-Lin
 2.07175E+06 3.21658      Lin-Lin
 2.072E+06   3.31679      Lin-Lin
 2.07275E+06 3.69126      Lin-Lin
 2.073E+06   3.82239      Lin-Lin
 2.07375E+06 4.29273      Lin-Lin
 2.074E+06   4.45379      Lin-Lin
 2.075E+06   5.15292      Lin-Lin
 2.07588E+06 5.68882      Lin-Lin
 2.076E+06   5.75393      Lin-Lin
 2.07625E+06 5.83563      Lin-Lin
 2.07694E+06 6.01979      Lin-Lin
 2.077E+06   6.02668      Lin-Lin
 2.07719E+06 6.01095      Lin-Lin
 2.07788E+06 5.89203      Lin-Lin
 2.078E+06   5.85961      Lin-Lin
 2.07825E+06 5.74708      Lin-Lin
 2.079E+06   5.36873      Lin-Lin
 2.08E+06    4.76692      Lin-Lin
 2.081E+06   4.20248      Lin-Lin
 2.082E+06   3.73188      Lin-Lin
 2.083E+06   3.35897      Lin-Lin
 2.084E+06   3.0682       Lin-Lin
 2.085E+06   2.84171      Lin-Lin
 2.086E+06   2.66396      Lin-Lin
 2.087E+06   2.52282      Lin-Lin
 2.088E+06   2.40929      Lin-Lin
 2.089E+06   2.31719      Lin-Lin
 2.09E+06    2.24117      Lin-Lin
 2.091E+06   2.17797      Lin-Lin
 2.092E+06   2.12479      Lin-Lin
 2.0935E+06  2.06004      Lin-Lin
 2.095E+06   2.00752      Lin-Lin
 2.097E+06   1.95302      Lin-Lin
 2.099E+06   1.91059      Lin-Lin
 2.102E+06   1.86253      Lin-Lin
 2.104E+06   1.8377       Lin-Lin
 2.108E+06   1.79969      Lin-Lin
 2.112E+06   1.77216      Lin-Lin
 2.12E+06    1.73474      Lin-Lin
 2.14E+06    1.68633      Lin-Lin
 2.16E+06    1.66111      Lin-Lin
 2.18E+06    1.6445       Lin-Lin
 2.22E+06    1.6219       Lin-Lin
 2.28E+06    1.6004       Lin-Lin
 2.34E+06    1.5878       Lin-Lin
 2.4E+06     1.5829       Lin-Lin
 2.46E+06    1.5866       Lin-Lin
 2.52E+06    1.6004       Lin-Lin
 2.56E+06    1.6165       Lin-Lin
 2.6E+06     1.6395       Lin-Lin
 2.64E+06    1.6709       Lin-Lin
 2.68E+06    1.7132       Lin-Lin
