#LIBRARY    JEFF-3.2
#REACTION   C-13(N,EL)C-13-L0,SIG
#NUCLEUS    C-13
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       66.3415      Lin-Lin
 1.10304E-05 63.1781      Lin-Lin
 1.21669E-05 60.1665      Lin-Lin
 1.34206E-05 57.2997      Lin-Lin
 1.48034E-05 54.5706      Lin-Lin
 1.63286E-05 51.9728      Lin-Lin
 1.80111E-05 49.5         Lin-Lin
 1.98669E-05 47.1461      Lin-Lin
 2.19139E-05 44.9057      Lin-Lin
 2.41719E-05 42.7732      Lin-Lin
 2.66625E-05 40.7436      Lin-Lin
 2.94097E-05 38.812       Lin-Lin
 3.244E-05   36.9737      Lin-Lin
 3.57825E-05 35.2243      Lin-Lin
 3.94694E-05 33.5597      Lin-Lin
 4.35362E-05 31.9757      Lin-Lin
 4.80221E-05 30.4685      Lin-Lin
 5.29701E-05 29.0347      Lin-Lin
 5.8428E-05  27.6707      Lin-Lin
 6.44482E-05 26.3731      Lin-Lin
 7.10888E-05 25.139       Lin-Lin
 7.84136E-05 23.9653      Lin-Lin
 8.64931E-05 22.8493      Lin-Lin
 9.54051E-05 21.7881      Lin-Lin
 0.000105235 20.7793      Lin-Lin
 0.000116078 19.8205      Lin-Lin
 0.000128039 18.9092      Lin-Lin
 0.000141232 18.0434      Lin-Lin
 0.000156883 17.1636      Lin-Lin
 0.000174259 16.3315      Lin-Lin
 0.00019357  15.544       Lin-Lin
 0.000215011 14.7997      Lin-Lin
 0.000238838 14.0957      Lin-Lin
 0.000265292 13.4309      Lin-Lin
 0.000294692 12.8027      Lin-Lin
 0.000327333 12.2099      Lin-Lin
 0.000363607 11.6503      Lin-Lin
 0.000403881 11.1229      Lin-Lin
 0.000448639 10.6256      Lin-Lin
 0.000498331 10.1576      Lin-Lin
 0.000553555 9.71699      Lin-Lin
 0.000614869 9.30294      Lin-Lin
 0.000683007 8.91385      Lin-Lin
 0.00075866  8.54892      Lin-Lin
 0.000848636 8.18477      Lin-Lin
 0.000949283 7.84539      Lin-Lin
 0.00106187  7.52956      Lin-Lin
 0.0011878   7.23611      Lin-Lin
 0.00132867  6.96393      Lin-Lin
 0.00149674  6.6968       Lin-Lin
 0.00168231  6.45563      Lin-Lin
 0.0018951   6.23006      Lin-Lin
 0.00214976  6.01218      Lin-Lin
 0.00243865  5.81448      Lin-Lin
 0.00278573  5.62626      Lin-Lin
 0.00318237  5.45746      Lin-Lin
 0.00366095  5.29922      Lin-Lin
