#LIBRARY    ENDF/B-VII.1
#REACTION   CA-44(N,EL)CA-44-L0,SIG
#NUCLEUS    Ca-44
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       28.6863      Lin-Lin
 1.10779E-05 27.2717      Lin-Lin
 1.22193E-05 25.9836      Lin-Lin
 1.34784E-05 24.758       Lin-Lin
 1.48671E-05 23.5919      Lin-Lin
 1.6399E-05  22.4825      Lin-Lin
 1.80887E-05 21.4272      Lin-Lin
 1.99525E-05 20.4234      Lin-Lin
 2.20083E-05 19.4686      Lin-Lin
 2.4276E-05  18.5607      Lin-Lin
 2.67773E-05 17.6974      Lin-Lin
 2.95364E-05 16.8767      Lin-Lin
 3.25797E-05 16.0964      Lin-Lin
 3.59366E-05 15.3549      Lin-Lin
 3.96394E-05 14.6503      Lin-Lin
 4.37238E-05 13.9808      Lin-Lin
 4.85692E-05 13.3006      Lin-Lin
 5.39488E-05 12.6574      Lin-Lin
 5.99273E-05 12.0487      Lin-Lin
 6.65651E-05 11.4735      Lin-Lin
 7.39417E-05 10.9295      Lin-Lin
 8.21317E-05 10.4159      Lin-Lin
 9.12334E-05 9.93071      Lin-Lin
 0.000101339 9.47295      Lin-Lin
 0.000112569 9.04095      Lin-Lin
 0.000125037 8.6339       Lin-Lin
 0.000138894 8.25023      Lin-Lin
 0.000154278 7.88923      Lin-Lin
 0.000171375 7.5495       Lin-Lin
 0.000190357 7.23038      Lin-Lin
 0.000211452 6.93062      Lin-Lin
 0.00023653  6.63144      Lin-Lin
 0.000264582 6.35241      Lin-Lin
 0.000295961 6.09253      Lin-Lin
 0.000331062 5.85086      Lin-Lin
 0.000370325 5.6265       Lin-Lin
 0.000414245 5.41857      Lin-Lin
 0.00046662  5.21477      Lin-Lin
 0.000525643 5.02754      Lin-Lin
 0.000592102 4.85609      Lin-Lin
 0.000671669 4.69062      Lin-Lin
 0.000761928 4.54067      Lin-Lin
 0.000870413 4.39806      Lin-Lin
 0.00100131  4.26409      Lin-Lin
 0.00115189  4.14532      Lin-Lin
 0.0013344   4.03551      Lin-Lin
 0.00155673  3.93519      Lin-Lin
 0.00184172  3.84106      Lin-Lin
 0.00219426  3.75784      Lin-Lin
 0.00265104  3.68259      Lin-Lin
 0.003271    3.6139       Lin-Lin
 0.00412175  3.55321      Lin-Lin
 0.0053411   3.49991      Lin-Lin
 0.00716805  3.45399      Lin-Lin
 0.0101036   3.41499      Lin-Lin
 0.015274    3.38275      Lin-Lin
 0.0252961   3.35778      Lin-Lin
 0.0253      3.35778      Lin-Lin
 0.0509724   3.33861      Lin-Lin
 0.150966    3.32606      Lin-Lin
 1.94649     3.31944      Lin-Lin
 499.394     3.12503      Lin-Lin
 1048.98     2.93588      Lin-Lin
 1625.02     2.76102      Lin-Lin
 2238.3      2.59673      Lin-Lin
 2905.44     2.43934      Lin-Lin
 3606.53     2.29338      Lin-Lin
 4345.29     2.15757      Lin-Lin
 5156.23     2.02582      Lin-Lin
 5975.97     1.90804      Lin-Lin
 6852.38     1.79559      Lin-Lin
 7878.76     1.67872      Lin-Lin
 8953.13     1.57013      Lin-Lin
 10169       1.46035      Lin-Lin
 11604       1.34306      Lin-Lin
 12091.3     1.30668      Lin-Lin
 12109.4     1.3063       Lin-Lin
 12139.3     1.30973      Lin-Lin
 12148.3     1.31486      Lin-Lin
 12155.5     1.32488      Lin-Lin
 12160.2     1.3397       Lin-Lin
 12162.4     1.35244      Lin-Lin
 12163.9     1.36706      Lin-Lin
 12164.8     1.38017      Lin-Lin
 12165.7     1.39971      Lin-Lin
 12166.4     1.42146      Lin-Lin
 12167       1.453        Lin-Lin
 12167.5     1.4803       Lin-Lin
 12167.9     1.51533      Lin-Lin
 12168.3     1.5603       Lin-Lin
 12168.6     1.60216      Lin-Lin
 12169       1.65245      Lin-Lin
 12169.3     1.7127       Lin-Lin
 12169.6     1.78463      Lin-Lin
 12169.9     1.87014      Lin-Lin
 12170.2     1.97125      Lin-Lin
 12170.5     2.04841      Lin-Lin
 12170.7     2.13897      Lin-Lin
 12170.9     2.23989      Lin-Lin
 12171.1     2.35202      Lin-Lin
 12171.4     2.4762       Lin-Lin
 12171.6     2.61327      Lin-Lin
 12171.8     2.76403      Lin-Lin
 12172       2.92928      Lin-Lin
 12172.3     3.10973      Lin-Lin
 12172.5     3.30606      Lin-Lin
 12172.7     3.51884      Lin-Lin
 12172.9     3.74853      Lin-Lin
 12173.2     3.99547      Lin-Lin
 12173.4     4.25988      Lin-Lin
 12173.7     4.68924      Lin-Lin
 12174.1     5.15724      Lin-Lin
 12174.4     5.71105      Lin-Lin
 12174.8     6.3051       Lin-Lin
 12175.2     6.93378      Lin-Lin
 12175.8     8.04863      Lin-Lin
 12176.7     9.76785      Lin-Lin
 12177.3     10.7117      Lin-Lin
 12177.6     11.2941      Lin-Lin
 12178       11.824       Lin-Lin
 12178.4     12.3401      Lin-Lin
 12178.7     12.7195      Lin-Lin
 12179.1     13.0122      Lin-Lin
 12179.5     13.2109      Lin-Lin
 12179.8     13.3074      Lin-Lin
 12180       13.3222      Lin-Lin
 12180.3     13.2893      Lin-Lin
 12180.6     13.1645      Lin-Lin
 12181       12.9601      Lin-Lin
 12181.2     12.7319      Lin-Lin
 12181.6     12.3483      Lin-Lin
 12182       11.8444      Lin-Lin
 12182.3     11.3378      Lin-Lin
 12182.9     10.4655      Lin-Lin
 12183.4     9.47274      Lin-Lin
 12184.5     7.4736       Lin-Lin
 12185       6.60397      Lin-Lin
 12185.5     5.88754      Lin-Lin
 12185.8     5.40576      Lin-Lin
 12186.1     4.95443      Lin-Lin
 12186.4     4.53541      Lin-Lin
 12186.7     4.14973      Lin-Lin
 12187       3.79778      Lin-Lin
 12187.2     3.56472      Lin-Lin
 12187.5     3.34863      Lin-Lin
 12187.7     3.14908      Lin-Lin
 12187.9     2.96551      Lin-Lin
 12188.1     2.79727      Lin-Lin
 12188.4     2.64364      Lin-Lin
 12188.6     2.50386      Lin-Lin
 12188.8     2.37712      Lin-Lin
 12189.1     2.24905      Lin-Lin
 12189.3     2.13527      Lin-Lin
 12189.6     2.03456      Lin-Lin
 12189.8     1.94573      Lin-Lin
 12190.1     1.86764      Lin-Lin
 12190.3     1.79926      Lin-Lin
 12190.5     1.75855      Lin-Lin
 12190.8     1.68753      Lin-Lin
 12191.2     1.62866      Lin-Lin
