#LIBRARY    ENDF/B-VII.1
#REACTION   CD-114(N,EL)CD-114-L0,SIG
#NUCLEUS    Cd-114
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       30.8037      Lin-Lin
 1.10304E-05 29.3736      Lin-Lin
 1.21669E-05 28.0141      Lin-Lin
 1.34206E-05 26.7219      Lin-Lin
 1.48034E-05 25.494       Lin-Lin
 1.63286E-05 24.3272      Lin-Lin
 1.81382E-05 23.1416      Lin-Lin
 2.01472E-05 22.0204      Lin-Lin
 2.23799E-05 20.9593      Lin-Lin
 2.48587E-05 19.9564      Lin-Lin
 2.76135E-05 19.008       Lin-Lin
 3.06721E-05 18.1123      Lin-Lin
 3.40711E-05 17.2659      Lin-Lin
 3.7845E-05  16.4674      Lin-Lin
 4.20389E-05 15.7136      Lin-Lin
 4.66952E-05 15.0032      Lin-Lin
 5.18699E-05 14.3335      Lin-Lin
 5.76152E-05 13.7032      Lin-Lin
 6.4E-05     13.1099      Lin-Lin
 7.10888E-05 12.5524      Lin-Lin
 7.89667E-05 12.0285      Lin-Lin
 8.77133E-05 11.5373      Lin-Lin
 9.8116E-05  11.0471      Lin-Lin
 0.000109753 10.5904      Lin-Lin
 0.000122769 10.1654      Lin-Lin
 0.000137329 9.77068      Lin-Lin
 0.000153616 9.40459      Lin-Lin
 0.000173047 9.04537      Lin-Lin
 0.000194926 8.71535      Lin-Lin
 0.000219582 8.41266      Lin-Lin
 0.00024909  8.12038      Lin-Lin
 0.000282563 7.85527      Lin-Lin
 0.000322779 7.60297      Lin-Lin
 0.000368737 7.3768       Lin-Lin
 0.000424189 7.16487      Lin-Lin
 0.000491399 6.9687       Lin-Lin
 0.000573273 6.78929      Lin-Lin
 0.000673505 6.62724      Lin-Lin
 0.000802387 6.47714      Lin-Lin
 0.000969466 6.34124      Lin-Lin
 0.0011878   6.22089      Lin-Lin
 0.00148625  6.11344      Lin-Lin
 0.00191254  6.01807      Lin-Lin
 0.00254888  5.93505      Lin-Lin
 0.00354258  5.86506      Lin-Lin
 0.0052442   5.8068       Lin-Lin
 0.00856308  5.75978      Lin-Lin
 0.016312    5.72446      Lin-Lin
 0.0252419   5.71062      Lin-Lin
 0.0253      5.71056      Lin-Lin
 0.091807    5.69198      Lin-Lin
 12.4575     5.6151       Lin-Lin
 42.1468     5.4243       Lin-Lin
 56.0812     5.3134       Lin-Lin
 56.3774     5.31567      Lin-Lin
 72.1796     5.14241      Lin-Lin
 80.74       5.01732      Lin-Lin
 87.2093     4.8923       Lin-Lin
 92.2359     4.76439      Lin-Lin
 96.1951     4.63319      Lin-Lin
 98.9285     4.5189       Lin-Lin
 101.027     4.41209      Lin-Lin
 103.175     4.27915      Lin-Lin
 104.631     4.17087      Lin-Lin
 106.107     4.04106      Lin-Lin
 107.604     3.88235      Lin-Lin
 108.74      3.73799      Lin-Lin
 109.886     3.56421      Lin-Lin
 110.661     3.42641      Lin-Lin
 111.436     3.26795      Lin-Lin
 112.026     3.13057      Lin-Lin
 112.616     2.97556      Lin-Lin
 113.206     2.79907      Lin-Lin
 113.602     2.66694      Lin-Lin
 113.997     2.52166      Lin-Lin
 114.393     2.36145      Lin-Lin
 114.729     2.21193      Lin-Lin
 115.006     2.07839      Lin-Lin
 115.283     1.93454      Lin-Lin
 115.56      1.77946      Lin-Lin
 115.809     1.62957      Lin-Lin
 116.031     1.48764      Lin-Lin
 116.252     1.33727      Lin-Lin
 116.474     1.17844      Lin-Lin
 116.689     1.0169       Lin-Lin
 116.931     0.826831     Lin-Lin
 117.346     0.493087     Lin-Lin
 117.457     0.406575     Lin-Lin
 117.54      0.343974     Lin-Lin
 117.61      0.293998     Lin-Lin
 117.655     0.262898     Lin-Lin
 117.706     0.228677     Lin-Lin
 117.75      0.201768     Lin-Lin
 117.79      0.178522     Lin-Lin
 117.817     0.163317     Lin-Lin
 117.845     0.148993     Lin-Lin
 117.873     0.135634     Lin-Lin
 117.895     0.125554     Lin-Lin
 117.921     0.11486      Lin-Lin
 117.938     0.108328     Lin-Lin
 117.956     0.102306     Lin-Lin
 117.977     0.0957952    Lin-Lin
 117.99      0.0919124    Lin-Lin
 118.004     0.0884155    Lin-Lin
 118.022     0.0846128    Lin-Lin
 118.037     0.0817583    Lin-Lin
 118.053     0.0794701    Lin-Lin
 118.067     0.0779347    Lin-Lin
 118.08      0.0768906    Lin-Lin
 118.096     0.0763372    Lin-Lin
 118.102     0.0762946    Lin-Lin
 118.113     0.076511     Lin-Lin
 118.126     0.0772279    Lin-Lin
 118.139     0.078467     Lin-Lin
 118.151     0.080114     Lin-Lin
 118.163     0.0822536    Lin-Lin
 118.176     0.0849055    Lin-Lin
 118.189     0.0883696    Lin-Lin
 118.199     0.0915419    Lin-Lin
 118.21      0.0954887    Lin-Lin
 118.221     0.0999486    Lin-Lin
 118.234     0.105347     Lin-Lin
 118.244     0.110484     Lin-Lin
 118.257     0.117593     Lin-Lin
 118.27      0.125497     Lin-Lin
 118.285     0.135459     Lin-Lin
 118.295     0.14316      Lin-Lin
 118.309     0.154328     Lin-Lin
 118.323     0.166568     Lin-Lin
 118.336     0.179061     Lin-Lin
 118.349     0.192582     Lin-Lin
 118.363     0.208192     Lin-Lin
 118.378     0.227287     Lin-Lin
 118.394     0.248092     Lin-Lin
 118.411     0.273324     Lin-Lin
 118.423     0.292382     Lin-Lin
 118.435     0.312645     Lin-Lin
 118.447     0.334161     Lin-Lin
 118.463     0.36376      Lin-Lin
 118.479     0.395644     Lin-Lin
 118.494     0.429941     Lin-Lin
 118.51      0.466787     Lin-Lin
 118.527     0.510898     Lin-Lin
 118.544     0.55855      Lin-Lin
 118.562     0.609973     Lin-Lin
 118.579     0.665411     Lin-Lin
 118.596     0.725135     Lin-Lin
 118.614     0.789429     Lin-Lin
 118.631     0.858601     Lin-Lin
 118.648     0.932986     Lin-Lin
 118.664     1.00469      Lin-Lin
 118.679     1.08119      Lin-Lin
 118.695     1.1628       Lin-Lin
 118.711     1.24983      Lin-Lin
 118.726     1.34266      Lin-Lin
 118.743     1.45306      Lin-Lin
 118.762     1.57782      Lin-Lin
 118.78      1.71234      Lin-Lin
 118.798     1.85744      Lin-Lin
 118.816     2.01399      Lin-Lin
 118.834     2.18298      Lin-Lin
 118.852     2.36552      Lin-Lin
 118.871     2.56282      Lin-Lin
 118.889     2.77625      Lin-Lin
 118.907     3.00734      Lin-Lin
 118.925     3.25785      Lin-Lin
 118.943     3.52977      Lin-Lin
 118.962     3.82534      Lin-Lin
 118.98      4.14714      Lin-Lin
 118.998     4.49816      Lin-Lin
 119.016     4.88187      Lin-Lin
 119.029     5.17815      Lin-Lin
 119.043     5.51669      Lin-Lin
 119.057     5.8807       Lin-Lin
 119.071     6.27273      Lin-Lin
 119.084     6.69576      Lin-Lin
 119.098     7.15308      Lin-Lin
 119.112     7.64849      Lin-Lin
 119.126     8.18624      Lin-Lin
 119.14      8.77133      Lin-Lin
 119.154     9.40933      Lin-Lin
 119.168     10.1066      Lin-Lin
 119.181     10.8705      Lin-Lin
 119.195     11.7094      Lin-Lin
 119.209     12.6328      Lin-Lin
 119.223     13.6515      Lin-Lin
 119.233     14.4855      Lin-Lin
 119.244     15.3858      Lin-Lin
 119.256     16.5288      Lin-Lin
 119.268     17.7822      Lin-Lin
 119.28      19.1587      Lin-Lin
 119.292     20.672       Lin-Lin
 119.304     22.338       Lin-Lin
 119.316     24.1739      Lin-Lin
 119.329     26.1987      Lin-Lin
 119.338     27.8537      Lin-Lin
 119.347     29.7069      Lin-Lin
 119.357     31.7476      Lin-Lin
 119.366     33.956       Lin-Lin
 119.376     36.3465      Lin-Lin
 119.385     38.9338      Lin-Lin
 119.395     41.7345      Lin-Lin
 119.405     44.7652      Lin-Lin
 119.414     48.0449      Lin-Lin
 119.424     51.5923      Lin-Lin
 119.433     55.4286      Lin-Lin
 119.443     59.5749      Lin-Lin
 119.454     64.7716      Lin-Lin
 119.465     70.4484      Lin-Lin
 119.476     76.6443      Lin-Lin
 119.487     83.4003      Lin-Lin
 119.498     90.7592      Lin-Lin
 119.51      98.7657      Lin-Lin
 119.521     107.466      Lin-Lin
 119.532     116.907      Lin-Lin
 119.543     127.139      Lin-Lin
 119.554     138.211      Lin-Lin
 119.565     150.173      Lin-Lin
 119.576     163.077      Lin-Lin
 119.587     176.972      Lin-Lin
 119.598     191.909      Lin-Lin
 119.609     207.936      Lin-Lin
 119.62      225.102      Lin-Lin
 119.635     249.436      Lin-Lin
 119.649     275.901      Lin-Lin
 119.664     304.583      Lin-Lin
 119.679     335.554      Lin-Lin
 119.693     368.868      Lin-Lin
 119.706     401.06       Lin-Lin
 119.723     444.523      Lin-Lin
 119.739     491.099      Lin-Lin
 119.756     540.726      Lin-Lin
