#LIBRARY    ENDF/B-VII.1
#REACTION   CE-142(N,EL)CE-142-L0,SIG
#NUCLEUS    Ce-142
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       13.8681      Lin-Lin
 1.10304E-05 13.229       Lin-Lin
 1.21669E-05 12.6216      Lin-Lin
 1.34206E-05 12.0446      Lin-Lin
 1.49078E-05 11.4582      Lin-Lin
 1.6559E-05  10.9038      Lin-Lin
 1.83941E-05 10.3791      Lin-Lin
 2.04314E-05 9.8832       Lin-Lin
 2.26956E-05 9.4143       Lin-Lin
 2.52095E-05 8.9715       Lin-Lin
 2.80031E-05 8.55315      Lin-Lin
 3.11048E-05 8.15846      Lin-Lin
 3.45518E-05 7.78597      Lin-Lin
 3.83789E-05 7.43495      Lin-Lin
 4.26319E-05 7.10409      Lin-Lin
 4.7354E-05  6.79274      Lin-Lin
 5.26017E-05 6.49971      Lin-Lin
 5.8428E-05  6.22444      Lin-Lin
 6.49029E-05 5.96584      Lin-Lin
 7.20917E-05 5.72339      Lin-Lin
 8.06417E-05 5.48155      Lin-Lin
 9.02058E-05 5.25626      Lin-Lin
 0.000100904 5.04671      Lin-Lin
 0.000112871 4.85212      Lin-Lin
 0.000126257 4.67173      Lin-Lin
 0.000142228 4.4948       Lin-Lin
 0.00016021  4.33234      Lin-Lin
 0.000180475 4.1834       Lin-Lin
 0.000204727 4.03966      Lin-Lin
 0.000232239 3.90935      Lin-Lin
 0.000265292 3.78542      Lin-Lin
 0.000303065 3.67439      Lin-Lin
 0.000348642 3.57042      Lin-Lin
 0.000403881 3.47424      Lin-Lin
 0.000471174 3.38634      Lin-Lin
 0.000553555 3.30699      Lin-Lin
 0.000659484 3.23353      Lin-Lin
 0.000796806 3.16704      Lin-Lin
 0.000976257 3.10818      Lin-Lin
 0.00122155  3.05563      Lin-Lin
 0.00157192  3.009        Lin-Lin
 0.00209493  2.9684       Lin-Lin
 0.00293219  2.93355      Lin-Lin
 0.00437103  2.90483      Lin-Lin
 0.00718765  2.88186      Lin-Lin
 0.0139824   2.86444      Lin-Lin
 0.0252419   2.85604      Lin-Lin
 0.0253      2.85602      Lin-Lin
 0.114875    2.84624      Lin-Lin
 10.5298     2.62885      Lin-Lin
 24.234      2.36337      Lin-Lin
 37.6782     2.1213       Lin-Lin
 50.5663     1.90507      Lin-Lin
 63.2717     1.70626      Lin-Lin
 75.3794     1.52956      Lin-Lin
 86.7153     1.37454      Lin-Lin
 98.3681     1.22525      Lin-Lin
 108.504     1.10317      Lin-Lin
 118.664     0.988574     Lin-Lin
 129.07      0.87821      Lin-Lin
 137.128     0.797713     Lin-Lin
 146.055     0.71314      Lin-Lin
 154.473     0.638472     Lin-Lin
 161.104     0.582578     Lin-Lin
 166.842     0.536345     Lin-Lin
 172.793     0.490502     Lin-Lin
 178.948     0.445334     Lin-Lin
 184.662     0.405364     Lin-Lin
 191.24      0.361823     Lin-Lin
 195.876     0.332447     Lin-Lin
 202.863     0.290816     Lin-Lin
 208.628     0.258552     Lin-Lin
 213.053     0.235143     Lin-Lin
 217.583     0.212248     Lin-Lin
 222.198     0.19022      Lin-Lin
 226.922     0.16884      Lin-Lin
 230.124     0.155102     Lin-Lin
 233.371     0.141767     Lin-Lin
 237.492     0.125744     Lin-Lin
 240.842     0.113405     Lin-Lin
 243.388     0.104433     Lin-Lin
 245.957     0.0957505    Lin-Lin
 249.427     0.0846646    Lin-Lin
 252.057     0.0767013    Lin-Lin
 255.287     0.0674708    Lin-Lin
 257.632     0.061149     Lin-Lin
 259.977     0.055135     Lin-Lin
 262.322     0.0494509    Lin-Lin
 264.668     0.0440704    Lin-Lin
 267.013     0.0390209    Lin-Lin
 268.576     0.035827     Lin-Lin
