#LIBRARY    ENDF/B-VII.1
#REACTION   F-19(N,EL)F-19-L0,SIG
#NUCLEUS    F-19
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       47.7033      Lin-Lin
 1.10304E-05 45.4323      Lin-Lin
 1.21669E-05 43.2705      Lin-Lin
 1.34206E-05 41.2127      Lin-Lin
 1.48034E-05 39.254       Lin-Lin
 1.63286E-05 37.3898      Lin-Lin
 1.80111E-05 35.6154      Lin-Lin
 1.98669E-05 33.9267      Lin-Lin
 2.19139E-05 32.3196      Lin-Lin
 2.41719E-05 30.7902      Lin-Lin
 2.66625E-05 29.3348      Lin-Lin
 2.94097E-05 27.95        Lin-Lin
 3.244E-05   26.6324      Lin-Lin
 3.57825E-05 25.3788      Lin-Lin
 3.94694E-05 24.1862      Lin-Lin
 4.35362E-05 23.0518      Lin-Lin
 4.80221E-05 21.9728      Lin-Lin
 5.29701E-05 20.9466      Lin-Lin
 5.8428E-05  19.9708      Lin-Lin
 6.44482E-05 19.0429      Lin-Lin
 7.10888E-05 18.1609      Lin-Lin
 7.84136E-05 17.3225      Lin-Lin
 8.64931E-05 16.5257      Lin-Lin
 9.54051E-05 15.7685      Lin-Lin
 0.000105978 14.9991      Lin-Lin
 0.000117716 14.2715      Lin-Lin
 0.000130761 13.5828      Lin-Lin
 0.000145245 12.9318      Lin-Lin
 0.00016134  12.3162      Lin-Lin
 0.000179211 11.7346      Lin-Lin
 0.000199071 11.1851      Lin-Lin
 0.00022112  10.6666      Lin-Lin
 0.000245625 10.177       Lin-Lin
 0.000272831 9.71561      Lin-Lin
 0.000303065 9.28054      Lin-Lin
 0.000336634 8.87098      Lin-Lin
 0.000373939 8.48539      Lin-Lin
 0.000415358 8.123        Lin-Lin
 0.000461387 7.78241      Lin-Lin
 0.000512492 7.46294      Lin-Lin
 0.000573273 7.1441       Lin-Lin
 0.000641262 6.84689      Lin-Lin
 0.000717315 6.57025      Lin-Lin
 0.000802387 6.31318      Lin-Lin
 0.00089755  6.07468      Lin-Lin
 0.00101108  5.84056      Lin-Lin
 0.00113892  5.62536      Lin-Lin
 0.00128298  5.42787      Lin-Lin
 0.00145538  5.23707      Lin-Lin
 0.00165096  5.0639       Lin-Lin
 0.00188593  4.89899      Lin-Lin
 0.00215446  4.75105      Lin-Lin
 0.00247845  4.61232      Lin-Lin
 0.00287114  4.48382      Lin-Lin
 0.00334952  4.36622      Lin-Lin
 0.00393516  4.25992      Lin-Lin
 0.00465558  4.16502      Lin-Lin
 0.0055856   4.07821      Lin-Lin
 0.00679594  4.00054      Lin-Lin
 0.00844395  3.93047      Lin-Lin
 0.0107902   3.8676       Lin-Lin
 0.0141796   3.81351      Lin-Lin
