#LIBRARY    ENDF/B-VII.1
#REACTION   FE-54(N,EL)FE-54-L0,SIG
#NUCLEUS    Fe-54
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       17.0375      Lin-Lin
 1.10304E-05 16.2339      Lin-Lin
 1.21669E-05 15.4693      Lin-Lin
 1.34206E-05 14.7419      Lin-Lin
 1.48034E-05 14.05        Lin-Lin
 1.63286E-05 13.3919      Lin-Lin
 1.80111E-05 12.7659      Lin-Lin
 1.99487E-05 12.1463      Lin-Lin
 2.20041E-05 11.5815      Lin-Lin
 2.42713E-05 11.0446      Lin-Lin
 2.67722E-05 10.5341      Lin-Lin
 2.95307E-05 10.049       Lin-Lin
 3.25735E-05 9.58797      Lin-Lin
 3.61814E-05 9.11969      Lin-Lin
 4.0191E-05  8.67632      Lin-Lin
 4.46427E-05 8.25707      Lin-Lin
 4.95899E-05 7.86037      Lin-Lin
 5.50826E-05 7.4855       Lin-Lin
 6.11867E-05 7.13105      Lin-Lin
 6.7964E-05  6.79637      Lin-Lin
 7.54956E-05 6.48021      Lin-Lin
 8.38578E-05 6.18197      Lin-Lin
 9.31507E-05 5.90053      Lin-Lin
 0.000103468 5.63537      Lin-Lin
 0.000114935 5.38546      Lin-Lin
 0.000127665 5.15036      Lin-Lin
 0.000141813 4.92913      Lin-Lin
 0.00015752  4.72135      Lin-Lin
 0.000174976 4.52621      Lin-Lin
 0.000195728 4.33148      Lin-Lin
 0.000218942 4.14988      Lin-Lin
 0.000244908 3.98079      Lin-Lin
 0.000273953 3.82359      Lin-Lin
 0.000306444 3.67767      Lin-Lin
 0.000345189 3.5344       Lin-Lin
 0.000388852 3.40254      Lin-Lin
 0.000438016 3.28154      Lin-Lin
 0.00049342  3.17071      Lin-Lin
 0.000559726 3.06384      Lin-Lin
 0.000634943 2.96705      Lin-Lin
 0.000725312 2.87508      Lin-Lin
 0.000834387 2.7887       Lin-Lin
 0.000959866 2.71216      Lin-Lin
 0.001112    2.64142      Lin-Lin
 0.00129728  2.57686      Lin-Lin
 0.00153478  2.51631      Lin-Lin
 0.00184137  2.46085      Lin-Lin
 0.00224038  2.41119      Lin-Lin
 0.0027643   2.36765      Lin-Lin
 0.00350767  2.32816      Lin-Lin
 0.00457741  2.29384      Lin-Lin
 0.00618617  2.26456      Lin-Lin
 0.00884264  2.23954      Lin-Lin
 0.013652    2.21901      Lin-Lin
 0.0237418   2.20296      Lin-Lin
 0.0252051   2.2017       Lin-Lin
 0.0253      2.20162      Lin-Lin
 0.0558334   2.19046      Lin-Lin
 0.211301    2.18354      Lin-Lin
 66.9186     2.12475      Lin-Lin
 611.505     1.67269      Lin-Lin
 1032.69     1.33484      Lin-Lin
 1350.78     1.08874      Lin-Lin
 1606.95     0.897959     Lin-Lin
 1810.21     0.752376     Lin-Lin
 1990.95     0.628214     Lin-Lin
 2105.7      0.552714     Lin-Lin
 2208.24     0.487222     Lin-Lin
 2330.73     0.412221     Lin-Lin
 2422.38     0.358707     Lin-Lin
 2514.47     0.30741      Lin-Lin
 2575.72     0.274754     Lin-Lin
 2618.49     0.252568     Lin-Lin
 2679.31     0.222317     Lin-Lin
 2740.13     0.193462     Lin-Lin
 2785.74     0.172836     Lin-Lin
 2831.35     0.153016     Lin-Lin
 2876.97     0.134212     Lin-Lin
 2914.98     0.119237     Lin-Lin
 2952.99     0.104951     Lin-Lin
 2991        0.0914719    Lin-Lin
 3013.81     0.0836955    Lin-Lin
