#LIBRARY    ENDF/B-VII.1
#REACTION   FE-58(N,EL)FE-58-L0,SIG
#NUCLEUS    Fe-58
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       23.368       Lin-Lin
 1.10304E-05 22.267       Lin-Lin
 1.21669E-05 21.2195      Lin-Lin
 1.34206E-05 20.223       Lin-Lin
 1.48034E-05 19.2752      Lin-Lin
 1.63286E-05 18.3737      Lin-Lin
 1.80111E-05 17.5163      Lin-Lin
 1.98669E-05 16.7011      Lin-Lin
 2.19139E-05 15.926       Lin-Lin
 2.43086E-05 15.1479      Lin-Lin
 2.68133E-05 14.4497      Lin-Lin
 2.9576E-05  13.7861      Lin-Lin
 3.26235E-05 13.1557      Lin-Lin
 3.62387E-05 12.5151      Lin-Lin
 4.02527E-05 11.9092      Lin-Lin
 4.47134E-05 11.3359      Lin-Lin
 4.9666E-05  10.7941      Lin-Lin
 5.51699E-05 10.2818      Lin-Lin
 6.12807E-05 9.79794      Lin-Lin
 6.80716E-05 9.3408       Lin-Lin
 7.56115E-05 8.90951      Lin-Lin
 8.39906E-05 8.50245      Lin-Lin
 9.32937E-05 8.11884      Lin-Lin
 0.000103632 7.75726      Lin-Lin
 0.000115111 7.41697      Lin-Lin
 0.000127867 7.0967       Lin-Lin
 0.00014203  6.79581      Lin-Lin
 0.00015777  6.51312      Lin-Lin
 0.000175245 6.24808      Lin-Lin
 0.000196029 5.98369      Lin-Lin
 0.000219278 5.73736      Lin-Lin
 0.000245284 5.50822      Lin-Lin
 0.000274374 5.29541      Lin-Lin
 0.000306914 5.09812      Lin-Lin
 0.000345736 4.90459      Lin-Lin
 0.000389449 4.72685      Lin-Lin
 0.00043871  4.56387      Lin-Lin
 0.000497664 4.40656      Lin-Lin
 0.00056454  4.26393      Lin-Lin
 0.000644889 4.12824      Lin-Lin
 0.00073671  4.00665      Lin-Lin
 0.000847499 3.89277      Lin-Lin
 0.000981779 3.7874       Lin-Lin
 0.00114536  3.69106      Lin-Lin
 0.00134562  3.60408      Lin-Lin
 0.00160311  3.52353      Lin-Lin
 0.00193692  3.45062      Lin-Lin
 0.00237314  3.38606      Lin-Lin
 0.00296943  3.32843      Lin-Lin
 0.00382112  3.27728      Lin-Lin
 0.00509248  3.23275      Lin-Lin
 0.00712774  3.19454      Lin-Lin
 0.0106254   3.16306      Lin-Lin
 0.0174722   3.13792      Lin-Lin
 0.0251369   3.12602      Lin-Lin
 0.0253      3.12585      Lin-Lin
 0.0578221   3.11068      Lin-Lin
 0.243077    3.1016       Lin-Lin
 55.3858     3.07645      Lin-Lin
 226.04      3.03176      Lin-Lin
 228.637     3.03615      Lin-Lin
 229.206     3.05225      Lin-Lin
 229.856     3.08745      Lin-Lin
 229.998     3.08935      Lin-Lin
 230.321     3.07929      Lin-Lin
 230.924     3.04519      Lin-Lin
 231.644     3.03268      Lin-Lin
 343.382     3.00647      Lin-Lin
 352.578     3.0134       Lin-Lin
 354.582     3.02578      Lin-Lin
 355.609     3.04388      Lin-Lin
 356.241     3.06909      Lin-Lin
 356.596     3.09646      Lin-Lin
 356.883     3.13645      Lin-Lin
 357.079     3.18296      Lin-Lin
 357.233     3.23992      Lin-Lin
 357.335     3.29297      Lin-Lin
 357.438     3.36249      Lin-Lin
 357.541     3.45302      Lin-Lin
 357.618     3.53773      Lin-Lin
 357.695     3.63924      Lin-Lin
 357.772     3.75959      Lin-Lin
 357.849     3.9005       Lin-Lin
 357.917     4.04247      Lin-Lin
 357.985     4.20163      Lin-Lin
 358.087     4.47184      Lin-Lin
 358.168     4.71215      Lin-Lin
 358.31      5.17123      Lin-Lin
 358.515     5.85869      Lin-Lin
 358.597     6.11192      Lin-Lin
 358.679     6.33666      Lin-Lin
 358.762     6.52258      Lin-Lin
 358.835     6.64776      Lin-Lin
 358.898     6.7223       Lin-Lin
 358.964     6.7626       Lin-Lin
 359         6.76849      Lin-Lin
 359.061     6.75211      Lin-Lin
 359.132     6.69195      Lin-Lin
 359.197     6.5986       Lin-Lin
 359.263     6.47225      Lin-Lin
 359.345     6.27415      Lin-Lin
 359.427     6.04037      Lin-Lin
 359.551     5.64596      Lin-Lin
 359.756     4.95871      Lin-Lin
 359.861     4.63091      Lin-Lin
 359.94      4.40557      Lin-Lin
 360.01      4.22288      Lin-Lin
 360.097     4.01959      Lin-Lin
 360.184     3.84453      Lin-Lin
 360.272     3.69666      Lin-Lin
 360.367     3.56413      Lin-Lin
 360.469     3.45005      Lin-Lin
 360.572     3.36139      Lin-Lin
 360.675     3.29323      Lin-Lin
 360.778     3.24111      Lin-Lin
 360.932     3.18495      Lin-Lin
 361.137     3.13693      Lin-Lin
 361.376     3.1029       Lin-Lin
 361.774     3.07074      Lin-Lin
 362.545     3.04131      Lin-Lin
 363.829     3.02177      Lin-Lin
 367.22      3.00713      Lin-Lin
 388.592     2.99575      Lin-Lin
 2325.62     2.58082      Lin-Lin
 2815.98     2.47021      Lin-Lin
 2819.92     2.47258      Lin-Lin
 2836.88     2.46528      Lin-Lin
 3776.91     2.23949      Lin-Lin
 4505.48     2.04834      Lin-Lin
 5099        1.87811      Lin-Lin
 5578.07     1.72783      Lin-Lin
 6035.48     1.5756       Lin-Lin
 6091.2      1.56397      Lin-Lin
 6100        1.56372      Lin-Lin
 6122.07     1.56837      Lin-Lin
 6135.48     1.57893      Lin-Lin
 6145.99     1.59677      Lin-Lin
 6152.25     1.61522      Lin-Lin
 6157.75     1.64014      Lin-Lin
