#LIBRARY    ENDF/B-VII.1
#REACTION   H-1(N,EL)H-1-L0,SIG
#NUCLEUS    H-1
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       1159.67      Lin-Lin
 1.10304E-05 1104.2       Lin-Lin
 1.21669E-05 1051.38      Lin-Lin
 1.34206E-05 1001.08      Lin-Lin
 1.48034E-05 953.199      Lin-Lin
 1.63286E-05 907.606      Lin-Lin
 1.80111E-05 864.195      Lin-Lin
 1.98669E-05 822.863      Lin-Lin
 2.19139E-05 783.509      Lin-Lin
 2.41719E-05 746.04       Lin-Lin
 2.66625E-05 710.364      Lin-Lin
 2.94097E-05 676.397      Lin-Lin
 3.244E-05   644.057      Lin-Lin
 3.57825E-05 613.265      Lin-Lin
 3.94694E-05 583.948      Lin-Lin
 4.35362E-05 556.036      Lin-Lin
 4.80221E-05 529.46       Lin-Lin
 5.28819E-05 504.578      Lin-Lin
 5.83307E-05 480.468      Lin-Lin
 6.43409E-05 457.513      Lin-Lin
 7.09704E-05 435.659      Lin-Lin
 7.8283E-05  414.852      Lin-Lin
 8.6349E-05  395.043      Lin-Lin
 9.52462E-05 376.184      Lin-Lin
 0.00010506  358.229      Lin-Lin
 0.000115885 341.136      Lin-Lin
 0.000127826 324.864      Lin-Lin
 0.000140996 309.372      Lin-Lin
 0.000155524 294.625      Lin-Lin
 0.000171549 280.586      Lin-Lin
 0.000189225 267.221      Lin-Lin
 0.000208722 254.5        Lin-Lin
 0.000230228 242.39       Lin-Lin
 0.00025395  230.863      Lin-Lin
 0.000280116 219.892      Lin-Lin
 0.000308978 209.449      Lin-Lin
 0.000340815 199.51       Lin-Lin
 0.000375931 190.05       Lin-Lin
 0.000414666 181.048      Lin-Lin
 0.000457392 172.481      Lin-Lin
 0.00050452  164.329      Lin-Lin
 0.000556504 156.571      Lin-Lin
 0.000613845 149.191      Lin-Lin
 0.000677094 142.169      Lin-Lin
 0.000746859 135.488      Lin-Lin
 0.000823813 129.134      Lin-Lin
 0.000908697 123.09       Lin-Lin
 0.00100233  117.342      Lin-Lin
 0.0011056   111.876      Lin-Lin
