#LIBRARY    ENDF/B-VII.1
#REACTION   H-2(N,EL)H-2-L0,SIG
#NUCLEUS    H-2
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       136.296      Lin-Lin
 1.10304E-05 129.777      Lin-Lin
 1.21669E-05 123.571      Lin-Lin
 1.34206E-05 117.662      Lin-Lin
 1.48034E-05 112.036      Lin-Lin
 1.63286E-05 106.679      Lin-Lin
 1.80111E-05 101.579      Lin-Lin
 1.98669E-05 96.7231      Lin-Lin
 2.19139E-05 92.0998      Lin-Lin
 2.41719E-05 87.6979      Lin-Lin
 2.66625E-05 83.507       Lin-Lin
 2.94097E-05 79.5168      Lin-Lin
 3.244E-05   75.7179      Lin-Lin
 3.57825E-05 72.1011      Lin-Lin
 3.94694E-05 68.6576      Lin-Lin
 4.35362E-05 65.3793      Lin-Lin
 4.80221E-05 62.2582      Lin-Lin
 5.29701E-05 59.2868      Lin-Lin
 5.8428E-05  56.458       Lin-Lin
 6.44482E-05 53.7649      Lin-Lin
 7.10888E-05 51.2011      Lin-Lin
 7.84136E-05 48.7605      Lin-Lin
 8.64931E-05 46.4371      Lin-Lin
 9.54051E-05 44.2254      Lin-Lin
 0.000105235 42.12        Lin-Lin
 0.000116078 40.116       Lin-Lin
 0.000128039 38.2084      Lin-Lin
 0.000141232 36.3926      Lin-Lin
 0.000155784 34.6644      Lin-Lin
 0.000171835 33.0196      Lin-Lin
 0.00018954  31.4541      Lin-Lin
 0.00020907  29.9643      Lin-Lin
 0.000230612 28.5465      Lin-Lin
 0.000254374 27.1974      Lin-Lin
 0.000280584 25.9137      Lin-Lin
 0.000309494 24.6922      Lin-Lin
 0.000341383 23.5302      Lin-Lin
 0.000376558 22.4247      Lin-Lin
 0.000415358 21.3731      Lin-Lin
 0.000458155 20.373       Lin-Lin
 0.000505362 19.4218      Lin-Lin
 0.000557433 18.5172      Lin-Lin
 0.000614869 17.6572      Lin-Lin
 0.000678223 16.8397      Lin-Lin
 0.000748105 16.0625      Lin-Lin
 0.000825188 15.324       Lin-Lin
 0.000910213 14.6223      Lin-Lin
 0.00101108  13.9093      Lin-Lin
 0.00112307  13.2349      Lin-Lin
 0.00124753  12.5966      Lin-Lin
 0.00138571  11.9934      Lin-Lin
 0.00153927  11.4228      Lin-Lin
 0.00170976  10.884       Lin-Lin
 0.00189924  10.3748      Lin-Lin
 0.0021096   9.89435      Lin-Lin
 0.00234338  9.44081      Lin-Lin
 0.00260294  9.01333      Lin-Lin
 0.0028914   8.6103       Lin-Lin
 0.00321166  8.23094      Lin-Lin
 0.00356757  7.87381      Lin-Lin
 0.00396272  7.5382       Lin-Lin
 0.00440186  7.22281      Lin-Lin
 0.00488943  6.92701      Lin-Lin
 0.00546931  6.63183      Lin-Lin
 0.00611796  6.35672      Lin-Lin
 0.00684355  6.10069      Lin-Lin
 0.00765518  5.8628       Lin-Lin
 0.00856308  5.64216      Lin-Lin
 0.00964622  5.42559      Lin-Lin
 0.0108658   5.22657      Lin-Lin
 0.0122402   5.04398      Lin-Lin
 0.0138851   4.86762      Lin-Lin
 0.015751    4.70759      Lin-Lin
 0.0179927   4.55524      Lin-Lin
 0.0205546   4.4186       Lin-Lin
 0.0236457   4.29052      Lin-Lin
 0.0252419   4.23593      Lin-Lin
 0.0253      4.23407      Lin-Lin
 0.02931     4.12238      Lin-Lin
 0.0341935   4.02041      Lin-Lin
 0.0404534   3.92473      Lin-Lin
