#LIBRARY    ENDF/B-VII.1
#REACTION   HE-3(N,EL)HE-3-L0,SIG
#NUCLEUS    He-3
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       108.625      Lin-Lin
 1.10304E-05 103.431      Lin-Lin
 1.21669E-05 98.4864      Lin-Lin
 1.34206E-05 93.7784      Lin-Lin
 1.48034E-05 89.2959      Lin-Lin
 1.63286E-05 85.0281      Lin-Lin
 1.80111E-05 80.9648      Lin-Lin
 1.98669E-05 77.0962      Lin-Lin
 2.19139E-05 73.413       Lin-Lin
 2.41719E-05 69.9063      Lin-Lin
 2.66625E-05 66.5678      Lin-Lin
 2.94097E-05 63.3893      Lin-Lin
 3.244E-05   60.3633      Lin-Lin
 3.57825E-05 57.4824      Lin-Lin
 3.94694E-05 54.7397      Lin-Lin
 4.35362E-05 52.1287      Lin-Lin
 4.80221E-05 49.6431      Lin-Lin
 5.29701E-05 47.2768      Lin-Lin
 5.8428E-05  45.0242      Lin-Lin
 6.44482E-05 42.8799      Lin-Lin
 7.10888E-05 40.8387      Lin-Lin
 7.84136E-05 38.8957      Lin-Lin
 8.64931E-05 37.0463      Lin-Lin
 9.54051E-05 35.2859      Lin-Lin
 0.000105235 33.6104      Lin-Lin
 0.000116078 32.0157      Lin-Lin
 0.000128039 30.498       Lin-Lin
 0.000141232 29.0536      Lin-Lin
 0.000155784 27.6791      Lin-Lin
 0.000171835 26.3712      Lin-Lin
 0.00018954  25.1266      Lin-Lin
 0.00020907  23.9425      Lin-Lin
 0.000230612 22.8159      Lin-Lin
 0.000254374 21.7442      Lin-Lin
 0.000280584 20.7248      Lin-Lin
 0.000309494 19.7552      Lin-Lin
 0.000341383 18.8331      Lin-Lin
 0.000376558 17.9563      Lin-Lin
 0.000415358 17.1226      Lin-Lin
 0.000458155 16.3301      Lin-Lin
 0.000505362 15.5768      Lin-Lin
 0.000557433 14.8609      Lin-Lin
 0.000614869 14.1807      Lin-Lin
 0.000683007 13.4896      Lin-Lin
 0.00075866  12.8359      Lin-Lin
 0.000842733 12.2173      Lin-Lin
 0.000936077 11.6326      Lin-Lin
 0.00103981  11.0797      Lin-Lin
 0.00115498  10.5575      Lin-Lin
 0.00128298  10.0641      Lin-Lin
 0.00142508  9.59854      Lin-Lin
