#LIBRARY    ENDF/B-VII.1
#REACTION   K-41(N,EL)K-41-L0,SIG
#NUCLEUS    K-41
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       22.9531      Lin-Lin
 1.10304E-05 21.8668      Lin-Lin
 1.21669E-05 20.833       Lin-Lin
 1.34206E-05 19.8493      Lin-Lin
 1.48034E-05 18.9133      Lin-Lin
 1.63286E-05 18.0228      Lin-Lin
 1.80111E-05 17.1757      Lin-Lin
 1.98669E-05 16.3698      Lin-Lin
 2.19139E-05 15.6033      Lin-Lin
 2.41719E-05 14.8743      Lin-Lin
 2.66625E-05 14.181       Lin-Lin
 2.94097E-05 13.5219      Lin-Lin
 3.244E-05   12.8952      Lin-Lin
 3.57825E-05 12.2996      Lin-Lin
 3.94694E-05 11.7334      Lin-Lin
 4.35362E-05 11.1955      Lin-Lin
 4.80221E-05 10.6845      Lin-Lin
 5.33438E-05 10.1653      Lin-Lin
 5.92523E-05 9.67428      Lin-Lin
 6.58185E-05 9.20973      Lin-Lin
 7.31088E-05 8.77074      Lin-Lin
 8.12106E-05 8.35569      Lin-Lin
 9.02058E-05 7.96379      Lin-Lin
 0.000100202 7.5936       Lin-Lin
 0.000111301 7.2444       Lin-Lin
 0.000123635 6.9149       Lin-Lin
 0.000137329 6.60446      Lin-Lin
 0.000152548 6.31191      Lin-Lin
 0.000169444 6.03669      Lin-Lin
 0.000188222 5.77774      Lin-Lin
 0.00020907  5.53454      Lin-Lin
 0.000232239 5.30615      Lin-Lin
 0.000259782 5.07827      Lin-Lin
 0.000290592 4.86578      Lin-Lin
 0.000325056 4.66794      Lin-Lin
 0.000363607 4.48403      Lin-Lin
 0.00040673  4.31335      Lin-Lin
 0.000458155 4.14578      Lin-Lin
 0.000516107 3.99158      Lin-Lin
 0.00058136  3.85011      Lin-Lin
 0.000659484 3.7133       Lin-Lin
 0.000748105 3.58906      Lin-Lin
 0.000848636 3.47658      Lin-Lin
 0.000969466 3.36971      Lin-Lin
 0.00111526  3.26941      Lin-Lin
 0.00129196  3.17642      Lin-Lin
 0.00150722  3.09125      Lin-Lin
 0.00177075  3.01421      Lin-Lin
 0.00209493  2.94538      Lin-Lin
 0.00251342  2.88239      Lin-Lin
 0.00305805  2.826        Lin-Lin
 0.00379963  2.77511      Lin-Lin
 0.00482141  2.73059      Lin-Lin
 0.00633619  2.69099      Lin-Lin
 0.00862348  2.65753      Lin-Lin
 0.0124129   2.62919      Lin-Lin
 0.0194344   2.60579      Lin-Lin
 0.0252419   2.59619      Lin-Lin
 0.0253      2.59612      Lin-Lin
 0.049564    2.58006      Lin-Lin
 0.136864    2.56758      Lin-Lin
 1.14301     2.53725      Lin-Lin
 6.86813     2.40439      Lin-Lin
 13.2678     2.27578      Lin-Lin
 20.199      2.15531      Lin-Lin
 27.6845     2.04287      Lin-Lin
 35.6249     1.9399       Lin-Lin
 44.5761     1.84009      Lin-Lin
 53.8554     1.75111      Lin-Lin
 64.1644     1.66611      Lin-Lin
 75.3794     1.58695      Lin-Lin
 87.9387     1.51129      Lin-Lin
 101.163     1.44364      Lin-Lin
 115.567     1.38047      Lin-Lin
 132.015     1.31938      Lin-Lin
 149.756     1.26372      Lin-Lin
 169.88      1.21039      Lin-Lin
 192.708     1.15976      Lin-Lin
 218.604     1.112        Lin-Lin
 246.256     1.06957      Lin-Lin
 277.391     1.02963      Lin-Lin
 312.478     0.992286     Lin-Lin
 354.469     0.955419     Lin-Lin
 402.102     0.921168     Lin-Lin
 458.302     0.888174     Lin-Lin
 523.556     0.856991     Lin-Lin
 601.287     0.826589     Lin-Lin
 699.406     0.795308     Lin-Lin
 821.793     0.76321      Lin-Lin
 889.913     0.74827      Lin-Lin
 893.215     0.749901     Lin-Lin
 893.993     0.75291      Lin-Lin
 894.402     0.756797     Lin-Lin
 894.88      0.765662     Lin-Lin
 895.289     0.778946     Lin-Lin
 895.699     0.798464     Lin-Lin
 896.594     0.851282     Lin-Lin
 896.867     0.863049     Lin-Lin
 897.126     0.869181     Lin-Lin
 897.276     0.870067     Lin-Lin
 897.475     0.868099     Lin-Lin
