#LIBRARY    ENDF/B-VII.1
#REACTION   LI-6(N,EL)LI-6-L0,SIG
#NUCLEUS    Li-6
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       16.6782      Lin-Lin
 1.10304E-05 15.8814      Lin-Lin
 1.21669E-05 15.1228      Lin-Lin
 1.34206E-05 14.4006      Lin-Lin
 1.48034E-05 13.713       Lin-Lin
 1.63286E-05 13.0584      Lin-Lin
 1.80111E-05 12.4352      Lin-Lin
 1.98669E-05 11.8419      Lin-Lin
 2.19139E-05 11.2771      Lin-Lin
 2.41719E-05 10.7393      Lin-Lin
 2.66625E-05 10.2275      Lin-Lin
 2.94097E-05 9.74016      Lin-Lin
 3.244E-05   9.27628      Lin-Lin
 3.57825E-05 8.83472      Lin-Lin
 3.94694E-05 8.4144       Lin-Lin
 4.35362E-05 8.01431      Lin-Lin
 4.80221E-05 7.6335       Lin-Lin
 5.29701E-05 7.27104      Lin-Lin
 5.8428E-05  6.92607      Lin-Lin
 6.44482E-05 6.59775      Lin-Lin
 7.10888E-05 6.2853       Lin-Lin
 7.84136E-05 5.98796      Lin-Lin
 8.64931E-05 5.70502      Lin-Lin
 9.54051E-05 5.43579      Lin-Lin
 0.000105764 5.1669       Lin-Lin
 0.000116661 4.92382      Lin-Lin
 0.000128682 4.69258      Lin-Lin
 0.000141941 4.47262      Lin-Lin
 0.000156566 4.26341      Lin-Lin
 0.000172698 4.06445      Lin-Lin
 0.000190492 3.87527      Lin-Lin
 0.00021012  3.69539      Lin-Lin
 0.00023177  3.5244       Lin-Lin
 0.000255651 3.36188      Lin-Lin
 0.000281993 3.20743      Lin-Lin
 0.000311048 3.06069      Lin-Lin
 0.000345518 2.91158      Lin-Lin
 0.000383789 2.77056      Lin-Lin
 0.000426319 2.63712      Lin-Lin
 0.00047354  2.51099      Lin-Lin
 0.000526017 2.39172      Lin-Lin
 0.00058428  2.27908      Lin-Lin
 0.000649029 2.17265      Lin-Lin
 0.000720917 2.07223      Lin-Lin
 0.000800808 1.97745      Lin-Lin
 0.000889508 1.88813      Lin-Lin
 0.000988082 1.80393      Lin-Lin
 0.00109752  1.72468      Lin-Lin
 0.00121915  1.65009      Lin-Lin
 0.00135419  1.58         Lin-Lin
 0.00150426  1.51416      Lin-Lin
 0.00167087  1.45241      Lin-Lin
 0.00186904  1.39081      Lin-Lin
 0.0020907   1.33341      Lin-Lin
 0.00233866  1.28         Lin-Lin
 0.00261602  1.2304       Lin-Lin
 0.00292627  1.1844       Lin-Lin
 0.00329642  1.13928      Lin-Lin
 0.0037132   1.09782      Lin-Lin
 0.00418288  1.05981      Lin-Lin
 0.00474497  1.0231       Lin-Lin
 0.0053826   0.989814     Lin-Lin
 0.00614869  0.958139     Lin-Lin
 0.00702415  0.929747     Lin-Lin
 0.00808048  0.903146     Lin-Lin
 0.00936077  0.878526     Lin-Lin
 0.0109204   0.856013     Lin-Lin
 0.0128298   0.835678     Lin-Lin
 0.0152849   0.816845     Lin-Lin
 0.0184676   0.799793     Lin-Lin
 0.0226267   0.784694     Lin-Lin
 0.0251291   0.77801      Lin-Lin
 0.0253      0.777601     Lin-Lin
 0.0321036   0.764872     Lin-Lin
 0.0418943   0.753808     Lin-Lin
 0.0570177   0.744185     Lin-Lin
 0.0820732   0.736048     Lin-Lin
 0.127605    0.72944      Lin-Lin
 0.22348     0.724329     Lin-Lin
 0.489733    0.72063      Lin-Lin
 1.81481     0.718356     Lin-Lin
 325.891     0.71542      Lin-Lin
 4318.5      0.708185     Lin-Lin
 12338.6     0.701462     Lin-Lin
 23170       0.696558     Lin-Lin
 30000       0.694962     Lin-Lin
 46605.1     0.697975     Lin-Lin
 56961.8     0.704801     Lin-Lin
 66847       0.715576     Lin-Lin
 75529.1     0.729686     Lin-Lin
 82273.2     0.744514     Lin-Lin
 88031.9     0.760392     Lin-Lin
 95670.1     0.785839     Lin-Lin
 100705      0.807131     Lin-Lin
 110000      0.857091     Lin-Lin
 120000      0.924592     Lin-Lin
 130000      1.01705      Lin-Lin
 140000      1.15122      Lin-Lin
 150000      1.32749      Lin-Lin
 160000      1.56982      Lin-Lin
 170000      1.9126       Lin-Lin
 179799      2.3744       Lin-Lin
 183621      2.61914      Lin-Lin
 190000      3.03386      Lin-Lin
 200000      3.9074       Lin-Lin
 205000      4.43387      Lin-Lin
 210000      5.01753      Lin-Lin
 218531      6.08554      Lin-Lin
 222000      6.5326       Lin-Lin
 226000      7.00459      Lin-Lin
 230000      7.43344      Lin-Lin
 233000      7.70998      Lin-Lin
 236000      7.92791      Lin-Lin
 239000      8.09418      Lin-Lin
 242000      8.19824      Lin-Lin
 245500      8.24416      Lin-Lin
 246000      8.24535      Lin-Lin
 249471      8.19621      Lin-Lin
 252000      8.11707      Lin-Lin
 255000      7.98603      Lin-Lin
 258000      7.8175       Lin-Lin
 263000      7.46655      Lin-Lin
 268000      7.07657      Lin-Lin
 276940      6.33355      Lin-Lin
 285000      5.69977      Lin-Lin
 290000      5.3379       Lin-Lin
 295000      5.00505      Lin-Lin
 300000      4.70312      Lin-Lin
 305000      4.4303       Lin-Lin
 310000      4.18231      Lin-Lin
 320000      3.75037      Lin-Lin
 325000      3.56211      Lin-Lin
 335000      3.23962      Lin-Lin
 339726      3.10959      Lin-Lin
 350000      2.86338      Lin-Lin
 359945      2.66268      Lin-Lin
 375000      2.41567      Lin-Lin
 385000      2.28128      Lin-Lin
 400000      2.11264      Lin-Lin
 410000      2.01834      Lin-Lin
 422500      1.91612      Lin-Lin
 440000      1.79636      Lin-Lin
 453174      1.72138      Lin-Lin
 463245      1.67063      Lin-Lin
 478351      1.60262      Lin-Lin
 491842      1.55045      Lin-Lin
 503527      1.50953      Lin-Lin
 523668      1.44801      Lin-Lin
 543809      1.39538      Lin-Lin
 570000      1.33801      Lin-Lin
 600000      1.28411      Lin-Lin
 650000      1.21401      Lin-Lin
 704938      1.15717      Lin-Lin
 755291      1.11699      Lin-Lin
 805643      1.08531      Lin-Lin
 861992      1.05766      Lin-Lin
 912697      1.03784      Lin-Lin
 993826      1.01247      Lin-Lin
 1.07232E+06 0.994698     Lin-Lin
 1.15811E+06 0.981631     Lin-Lin
 1.27658E+06 0.972519     Lin-Lin
 1.35E+06    0.971502     Lin-Lin
 1.47046E+06 0.977612     Lin-Lin
 1.53189E+06 0.985213     Lin-Lin
 1.61129E+06 0.997938     Lin-Lin
 1.71199E+06 1.02036      Lin-Lin
 1.77621E+06 1.03922      Lin-Lin
 1.9404E+06  1.09485      Lin-Lin
 2.41693E+06 1.26643      Lin-Lin
 2.64583E+06 1.33528      Lin-Lin
 2.8E+06     1.37168      Lin-Lin
 3.02116E+06 1.39186      Lin-Lin
 3.22257E+06 1.4016       Lin-Lin
 3.3E+06     1.40236      Lin-Lin
 3.42398E+06 1.39963      Lin-Lin
 3.65079E+06 1.38509      Lin-Lin
 4.13611E+06 1.34241      Lin-Lin
 4.96913E+06 1.2578       Lin-Lin
 5.41269E+06 1.22176      Lin-Lin
 6.08465E+06 1.17524      Lin-Lin
 6.54585E+06 1.14896      Lin-Lin
 7.15506E+06 1.12759      Lin-Lin
 7.76159E+06 1.1116       Lin-Lin
 8.9439E+06  1.08618      Lin-Lin
 1.00747E+07 1.05641      Lin-Lin
 1.02E+07    1.05311      Lin-Lin
 1.03439E+07 1.04783      Lin-Lin
 1.04898E+07 1.04248      Lin-Lin
 1.06E+07    1.03844      Lin-Lin
 1.07495E+07 1.0308       Lin-Lin
 1.09012E+07 1.02305      Lin-Lin
 1.1E+07     1.018        Lin-Lin
 1.11552E+07 1.00833      Lin-Lin
 1.13126E+07 0.998533     Lin-Lin
 1.14722E+07 0.988593     Lin-Lin
 1.1634E+07  0.978512     Lin-Lin
 1.17982E+07 0.96829      Lin-Lin
 1.18E+07    0.968175     Lin-Lin
 1.19665E+07 0.959529     Lin-Lin
 1.21353E+07 0.95076      Lin-Lin
 1.23065E+07 0.941868     Lin-Lin
 1.24801E+07 0.93285      Lin-Lin
 1.25E+07    0.931818     Lin-Lin
 1.26764E+07 0.923478     Lin-Lin
 1.28552E+07 0.91502      Lin-Lin
 1.30366E+07 0.906443     Lin-Lin
 1.32205E+07 0.897744     Lin-Lin
 1.3407E+07  0.888923     Lin-Lin
 1.35961E+07 0.879978     Lin-Lin
 1.375E+07   0.872701     Lin-Lin
 1.3944E+07  0.864679     Lin-Lin
 1.41407E+07 0.856544     Lin-Lin
 1.425E+07   0.852024     Lin-Lin
 1.4451E+07  0.844601     Lin-Lin
 1.46549E+07 0.837074     Lin-Lin
 1.48617E+07 0.829439     Lin-Lin
 1.50713E+07 0.821698     Lin-Lin
 1.525E+07   0.815101     Lin-Lin
 1.54652E+07 0.80711      Lin-Lin
 1.56833E+07 0.799006     Lin-Lin
 1.59046E+07 0.790787     Lin-Lin
 1.6129E+07  0.782453     Lin-Lin
 1.63565E+07 0.774001     Lin-Lin
 1.65E+07    0.768672     Lin-Lin
 1.67328E+07 0.761071     Lin-Lin
 1.69689E+07 0.753362     Lin-Lin
 1.72083E+07 0.745545     Lin-Lin
 1.725E+07   0.744182     Lin-Lin
 1.74934E+07 0.737652     Lin-Lin
 1.77402E+07 0.73103      Lin-Lin
 1.79904E+07 0.724314     Lin-Lin
 1.82443E+07 0.717503     Lin-Lin
 1.85E+07    0.710641     Lin-Lin
 1.8761E+07  0.704559     Lin-Lin
 1.90257E+07 0.69839      Lin-Lin
 1.925E+07   0.693163     Lin-Lin
 1.95216E+07 0.688168     Lin-Lin
 1.9797E+07  0.683103     Lin-Lin
 2E+07       0.67937      Lin-Lin
#END
