#LIBRARY    ENDF/B-VII.1
#REACTION   MG-26(N,EL)MG-26-L0,SIG
#NUCLEUS    Mg-26
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       31.7352      Lin-Lin
 1.10304E-05 30.2272      Lin-Lin
 1.21669E-05 28.7918      Lin-Lin
 1.34206E-05 27.4257      Lin-Lin
 1.48034E-05 26.1256      Lin-Lin
 1.63286E-05 24.8882      Lin-Lin
 1.80111E-05 23.7107      Lin-Lin
 1.98669E-05 22.5902      Lin-Lin
 2.19139E-05 21.5241      Lin-Lin
 2.41719E-05 20.5097      Lin-Lin
 2.66625E-05 19.5446      Lin-Lin
 2.94097E-05 18.6265      Lin-Lin
 3.244E-05   17.7532      Lin-Lin
 3.57825E-05 16.9225      Lin-Lin
 3.94694E-05 16.1326      Lin-Lin
 4.35362E-05 15.3814      Lin-Lin
 4.80221E-05 14.6672      Lin-Lin
 5.29701E-05 13.9882      Lin-Lin
 5.8428E-05  13.3428      Lin-Lin
 6.44482E-05 12.7296      Lin-Lin
 7.10888E-05 12.1468      Lin-Lin
 7.89667E-05 11.5547      Lin-Lin
 8.77133E-05 10.9947      Lin-Lin
 9.74335E-05 10.4647      Lin-Lin
 0.000108226 9.96379      Lin-Lin
 0.000120219 9.49006      Lin-Lin
 0.000133535 9.04266      Lin-Lin
 0.000148333 8.6199       Lin-Lin
 0.000164763 8.221        Lin-Lin
 0.000183021 7.84447      Lin-Lin
 0.000203293 7.48958      Lin-Lin
 0.000225822 7.15501      Lin-Lin
 0.000250835 6.84011      Lin-Lin
 0.000278632 6.54367      Lin-Lin
 0.000309494 6.26512      Lin-Lin
 0.000343791 6.00337      Lin-Lin
 0.000381871 5.75789      Lin-Lin
 0.00042716  5.51294      Lin-Lin
 0.000477821 5.28468      Lin-Lin
 0.00053449  5.07227      Lin-Lin
 0.00059788  4.87493      Lin-Lin
 0.000668788 4.69191      Lin-Lin
 0.000752426 4.51414      Lin-Lin
 0.0008476   4.3489       Lin-Lin
 0.000954766 4.19743      Lin-Lin
 0.00108307  4.0511       Lin-Lin
 0.00122861  3.91833      Lin-Lin
 0.00140354  3.79191      Lin-Lin
 0.0016033   3.67864      Lin-Lin
 0.00184442  3.57243      Lin-Lin
 0.00213675  3.47407      Lin-Lin
 0.00249277  3.38412      Lin-Lin
 0.00292847  3.30287      Lin-Lin
 0.00348903  3.22756      Lin-Lin
 0.00421534  3.15939      Lin-Lin
 0.00516494  3.09898      Lin-Lin
 0.0064627   3.04506      Lin-Lin
 0.00831632  2.9972       Lin-Lin
 0.0110057   2.95642      Lin-Lin
 0.0152963   2.92105      Lin-Lin
 0.0226437   2.89161      Lin-Lin
 0.0251384   2.88552      Lin-Lin
 0.0253      2.88517      Lin-Lin
 0.0424854   2.86298      Lin-Lin
 0.0855961   2.84653      Lin-Lin
 0.251736    2.83583      Lin-Lin
 3.13414     2.83072      Lin-Lin
 6636.47     2.75646      Lin-Lin
 15208.3     2.6849       Lin-Lin
 25874.9     2.61942      Lin-Lin
 39336.8     2.55975      Lin-Lin
 56366       2.50664      Lin-Lin
 68545.9     2.4793       Lin-Lin
 68677.1     2.48239      Lin-Lin
 68694.4     2.48646      Lin-Lin
 68727.4     2.47707      Lin-Lin
 68853.9     2.47808      Lin-Lin
 91394       2.44444      Lin-Lin
 113045      2.43077      Lin-Lin
 116082      2.43037      Lin-Lin
 134341      2.43859      Lin-Lin
 149439      2.4618       Lin-Lin
 161969      2.49767      Lin-Lin
 172989      2.54648      Lin-Lin
 181859      2.60214      Lin-Lin
 190507      2.67532      Lin-Lin
 197936      2.75787      Lin-Lin
 204478      2.84994      Lin-Lin
 210243      2.95111      Lin-Lin
 213902      3.03244      Lin-Lin
 215676      3.08849      Lin-Lin
 216618      3.13593      Lin-Lin
 217195      3.18261      Lin-Lin
 217605      3.23435      Lin-Lin
 217871      3.28346      Lin-Lin
 218137      3.35412      Lin-Lin
 218315      3.4205       Lin-Lin
 218448      3.48577      Lin-Lin
 218581      3.57013      Lin-Lin
 218670      3.64088      Lin-Lin
 218758      3.72721      Lin-Lin
 218847      3.83381      Lin-Lin
 218931      3.96013      Lin-Lin
 218994      4.0761       Lin-Lin
 219053      4.20486      Lin-Lin
 219110      4.3519       Lin-Lin
 219166      4.52856      Lin-Lin
 219206      4.67534      Lin-Lin
 219246      4.84434      Lin-Lin
 219286      5.04006      Lin-Lin
 219326      5.26813      Lin-Lin
 219356      5.46465      Lin-Lin
 219386      5.68703      Lin-Lin
 219416      5.93971      Lin-Lin
 219446      6.22805      Lin-Lin
 219476      6.55855      Lin-Lin
 219506      6.93906      Lin-Lin
 219525      7.22517      Lin-Lin
 219545      7.54106      Lin-Lin
 219565      7.89049      Lin-Lin
 219585      8.2778       Lin-Lin
 219605      8.7078       Lin-Lin
 219625      9.18601      Lin-Lin
 219645      9.71852      Lin-Lin
 219668      10.4175      Lin-Lin
 219684      10.9354      Lin-Lin
 219700      11.4991      Lin-Lin
 219715      12.1125      Lin-Lin
 219731      12.779       Lin-Lin
 219746      13.5024      Lin-Lin
 219762      14.2854      Lin-Lin
 219777      15.1461      Lin-Lin
 219794      16.0887      Lin-Lin
 219818      17.6265      Lin-Lin
 219842      19.2977      Lin-Lin
 219898      23.4215      Lin-Lin
 219923      25.1401      Lin-Lin
 219942      26.2609      Lin-Lin
 219954      26.8899      Lin-Lin
 219967      27.4022      Lin-Lin
 219979      27.7824      Lin-Lin
 219992      28.0189      Lin-Lin
 220004      28.1036      Lin-Lin
 220016      28.0506      Lin-Lin
 220028      27.8533      Lin-Lin
 220040      27.519       Lin-Lin
 220053      27.0594      Lin-Lin
 220071      26.1687      Lin-Lin
 220090      25.0913      Lin-Lin
 220118      23.2119      Lin-Lin
 220166      19.8606      Lin-Lin
 220190      18.2735      Lin-Lin
 220215      16.805       Lin-Lin
 220231      15.9004      Lin-Lin
 220248      14.9731      Lin-Lin
 220266      14.1194      Lin-Lin
 220284      13.3362      Lin-Lin
 220302      12.6197      Lin-Lin
 220319      11.9651      Lin-Lin
 220337      11.3676      Lin-Lin
 220355      10.8224      Lin-Lin
 220373      10.3247      Lin-Lin
 220393      9.81311      Lin-Lin
 220413      9.35062      Lin-Lin
 220433      8.93229      Lin-Lin
 220453      8.55323      Lin-Lin
 220483      8.04882      Lin-Lin
 220513      7.61051      Lin-Lin
 220543      7.23099      Lin-Lin
 220572      6.90329      Lin-Lin
 220602      6.61388      Lin-Lin
 220631      6.35727      Lin-Lin
 220670      6.0583       Lin-Lin
 220711      5.78872      Lin-Lin
 220754      5.54653      Lin-Lin
 220797      5.33839      Lin-Lin
 220840      5.15739      Lin-Lin
 220901      4.94071      Lin-Lin
 220960      4.76549      Lin-Lin
 221018      4.61726      Lin-Lin
 221096      4.45274      Lin-Lin
 221175      4.31785      Lin-Lin
 221253      4.20594      Lin-Lin
 221370      4.07082      Lin-Lin
 221488      3.96502      Lin-Lin
 221605      3.88076      Lin-Lin
 221738      3.8048       Lin-Lin
 221926      3.72245      Lin-Lin
 222114      3.66108      Lin-Lin
 222395      3.59527      Lin-Lin
 222771      3.53859      Lin-Lin
 223271      3.49497      Lin-Lin
 223897      3.46846      Lin-Lin
 224736      3.45825      Lin-Lin
 226086      3.47113      Lin-Lin
 228223      3.52417      Lin-Lin
 231148      3.62738      Lin-Lin
 234523      3.77439      Lin-Lin
 237898      3.94766      Lin-Lin
 241048      4.13439      Lin-Lin
 244199      4.34686      Lin-Lin
 246899      4.55358      Lin-Lin
 249599      4.78137      Lin-Lin
 252299      5.03781      Lin-Lin
 254999      5.31946      Lin-Lin
 257699      5.6348       Lin-Lin
 260399      5.97907      Lin-Lin
 263099      6.3607       Lin-Lin
 265799      6.77292      Lin-Lin
 267599      7.06765      Lin-Lin
 271199      7.6983       Lin-Lin
 276738      8.74905      Lin-Lin
 282900      9.92552      Lin-Lin
 285600      10.3934      Lin-Lin
 288300      10.8112      Lin-Lin
 290100      11.0469      Lin-Lin
 291900      11.2439      Lin-Lin
 294600      11.4582      Lin-Lin
 297795      11.5742      Lin-Lin
 298785      11.5821      Lin-Lin
 300720      11.5537      Lin-Lin
 302700      11.4722      Lin-Lin
 304500      11.3563      Lin-Lin
 307200      11.1139      Lin-Lin
 309900      10.8152      Lin-Lin
 313500      10.3442      Lin-Lin
 325201      8.65349      Lin-Lin
 330601      7.93039      Lin-Lin
 335101      7.38752      Lin-Lin
 338701      6.99301      Lin-Lin
 342301      6.63369      Lin-Lin
 346801      6.22993      Lin-Lin
 351301      5.87448      Lin-Lin
 355801      5.55841      Lin-Lin
 361202      5.22651      Lin-Lin
 366602      4.93723      Lin-Lin
 372002      4.68301      Lin-Lin
 378302      4.42223      Lin-Lin
 385502      4.15933      Lin-Lin
 395402      3.83656      Lin-Lin
 405753      3.50576      Lin-Lin
 410478      3.3345       Lin-Lin
 413853      3.19055      Lin-Lin
 416328      3.06485      Lin-Lin
 418466      2.93593      Lin-Lin
 420418      2.79743      Lin-Lin
 422392      2.65054      Lin-Lin
 423020      2.61746      Lin-Lin
 423423      2.60908      Lin-Lin
 423782      2.61776      Lin-Lin
 424051      2.64031      Lin-Lin
 424253      2.67067      Lin-Lin
 424455      2.71717      Lin-Lin
 424592      2.76066      Lin-Lin
 424729      2.81705      Lin-Lin
 424889      2.90293      Lin-Lin
 424995      2.97531      Lin-Lin
 425102      3.06264      Lin-Lin
 425208      3.16795      Lin-Lin
 425314      3.29499      Lin-Lin
 425394      3.40724      Lin-Lin
 425474      3.53651      Lin-Lin
 425554      3.68542      Lin-Lin
 425634      3.857        Lin-Lin
 425714      4.05472      Lin-Lin
 425793      4.28251      Lin-Lin
 425873      4.54471      Lin-Lin
 425953      4.84601      Lin-Lin
 426006      5.07091      Lin-Lin
 426060      5.31696      Lin-Lin
 426113      5.58544      Lin-Lin
 426166      5.87739      Lin-Lin
 426219      6.19396      Lin-Lin
 426299      6.71642      Lin-Lin
 426379      7.29531      Lin-Lin
 426461      7.94439      Lin-Lin
 426576      8.92686      Lin-Lin
 426716      10.1441      Lin-Lin
 426796      10.798       Lin-Lin
 426876      11.3724      Lin-Lin
 426929      11.6939      Lin-Lin
 426982      11.956       Lin-Lin
 427036      12.1505      Lin-Lin
 427089      12.2744      Lin-Lin
 427142      12.3268      Lin-Lin
 427160      12.3286      Lin-Lin
 427222      12.2757      Lin-Lin
 427284      12.1346      Lin-Lin
 427346      11.925       Lin-Lin
 427408      11.6574      Lin-Lin
 427495      11.213       Lin-Lin
 427692      10.0566      Lin-Lin
 427852      9.11969      Lin-Lin
 427958      8.53914      Lin-Lin
 428065      8.00493      Lin-Lin
 428171      7.51983      Lin-Lin
 428278      7.08229      Lin-Lin
 428384      6.6895       Lin-Lin
 428490      6.33723      Lin-Lin
 428597      6.02161      Lin-Lin
 428703      5.73844      Lin-Lin
 428810      5.48431      Lin-Lin
 428916      5.25586      Lin-Lin
 429023      5.05051      Lin-Lin
 429182      4.78075      Lin-Lin
 429342      4.55177      Lin-Lin
 429510      4.35124      Lin-Lin
 429676      4.1909       Lin-Lin
 429787      4.10551      Lin-Lin
 429898      4.03814      Lin-Lin
 430008      3.99011      Lin-Lin
 430133      3.96205      Lin-Lin
 430174      3.95922      Lin-Lin
 430278      3.97039      Lin-Lin
 430382      4.00852      Lin-Lin
 430479      4.07346      Lin-Lin
 430562      4.15558      Lin-Lin
 430644      4.26629      Lin-Lin
 430728      4.41034      Lin-Lin
 430810      4.59247      Lin-Lin
 430866      4.7377       Lin-Lin
 430921      4.90631      Lin-Lin
 430976      5.09945      Lin-Lin
 431032      5.31941      Lin-Lin
 431087      5.56864      Lin-Lin
 431142      5.84959      Lin-Lin
 431198      6.16464      Lin-Lin
 431253      6.5159       Lin-Lin
 431308      6.9051       Lin-Lin
 431366      7.352        Lin-Lin
 431426      7.86182      Lin-Lin
 431486      8.41644      Lin-Lin
 431546      9.01189      Lin-Lin
 431631      9.91715      Lin-Lin
 431823      12.0409      Lin-Lin
 431902      12.855       Lin-Lin
 431981      13.5769      Lin-Lin
 432036      14.0081      Lin-Lin
 432095      14.383       Lin-Lin
 432153      14.6714      Lin-Lin
 432211      14.8705      Lin-Lin
 432277      14.9904      Lin-Lin
 432314      15.0105      Lin-Lin
 432383      14.9618      Lin-Lin
 432452      14.8295      Lin-Lin
 432521      14.6169      Lin-Lin
 432590      14.3465      Lin-Lin
 432701      13.8348      Lin-Lin
 433088      11.8497      Lin-Lin
 433254      11.0791      Lin-Lin
 433420      10.3938      Lin-Lin
 433586      9.79302      Lin-Lin
 433752      9.2692       Lin-Lin
 433918      8.81281      Lin-Lin
 434084      8.41436      Lin-Lin
 434250      8.06514      Lin-Lin
 434361      7.85588      Lin-Lin
 434582      7.48553      Lin-Lin
 434803      7.16885      Lin-Lin
 435024      6.89568      Lin-Lin
 435246      6.65805      Lin-Lin
 435467      6.44994      Lin-Lin
 435707      6.2515       Lin-Lin
 436080      5.98838      Lin-Lin
 436449      5.77099      Lin-Lin
 436830      5.58162      Lin-Lin
 437348      5.36592      Lin-Lin
 437901      5.17725      Lin-Lin
 438455      5.02041      Lin-Lin
 439192      4.84801      Lin-Lin
 439930      4.70673      Lin-Lin
 440944      4.54933      Lin-Lin
 441959      4.42184      Lin-Lin
 443342      4.28256      Lin-Lin
