#LIBRARY    ENDF/B-VII.1
#REACTION   MN-55(N,EL)MN-55-L0,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     6e+07
#E,eV        Sig,b        Interpolation
 1E-05       16.23        Lin-Lin
 1.10304E-05 15.4647      Lin-Lin
 1.21669E-05 14.7365      Lin-Lin
 1.34206E-05 14.0438      Lin-Lin
 1.48034E-05 13.3849      Lin-Lin
 1.63286E-05 12.7582      Lin-Lin
 1.80111E-05 12.1621      Lin-Lin
 1.98669E-05 11.5952      Lin-Lin
 2.19139E-05 11.0563      Lin-Lin
 2.41719E-05 10.5438      Lin-Lin
 2.66625E-05 10.0568      Lin-Lin
 2.94097E-05 9.59388      Lin-Lin
 3.244E-05   9.15403      Lin-Lin
 3.57825E-05 8.73616      Lin-Lin
 3.97479E-05 8.3116       Lin-Lin
 4.41505E-05 7.91014      Lin-Lin
 4.90431E-05 7.53029      Lin-Lin
 5.44753E-05 7.17133      Lin-Lin
 6.05121E-05 6.83195      Lin-Lin
 6.72147E-05 6.5115       Lin-Lin
 7.46633E-05 6.20879      Lin-Lin
 8.29332E-05 5.92326      Lin-Lin
 9.21237E-05 5.65382      Lin-Lin
 0.000102328 5.39998      Lin-Lin
 0.000113667 5.16077      Lin-Lin
 0.000126257 4.93571      Lin-Lin
 0.000140249 4.72396      Lin-Lin
 0.000155784 4.52509      Lin-Lin
 0.000173047 4.33833      Lin-Lin
 0.00019357  4.15198      Lin-Lin
 0.000216528 3.97822      Lin-Lin
 0.000242208 3.81644      Lin-Lin
 0.000270933 3.66604      Lin-Lin
 0.000303065 3.52647      Lin-Lin
 0.000341383 3.38944      Lin-Lin
 0.000384565 3.26333      Lin-Lin
 0.000433187 3.14764      Lin-Lin
 0.000491399 3.03576      Lin-Lin
 0.000557433 2.93416      Lin-Lin
 0.000632341 2.84218      Lin-Lin
 0.000722375 2.75477      Lin-Lin
 0.000831009 2.67274      Lin-Lin
 0.000962676 2.5967       Lin-Lin
 0.00112307  2.52705      Lin-Lin
 0.00131943  2.46404      Lin-Lin
 0.00156098  2.40776      Lin-Lin
 0.00187281  2.35625      Lin-Lin
 0.00227864  2.31015      Lin-Lin
 0.0028312   2.26855      Lin-Lin
 0.00359256  2.23217      Lin-Lin
 0.00472126  2.19982      Lin-Lin
 0.00642558  2.17252      Lin-Lin
 0.0092492   2.14945      Lin-Lin
 0.0144811   2.13052      Lin-Lin
 0.0252419   2.11633      Lin-Lin
 0.0253      2.11629      Lin-Lin
 0.0562245   2.10607      Lin-Lin
 0.204024    2.10153      Lin-Lin
 6.6319      2.17707      Lin-Lin
 16.9545     2.31565      Lin-Lin
 26.9195     2.46729      Lin-Lin
 36.6372     2.63434      Lin-Lin
 46.1639     2.81923      Lin-Lin
 54.2353     2.99547      Lin-Lin
 61.0925     3.1594       Lin-Lin
 67.8627     3.33615      Lin-Lin
 75.9111     3.56699      Lin-Lin
 83.7328     3.8196       Lin-Lin
