#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,EL)N-14-L0,SIG
#NUCLEUS    N-14
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       151.143      Lin-Lin
 1.10304E-05 143.938      Lin-Lin
 1.21669E-05 137.079      Lin-Lin
 1.34206E-05 130.549      Lin-Lin
 1.48034E-05 124.334      Lin-Lin
 1.63286E-05 118.417      Lin-Lin
 1.80111E-05 112.785      Lin-Lin
 1.98669E-05 107.425      Lin-Lin
 2.19139E-05 102.323      Lin-Lin
 2.41719E-05 97.4664      Lin-Lin
 2.66625E-05 92.8446      Lin-Lin
 2.94097E-05 88.446       Lin-Lin
 3.244E-05   84.2601      Lin-Lin
 3.57825E-05 80.2769      Lin-Lin
 3.94694E-05 76.4866      Lin-Lin
 4.35362E-05 72.8803      Lin-Lin
 4.80221E-05 69.4492      Lin-Lin
 5.29701E-05 66.1851      Lin-Lin
 5.8428E-05  63.0801      Lin-Lin
 6.44482E-05 60.1267      Lin-Lin
 7.10888E-05 57.3179      Lin-Lin
 7.84136E-05 54.6469      Lin-Lin
 8.64931E-05 52.1073      Lin-Lin
 9.54051E-05 49.6928      Lin-Lin
 0.000105764 47.2837      Lin-Lin
 0.000116661 45.1082      Lin-Lin
 0.000128682 43.0411      Lin-Lin
 0.000142942 40.9405      Lin-Lin
 0.000158775 38.9536      Lin-Lin
 0.00017637  37.0732      Lin-Lin
 0.000195905 35.2958      Lin-Lin
 0.000217538 33.6202      Lin-Lin
 0.000241645 32.0313      Lin-Lin
 0.000268411 30.5312      Lin-Lin
 0.000298156 29.1143      Lin-Lin
 0.00033118  27.7779      Lin-Lin
 0.000367881 26.5169      Lin-Lin
 0.000408629 25.3291      Lin-Lin
 0.000453912 24.2098      Lin-Lin
 0.000504189 23.157       Lin-Lin
 0.000560062 22.1665      Lin-Lin
 0.000622097 21.2364      Lin-Lin
 0.000691036 20.3631      Lin-Lin
 0.000772992 19.492       Lin-Lin
 0.000864668 18.6798      Lin-Lin
 0.000967217 17.9238      Lin-Lin
 0.00108013  17.2313      Lin-Lin
 0.00120823  16.5787      Lin-Lin
 0.00136099  15.9382      Lin-Lin
 0.00153314  15.3489      Lin-Lin
 0.00172698  14.8085      Lin-Lin
 0.00195905  14.286       Lin-Lin
 0.00222164  13.8128      Lin-Lin
 0.00253783  13.361       Lin-Lin
 0.00289918  12.9556      Lin-Lin
 0.00333517  12.5753      Lin-Lin
 0.0038636   12.223       Lin-Lin
 0.00450733  11.9005      Lin-Lin
 0.0052954   11.6089      Lin-Lin
 0.00626485  11.3486      Lin-Lin
 0.00751634  11.1104      Lin-Lin
 0.00914506  10.8973      Lin-Lin
 0.0113438   10.7063      Lin-Lin
 0.0144959   10.5335      Lin-Lin
 0.0190492   10.3848      Lin-Lin
 0.0252547   10.2685      Lin-Lin
 0.0253      10.2678      Lin-Lin
 0.0364177   10.159       Lin-Lin
 0.0571191   10.0693      Lin-Lin
 0.101411    10.0003      Lin-Lin
 0.228546    9.95082      Lin-Lin
 0.914784    9.92102      Lin-Lin
 431.893     9.7964       Lin-Lin
 2919.48     9.2765       Lin-Lin
 4634        8.95022      Lin-Lin
 6664.91     8.60544      Lin-Lin
 8824.3      8.27984      Lin-Lin
 10284.2     8.08411      Lin-Lin
 20141.1     7.04351      Lin-Lin
 40000       5.84863      Lin-Lin
 60423.3     5.166        Lin-Lin
 80564.3     4.72677      Lin-Lin
 100705      4.4106       Lin-Lin
 121669      4.15894      Lin-Lin
 141941      3.96214      Lin-Lin
 163402      3.78839      Lin-Lin
 185115      3.63753      Lin-Lin
 204252      3.52099      Lin-Lin
 253527      3.26225      Lin-Lin
 306318      3.03301      Lin-Lin
 354852      2.84795      Lin-Lin
 400000      2.69491      Lin-Lin
 410000      2.67236      Lin-Lin
 420000      2.68885      Lin-Lin
 422000      2.71126      Lin-Lin
 424000      2.75452      Lin-Lin
 425000      2.79056      Lin-Lin
 426000      2.84353      Lin-Lin
 427000      2.92446      Lin-Lin
 428000      3.05457      Lin-Lin
 429000      3.27936      Lin-Lin
 430000      3.70325      Lin-Lin
 430200      3.82993      Lin-Lin
 430400      3.98062      Lin-Lin
 430600      4.1582       Lin-Lin
 430800      4.3688       Lin-Lin
 431000      4.62004      Lin-Lin
 431200      4.92126      Lin-Lin
 431350      5.18841      Lin-Lin
 431450      5.38802      Lin-Lin
 431600      5.72196      Lin-Lin
 431750      6.11124      Lin-Lin
 431850      6.40114      Lin-Lin
 432000      6.88353      Lin-Lin
 432150      7.43628      Lin-Lin
 432250      7.83798      Lin-Lin
 432400      8.48749      Lin-Lin
 432800      10.3475      Lin-Lin
 432950      10.9588      Lin-Lin
 433000      11.1395      Lin-Lin
 433100      11.4167      Lin-Lin
 433175      11.5939      Lin-Lin
 433225      11.6677      Lin-Lin
 433363      11.7294      Lin-Lin
 433425      11.6931      Lin-Lin
 433550      11.4758      Lin-Lin
 433600      11.3605      Lin-Lin
 433700      11.0318      Lin-Lin
 433800      10.6611      Lin-Lin
 434000      9.77297      Lin-Lin
 434250      8.61551      Lin-Lin
 434400      7.95995      Lin-Lin
 434550      7.36628      Lin-Lin
 434650      7.00361      Lin-Lin
 434800      6.50973      Lin-Lin
 434950      6.08291      Lin-Lin
 435000      5.95845      Lin-Lin
 435063      5.83713      Lin-Lin
 435969      4.32574      Lin-Lin
 436000      4.284        Lin-Lin
 436063      4.22508      Lin-Lin
 436750      3.73277      Lin-Lin
 437000      3.55984      Lin-Lin
 437500      3.37734      Lin-Lin
 438000      3.20307      Lin-Lin
 439000      3.00391      Lin-Lin
 440000      2.88175      Lin-Lin
 442000      2.74441      Lin-Lin
 444000      2.67132      Lin-Lin
 446000      2.62631      Lin-Lin
 448000      2.59546      Lin-Lin
 450000      2.57255      Lin-Lin
 455000      2.53263      Lin-Lin
 460000      2.50392      Lin-Lin
 474000      2.44422      Lin-Lin
 482000      2.42274      Lin-Lin
 485000      2.4269       Lin-Lin
 486000      2.43082      Lin-Lin
 488000      2.4528       Lin-Lin
 490600      2.49729      Lin-Lin
 491200      2.50028      Lin-Lin
 492100      2.49261      Lin-Lin
 496000      2.41113      Lin-Lin
 498000      2.38399      Lin-Lin
 502000      2.35075      Lin-Lin
 513598      2.29198      Lin-Lin
 543809      2.15188      Lin-Lin
 553880      2.09753      Lin-Lin
 560000      2.06208      Lin-Lin
 570000      1.99497      Lin-Lin
 580000      1.91396      Lin-Lin
 590000      1.81204      Lin-Lin
 600000      1.67994      Lin-Lin
 605000      1.60006      Lin-Lin
 615000      1.42574      Lin-Lin
 618000      1.38126      Lin-Lin
 620000      1.35999      Lin-Lin
 622000      1.34862      Lin-Lin
 624250      1.35272      Lin-Lin
 625000      1.35831      Lin-Lin
 626000      1.37054      Lin-Lin
 628000      1.41019      Lin-Lin
 630000      1.47089      Lin-Lin
 635000      1.69862      Lin-Lin
 640000      1.96027      Lin-Lin
 642000      2.05237      Lin-Lin
 644000      2.13186      Lin-Lin
 646000      2.19767      Lin-Lin
 648000      2.25028      Lin-Lin
 650000      2.29089      Lin-Lin
 652000      2.32129      Lin-Lin
 655000      2.35113      Lin-Lin
 659000      2.36909      Lin-Lin
 660000      2.37132      Lin-Lin
 670000      2.35514      Lin-Lin
 689594      2.26707      Lin-Lin
 710000      2.1709       Lin-Lin
 745220      2.02748      Lin-Lin
 840000      1.67518      Lin-Lin
 866067      1.56834      Lin-Lin
 880000      1.50758      Lin-Lin
 900000      1.41008      Lin-Lin
 910000      1.35588      Lin-Lin
 920000      1.29718      Lin-Lin
 930000      1.23307      Lin-Lin
 940000      1.16318      Lin-Lin
 955000      1.05284      Lin-Lin
 960000      1.01692      Lin-Lin
 965000      0.988643     Lin-Lin
 970000      0.974085     Lin-Lin
 975000      0.986514     Lin-Lin
 980000      1.04879      Lin-Lin
 985000      1.19598      Lin-Lin
 990000      1.4666       Lin-Lin
 995000      1.8656       Lin-Lin
 1E+06       2.30797      Lin-Lin
 1.005E+06   2.64377      Lin-Lin
 1.01E+06    2.79021      Lin-Lin
 1.012E+06   2.80104      Lin-Lin
 1.014E+06   2.7912       Lin-Lin
 1.016E+06   2.76615      Lin-Lin
 1.018E+06   2.73017      Lin-Lin
 1.04E+06    2.22812      Lin-Lin
 1.045E+06   2.14065      Lin-Lin
 1.05E+06    2.06524      Lin-Lin
 1.055E+06   2.00044      Lin-Lin
 1.06E+06    1.94543      Lin-Lin
 1.065E+06   1.89963      Lin-Lin
 1.07E+06    1.86294      Lin-Lin
 1.075E+06   1.83615      Lin-Lin
 1.08E+06    1.82127      Lin-Lin
 1.085E+06   1.82241      Lin-Lin
 1.09E+06    1.84779      Lin-Lin
 1.095E+06   1.91417      Lin-Lin
 1.1E+06     2.05748      Lin-Lin
 1.105E+06   2.35899      Lin-Lin
 1.11E+06    2.97652      Lin-Lin
 1.1125E+06  3.42901      Lin-Lin
 1.114E+06   3.70892      Lin-Lin
 1.116E+06   3.98351      Lin-Lin
 1.117E+06   4.03971      Lin-Lin
 1.118E+06   4.02585      Lin-Lin
 1.119E+06   3.94404      Lin-Lin
 1.12E+06    3.80528      Lin-Lin
 1.125E+06   2.85704      Lin-Lin
 1.13E+06    2.21147      Lin-Lin
 1.135E+06   1.87536      Lin-Lin
 1.14E+06    1.69176      Lin-Lin
 1.145E+06   1.58178      Lin-Lin
 1.15E+06    1.5103       Lin-Lin
 1.155E+06   1.46096      Lin-Lin
 1.16E+06    1.42584      Lin-Lin
 1.165E+06   1.40083      Lin-Lin
 1.17E+06    1.38474      Lin-Lin
 1.174E+06   1.38005      Lin-Lin
 1.176E+06   1.38278      Lin-Lin
 1.178E+06   1.39295      Lin-Lin
 1.18E+06    1.42335      Lin-Lin
 1.181E+06   1.46053      Lin-Lin
 1.18194E+06 1.53573      Lin-Lin
 1.182E+06   1.54374      Lin-Lin
 1.18212E+06 1.56847      Lin-Lin
 1.18294E+06 1.75485      Lin-Lin
