#LIBRARY    ENDF/B-VII.1
#REACTION   N-15(N,EL)N-15-L0,SIG
#NUCLEUS    N-15
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       65.1107      Lin-Lin
 1.10304E-05 62.0075      Lin-Lin
 1.21669E-05 59.0536      Lin-Lin
 1.34206E-05 56.2416      Lin-Lin
 1.48034E-05 53.5648      Lin-Lin
 1.63286E-05 51.0169      Lin-Lin
 1.80111E-05 48.5916      Lin-Lin
 1.98669E-05 46.2832      Lin-Lin
 2.19139E-05 44.0861      Lin-Lin
 2.41719E-05 41.995       Lin-Lin
 2.66625E-05 40.0049      Lin-Lin
 2.94097E-05 38.111       Lin-Lin
 3.244E-05   36.3087      Lin-Lin
 3.57825E-05 34.5938      Lin-Lin
 3.94694E-05 32.962       Lin-Lin
 4.35362E-05 31.4095      Lin-Lin
 4.80221E-05 29.9325      Lin-Lin
 5.29701E-05 28.5274      Lin-Lin
 5.8428E-05  27.191       Lin-Lin
 6.44482E-05 25.9199      Lin-Lin
 7.10888E-05 24.7111      Lin-Lin
 7.84136E-05 23.5617      Lin-Lin
 8.64931E-05 22.4689      Lin-Lin
 9.54051E-05 21.4302      Lin-Lin
 0.000105235 20.4429      Lin-Lin
 0.000116078 19.5048      Lin-Lin
 0.000128039 18.6135      Lin-Lin
 0.000142228 17.7078      Lin-Lin
 0.000157981 16.8514      Lin-Lin
 0.000175489 16.041       Lin-Lin
 0.000194926 15.2752      Lin-Lin
 0.000216528 14.551       Lin-Lin
 0.000240511 13.8672      Lin-Lin
 0.000267164 13.2211      Lin-Lin
 0.000296756 12.6117      Lin-Lin
 0.000329642 12.0365      Lin-Lin
 0.000366154 11.4946      Lin-Lin
 0.00040673  10.9837      Lin-Lin
 0.000451781 10.5031      Lin-Lin
 0.000501847 10.0508      Lin-Lin
 0.000557433 9.62586      Lin-Lin
 0.000619206 9.22675      Lin-Lin
 0.000692643 8.82841      Lin-Lin
 0.00077479  8.45688      Lin-Lin
 0.000866679 8.11086      Lin-Lin
 0.000969466 7.78907      Lin-Lin
 0.00108444  7.49033      Lin-Lin
 0.00121306  7.21347      Lin-Lin
 0.00136643  6.94211      Lin-Lin
 0.00153927  6.6928       Lin-Lin
 0.00173389  6.4645       Lin-Lin
 0.00196689  6.24416      Lin-Lin
 0.0022312   6.04449      Lin-Lin
 0.00254888  5.85458      Lin-Lin
 0.00291165  5.68463      Lin-Lin
 0.00334952  5.52548      Lin-Lin
 0.00388041  5.37827      Lin-Lin
 0.00452694  5.24381      Lin-Lin
 0.00535571  5.11761      Lin-Lin
 0.00638057  5.00605      Lin-Lin
 0.00770918  4.90509      Lin-Lin
 0.00951202  4.81293      Lin-Lin
 0.0119854   4.73145      Lin-Lin
 0.0155318   4.6597       Lin-Lin
 0.0208446   4.59739      Lin-Lin
 0.0252419   4.56513      Lin-Lin
 0.0253      4.56477      Lin-Lin
 0.037192    4.514        Lin-Lin
 0.0594651   4.46908      Lin-Lin
 0.101981    4.4315       Lin-Lin
 0.217305    4.40151      Lin-Lin
 0.48292     4.37568      Lin-Lin
 1.90606     4.34569      Lin-Lin
 8.01245     4.31907      Lin-Lin
 27.2993     4.29769      Lin-Lin
 105.506     4.27328      Lin-Lin
 364.541     4.25169      Lin-Lin
 1259.49     4.22989      Lin-Lin
 4970.24     4.20524      Lin-Lin
 18290.1     4.17945      Lin-Lin
 50403.6     4.15542      Lin-Lin
 101411      4.13426      Lin-Lin
