#LIBRARY    ENDF/B-VII.1
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       54.9665      Lin-Lin
 1.10304E-05 52.3475      Lin-Lin
 1.21669E-05 49.8545      Lin-Lin
 1.34206E-05 47.4813      Lin-Lin
 1.4808E-05  45.2152      Lin-Lin
 1.63646E-05 43.025       Lin-Lin
 1.81111E-05 40.9128      Lin-Lin
 2.00055E-05 38.9429      Lin-Lin
 2.20603E-05 37.1007      Lin-Lin
 2.43333E-05 35.3421      Lin-Lin
 2.68405E-05 33.6685      Lin-Lin
 2.97499E-05 31.9991      Lin-Lin
 3.28152E-05 30.4873      Lin-Lin
 3.61964E-05 29.0488      Lin-Lin
 3.9926E-05  27.6801      Lin-Lin
 4.40398E-05 26.3779      Lin-Lin
 4.85775E-05 25.1392      Lin-Lin
 5.35828E-05 23.961       Lin-Lin
 5.91038E-05 22.8403      Lin-Lin
 6.51937E-05 21.7745      Lin-Lin
 7.19111E-05 20.7611      Lin-Lin
 7.93206E-05 19.7976      Lin-Lin
 8.74935E-05 18.8816      Lin-Lin
 9.65086E-05 18.0111      Lin-Lin
 0.000106452 17.1838      Lin-Lin
 0.000117851 16.3692      Lin-Lin
 0.000130308 15.6061      Lin-Lin
 0.000144741 14.8504      Lin-Lin
 0.000160781 14.1353      Lin-Lin
 0.00017859  13.4593      Lin-Lin
 0.00019838  12.8202      Lin-Lin
 0.000220364 12.2163      Lin-Lin
 0.000245029 11.6407      Lin-Lin
 0.000272342 11.0997      Lin-Lin
 0.000302522 10.5923      Lin-Lin
 0.000336031 10.1141      Lin-Lin
 0.000374506 9.64961      Lin-Lin
 0.000417608 9.21102      Lin-Lin
 0.000463863 8.8136       Lin-Lin
 0.000515737 8.43674      Lin-Lin
 0.000576043 8.06829      Lin-Lin
 0.000642118 7.72987      Lin-Lin
 0.000717855 7.40532      Lin-Lin
 0.000802992 7.10137      Lin-Lin
 0.000901149 6.81078      Lin-Lin
 0.00100802  6.54885      Lin-Lin
 0.00112757  6.30607      Lin-Lin
 0.0012702   6.06797      Lin-Lin
 0.00142891  5.85168      Lin-Lin
 0.0016141   5.64667      Lin-Lin
 0.00182216  5.46061      Lin-Lin
 0.00206702  5.28488      Lin-Lin
 0.00236121  5.11776      Lin-Lin
 0.002703    4.96585      Lin-Lin
 0.00310515  4.82722      Lin-Lin
 0.00359714  4.69763      Lin-Lin
 0.00419647  4.57919      Lin-Lin
 0.0049302   4.47227      Lin-Lin
 0.00587364  4.37329      Lin-Lin
 0.00709669  4.28371      Lin-Lin
 0.00869496  4.20442      Lin-Lin
 0.0108797   4.13364      Lin-Lin
 0.0140002   4.07084      Lin-Lin
 0.0186583   4.01618      Lin-Lin
 0.0252579   3.97326      Lin-Lin
 0.0253      3.97305      Lin-Lin
 0.0374525   3.93373      Lin-Lin
 0.0611549   3.90198      Lin-Lin
 0.117317    3.87796      Lin-Lin
 0.308445    3.86176      Lin-Lin
 2.16219     3.85324      Lin-Lin
 25.6308     3.85205      Lin-Lin
 39.5708     3.85207      Lin-Lin
 111860      3.62291      Lin-Lin
 182512      3.50252      Lin-Lin
 227847      3.4478       Lin-Lin
 255624      3.43282      Lin-Lin
 260000      3.43141      Lin-Lin
 281975      3.44316      Lin-Lin
 302116      3.47942      Lin-Lin
 312187      3.51354      Lin-Lin
 322257      3.56326      Lin-Lin
 330000      3.61324      Lin-Lin
 340000      3.70565      Lin-Lin
 350000      3.83918      Lin-Lin
 359945      4.03404      Lin-Lin
 370000      4.33032      Lin-Lin
 380000      4.7895       Lin-Lin
 390000      5.53423      Lin-Lin
 400000      6.7948       Lin-Lin
 405000      7.73895      Lin-Lin
 410000      8.97931      Lin-Lin
 415000      10.5689      Lin-Lin
 420000      12.4823      Lin-Lin
 425000      14.4897      Lin-Lin
 430000      16.0598      Lin-Lin
 435000      16.5542      Lin-Lin
 439986      15.7646      Lin-Lin
 445000      14.1033      Lin-Lin
 450000      12.2055      Lin-Lin
 455000      10.4709      Lin-Lin
 460000      9.04012      Lin-Lin
 465000      7.91047      Lin-Lin
 470000      7.0316       Lin-Lin
 475000      6.34726      Lin-Lin
 480000      5.81014      Lin-Lin
 485000      5.38376      Lin-Lin
 490000      5.0411       Lin-Lin
