#LIBRARY    ENDF/B-VII.1
#REACTION   O-17(N,EL)O-17-L0,SIG
#NUCLEUS    O-17
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       51.7838      Lin-Lin
 1.10304E-05 49.3172      Lin-Lin
 1.21669E-05 46.9691      Lin-Lin
 1.34206E-05 44.734       Lin-Lin
 1.48034E-05 42.6065      Lin-Lin
 1.63286E-05 40.5814      Lin-Lin
 1.80111E-05 38.6539      Lin-Lin
 1.98669E-05 36.8194      Lin-Lin
 2.19139E-05 35.0734      Lin-Lin
 2.41719E-05 33.4117      Lin-Lin
 2.66625E-05 31.8304      Lin-Lin
 2.94097E-05 30.3257      Lin-Lin
 3.244E-05   28.8938      Lin-Lin
 3.57825E-05 27.5314      Lin-Lin
 3.94694E-05 26.2352      Lin-Lin
 4.35362E-05 25.0021      Lin-Lin
 4.80221E-05 23.8291      Lin-Lin
 5.29701E-05 22.7134      Lin-Lin
 5.8428E-05  21.6523      Lin-Lin
 6.44482E-05 20.6432      Lin-Lin
 7.10888E-05 19.6838      Lin-Lin
 7.84136E-05 18.7717      Lin-Lin
 8.64931E-05 17.9047      Lin-Lin
 9.54051E-05 17.0807      Lin-Lin
 0.000105235 16.2977      Lin-Lin
 0.000116897 15.502       Lin-Lin
 0.000129845 14.7494      Lin-Lin
 0.000144234 14.0371      Lin-Lin
 0.00016021  13.3638      Lin-Lin
 0.000177964 12.727       Lin-Lin
 0.000197676 12.1255      Lin-Lin
 0.000219582 11.557       Lin-Lin
 0.000243904 11.0205      Lin-Lin
 0.000270933 10.5141      Lin-Lin
 0.000300943 10.0366      Lin-Lin
 0.000334292 9.58643      Lin-Lin
 0.00037132  9.16259      Lin-Lin
 0.000412469 8.76351      Lin-Lin
 0.000458155 8.38841      Lin-Lin
 0.000508927 8.03583      Lin-Lin
 0.000565297 7.70507      Lin-Lin
 0.000632341 7.37491      Lin-Lin
 0.000707336 7.0671       Lin-Lin
 0.000791225 6.78055      Lin-Lin
 0.000885063 6.51421      Lin-Lin
 0.00099003  6.26707      Lin-Lin
 0.00111526  6.02439      Lin-Lin
 0.00125627  5.80129      Lin-Lin
 0.00141517  5.59648      Lin-Lin
 0.00160534  5.39856      Lin-Lin
 0.00182107  5.21887      Lin-Lin
 0.00208025  5.04769      Lin-Lin
 0.00237644  4.89407      Lin-Lin
 0.00273382  4.74998      Lin-Lin
 0.00316698  4.61645      Lin-Lin
 0.00369464  4.49421      Lin-Lin
 0.00434062  4.38368      Lin-Lin
 0.00513528  4.28498      Lin-Lin
 0.00616112  4.19467      Lin-Lin
 0.00749618  4.11386      Lin-Lin
 0.00931399  4.04094      Lin-Lin
 0.011902    3.97551      Lin-Lin
 0.0156406   3.91922      Lin-Lin
 0.0214369   3.87076      Lin-Lin
 0.0252419   3.85105      Lin-Lin
 0.0253      3.8508       Lin-Lin
 0.0379809   3.8138       Lin-Lin
 0.0633363   3.78426      Lin-Lin
 0.12583     3.76228      Lin-Lin
 0.359836    3.74779      Lin-Lin
 3.81327     3.74074      Lin-Lin
 1678.55     3.74         Lin-Lin
 1917.45     3.74         Lin-Lin
 1930.98     3.74         Lin-Lin
 2100.31     3.74         Lin-Lin
 2190.46     3.74         Lin-Lin
 2236.93     3.74         Lin-Lin
 2252.71     3.74         Lin-Lin
 2537.53     3.74         Lin-Lin
 2555.43     3.74         Lin-Lin
 2646.45     3.74         Lin-Lin
 2665.12     3.74         Lin-Lin
 2740.85     3.74         Lin-Lin
 2858.5      3.74         Lin-Lin
 2981.2      3.74         Lin-Lin
 10284.2     3.73656      Lin-Lin
 100000      2.65005      Lin-Lin
 200000      2.10003      Lin-Lin
 300000      1.85501      Lin-Lin
 402822      1.70415      Lin-Lin
 503527      1.60343      Lin-Lin
 608345      1.52824      Lin-Lin
 709704      1.47163      Lin-Lin
 817009      1.42488      Lin-Lin
 932103      1.38537      Lin-Lin
 1.00705E+06 1.36395      Lin-Lin
 2E+06       1.2166       Lin-Lin
 3.04232E+06 1.18788      Lin-Lin
 4.60154E+06 1.11173      Lin-Lin
 5E+06       1.093        Lin-Lin
 7E+06       0.917002     Lin-Lin
 8.05643E+06 0.85763      Lin-Lin
 9.06349E+06 0.815841     Lin-Lin
 1E+07       0.784        Lin-Lin
 1.01411E+07 0.779768     Lin-Lin
 1.02842E+07 0.775475     Lin-Lin
 1.04292E+07 0.771123     Lin-Lin
 1.05764E+07 0.766708     Lin-Lin
 1.07256E+07 0.762232     Lin-Lin
 1.08769E+07 0.757693     Lin-Lin
 1.1E+07     0.754        Lin-Lin
 1.11552E+07 0.751672     Lin-Lin
 1.13126E+07 0.749311     Lin-Lin
 1.14722E+07 0.746917     Lin-Lin
 1.1634E+07  0.74449      Lin-Lin
 1.17982E+07 0.742028     Lin-Lin
 1.19646E+07 0.739531     Lin-Lin
 1.2E+07     0.739        Lin-Lin
 1.21693E+07 0.737138     Lin-Lin
 1.2341E+07  0.735249     Lin-Lin
 1.25151E+07 0.733334     Lin-Lin
 1.26917E+07 0.731392     Lin-Lin
 1.28707E+07 0.729422     Lin-Lin
 1.3E+07     0.728        Lin-Lin
 1.31834E+07 0.726533     Lin-Lin
 1.33694E+07 0.725045     Lin-Lin
 1.3558E+07  0.723536     Lin-Lin
 1.37493E+07 0.722006     Lin-Lin
 1.39433E+07 0.720454     Lin-Lin
 1.4E+07     0.72         Lin-Lin
 1.41975E+07 0.719012     Lin-Lin
 1.43978E+07 0.718011     Lin-Lin
 1.46009E+07 0.716995     Lin-Lin
 1.48069E+07 0.715965     Lin-Lin
 1.5E+07     0.715        Lin-Lin
 1.52116E+07 0.714365     Lin-Lin
 1.54262E+07 0.713721     Lin-Lin
 1.56439E+07 0.713068     Lin-Lin
 1.58646E+07 0.712406     Lin-Lin
 1.6E+07     0.712        Lin-Lin
