#LIBRARY    JEFF-3.2
#REACTION   O-18(N,EL)O-18-L0,SIG
#NUCLEUS    O-18
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       54.5076      Lin-Lin
 1.10304E-05 51.912       Lin-Lin
 1.21669E-05 49.4411      Lin-Lin
 1.34206E-05 47.0891      Lin-Lin
 1.48034E-05 44.8504      Lin-Lin
 1.63286E-05 42.7195      Lin-Lin
 1.80111E-05 40.6914      Lin-Lin
 1.98669E-05 38.761       Lin-Lin
 2.19139E-05 36.924       Lin-Lin
 2.41719E-05 35.1756      Lin-Lin
 2.66625E-05 33.5119      Lin-Lin
 2.94097E-05 31.9288      Lin-Lin
 3.244E-05   30.4224      Lin-Lin
 3.57825E-05 28.9892      Lin-Lin
 3.94694E-05 27.6257      Lin-Lin
 4.35362E-05 26.3285      Lin-Lin
 4.80221E-05 25.0947      Lin-Lin
 5.29701E-05 23.9213      Lin-Lin
 5.8428E-05  22.8053      Lin-Lin
 6.44482E-05 21.7441      Lin-Lin
 7.10888E-05 20.7353      Lin-Lin
 7.84136E-05 19.7762      Lin-Lin
 8.64931E-05 18.8647      Lin-Lin
 9.54051E-05 17.9984      Lin-Lin
 0.000105235 17.1755      Lin-Lin
 0.000116897 16.3392      Lin-Lin
 0.000129845 15.5484      Lin-Lin
 0.000144234 14.8         Lin-Lin
 0.00016021  14.0928      Lin-Lin
 0.000177964 13.424       Lin-Lin
 0.000197676 12.7924      Lin-Lin
 0.000219543 12.1966      Lin-Lin
 0.000243873 11.6334      Lin-Lin
 0.000270885 11.1022      Lin-Lin
 0.000300904 10.6012      Lin-Lin
 0.000334233 10.1295      Lin-Lin
 0.000371272 9.68506      Lin-Lin
 0.000412395 9.2672       Lin-Lin
 0.000458096 8.87427      Lin-Lin
 0.000508837 8.50547      Lin-Lin
 0.000565225 8.15936      Lin-Lin
 0.00063226  7.81427      Lin-Lin
 0.000707245 7.49278      Lin-Lin
 0.000791123 7.19373      Lin-Lin
 0.00088495  6.916        Lin-Lin
 0.000989904 6.65853      Lin-Lin
 0.00111506  6.40607      Lin-Lin
 0.00125611  6.17404      Lin-Lin
 0.00141492  5.96146      Lin-Lin
 0.00160506  5.7562       Lin-Lin
 0.00182074  5.57009      Lin-Lin
 0.00207999  5.39299      Lin-Lin
 0.00237602  5.23443      Lin-Lin
 0.00273334  5.08585      Lin-Lin
 0.00316657  4.94834      Lin-Lin
 0.00369417  4.82268      Lin-Lin
 0.00433986  4.70925      Lin-Lin
 0.00517058  4.60416      Lin-Lin
 0.00624693  4.50908      Lin-Lin
 0.0076542   4.42486      Lin-Lin
 0.00957742  4.34968      Lin-Lin
