#LIBRARY    ENDF/B-VII.1
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       21.1409      Lin-Lin
 1.10304E-05 20.1368      Lin-Lin
 1.21669E-05 19.1812      Lin-Lin
 1.34206E-05 18.2717      Lin-Lin
 1.48034E-05 17.4061      Lin-Lin
 1.63286E-05 16.5824      Lin-Lin
 1.80111E-05 15.7985      Lin-Lin
 1.98669E-05 15.0526      Lin-Lin
 2.19139E-05 14.343       Lin-Lin
 2.41719E-05 13.6678      Lin-Lin
 2.66625E-05 13.0255      Lin-Lin
 2.94097E-05 12.4145      Lin-Lin
 3.244E-05   11.8333      Lin-Lin
 3.57825E-05 11.2806      Lin-Lin
 3.94694E-05 10.755       Lin-Lin
 4.35362E-05 10.2552      Lin-Lin
 4.80221E-05 9.78013      Lin-Lin
 5.29701E-05 9.32854      Lin-Lin
 5.8428E-05  8.89935      Lin-Lin
 6.44482E-05 8.49155      Lin-Lin
 7.15903E-05 8.07712      Lin-Lin
 7.95199E-05 7.68516      Lin-Lin
 8.83321E-05 7.31418      Lin-Lin
 9.8116E-05  6.96353      Lin-Lin
 0.000108989 6.63188      Lin-Lin
 0.000121061 6.31862      Lin-Lin
 0.000134477 6.02259      Lin-Lin
 0.000149372 5.74324      Lin-Lin
 0.000165925 5.47952      Lin-Lin
 0.000184303 5.23092      Lin-Lin
 0.000204727 4.99652      Lin-Lin
 0.000227404 4.77585      Lin-Lin
 0.000252604 4.5681       Lin-Lin
 0.000280584 4.37283      Lin-Lin
 0.000311677 4.1893       Lin-Lin
 0.000346199 4.01714      Lin-Lin
 0.000387258 3.84531      Lin-Lin
 0.000433187 3.68513      Lin-Lin
 0.000484562 3.53603      Lin-Lin
 0.000542031 3.39745      Lin-Lin
 0.000606315 3.26889      Lin-Lin
 0.000683007 3.14266      Lin-Lin
 0.000769363 3.02663      Lin-Lin
 0.000866679 2.92014      Lin-Lin
 0.00098233  2.81788      Lin-Lin
 0.00111434  2.72442      Lin-Lin
 0.00127293  2.6354       Lin-Lin
 0.00145418  2.55553      Lin-Lin
 0.00167286  2.48062      Lin-Lin
 0.00193792  2.41123      Lin-Lin
 0.0022608   2.3477       Lin-Lin
 0.00265609  2.29028      Lin-Lin
 0.00314234  2.23901      Lin-Lin
 0.00377007  2.1921       Lin-Lin
 0.00458701  2.15013      Lin-Lin
 0.00569935  2.11226      Lin-Lin
 0.00728302  2.07828      Lin-Lin
 0.00957072  2.04905      Lin-Lin
 0.0131175   2.02389      Lin-Lin
 0.0190141   2.00283      Lin-Lin
 0.0252315   1.99128      Lin-Lin
 0.0253      1.99119      Lin-Lin
 0.0433887   1.97651      Lin-Lin
 0.0905297   1.96582      Lin-Lin
 0.293678    1.95901      Lin-Lin
 7.5758      1.95603      Lin-Lin
 10636       1.85409      Lin-Lin
 18761       1.76307      Lin-Lin
 25139.6     1.67894      Lin-Lin
 30244.3     1.59896      Lin-Lin
 31716.6     1.57292      Lin-Lin
 31739.8     1.57739      Lin-Lin
 31768.4     1.5719       Lin-Lin
 35210.4     1.50281      Lin-Lin
 37866.9     1.43965      Lin-Lin
 39959.6     1.3815       Lin-Lin
 41924.3     1.31639      Lin-Lin
 43179.9     1.26763      Lin-Lin
 44198.6     1.2225       Lin-Lin
 45198.8     1.17277      Lin-Lin
 46181.1     1.1163       Lin-Lin
 46999.7     1.06203      Lin-Lin
 47654.6     1.01291      Lin-Lin
 48309.5     0.957415     Lin-Lin
 48882.5     0.902706     Lin-Lin
 49373.7     0.849943     Lin-Lin
 49783       0.801284     Lin-Lin
 50192.3     0.747396     Lin-Lin
 50560.7     0.69409      Lin-Lin
 50929       0.635251     Lin-Lin
 51236       0.581459     Lin-Lin
 51477.5     0.535894     Lin-Lin
 51706.7     0.489725     Lin-Lin
 51944.1     0.438725     Lin-Lin
 52140.6     0.394139     Lin-Lin
 52337.1     0.347107     Lin-Lin
 52533.5     0.298133     Lin-Lin
 52762.7     0.238583     Lin-Lin
 53139.3     0.138537     Lin-Lin
 53253.9     0.108867     Lin-Lin
 53331.7     0.0894535    Lin-Lin
 53393.1     0.0746647    Lin-Lin
 53442.2     0.0633357    Lin-Lin
 53485.2     0.0538511    Lin-Lin
 53515.9     0.0473612    Lin-Lin
 53551.7     0.0401182    Lin-Lin
 53577.3     0.0351967    Lin-Lin
 53601.8     0.0306946    Lin-Lin
 53622.3     0.0271186    Lin-Lin
 53642.7     0.0237147    Lin-Lin
 53659.1     0.0211236    Lin-Lin
 53675.5     0.0186545    Lin-Lin
 53690.8     0.0164566    Lin-Lin
 53703.1     0.0147883    Lin-Lin
 53717.4     0.0129455    Lin-Lin
 53730.2     0.0113977    Lin-Lin
 53740.5     0.0102284    Lin-Lin
 53750.7     0.0091227    Lin-Lin
 53759.4     0.00823441   Lin-Lin
 53767.6     0.0074429    Lin-Lin
 53775.8     0.00669553   Lin-Lin
 53784       0.00599332   Lin-Lin
 53791.4     0.0053972    Lin-Lin
 53798.5     0.00485926   Lin-Lin
 53803.9     0.00448064   Lin-Lin
 53809.3     0.00412366   Lin-Lin
 53814.7     0.00378862   Lin-Lin
 53820       0.00347586   Lin-Lin
 53825.4     0.00318576   Lin-Lin
 53830.8     0.00291871   Lin-Lin
 53836.1     0.00267511   Lin-Lin
 53839.7     0.00252593   Lin-Lin
 53843.3     0.00238747   Lin-Lin
 53846.9     0.00225983   Lin-Lin
 53850.5     0.00214315   Lin-Lin
 53854.1     0.00203754   Lin-Lin
 53857.6     0.00194314   Lin-Lin
 53861.2     0.00186009   Lin-Lin
 53864.8     0.00178854   Lin-Lin
 53868.4     0.00172864   Lin-Lin
 53872       0.00168052   Lin-Lin
 53875       0.00164877   Lin-Lin
 53878.1     0.00162585   Lin-Lin
 53881.2     0.00161186   Lin-Lin
 53884.2     0.00160688   Lin-Lin
 53888.1     0.00161346   Lin-Lin
 53891.9     0.00163442   Lin-Lin
 53895.8     0.00166995   Lin-Lin
 53899.6     0.00172021   Lin-Lin
 53903.4     0.00178542   Lin-Lin
 53906.2     0.00184284   Lin-Lin
 53909.3     0.00191485   Lin-Lin
 53912.4     0.00199675   Lin-Lin
 53915.4     0.00208861   Lin-Lin
 53918.5     0.00219055   Lin-Lin
 53921.6     0.00230265   Lin-Lin
 53924.7     0.00242499   Lin-Lin
 53927.7     0.00255766   Lin-Lin
 53932.3     0.00277626   Lin-Lin
 53936.9     0.00301867   Lin-Lin
 53941.5     0.00328525   Lin-Lin
 53946.1     0.00357639   Lin-Lin
 53950.8     0.00389247   Lin-Lin
 53955.4     0.00423879   Lin-Lin
 53960.2     0.00462215   Lin-Lin
 53965       0.00503387   Lin-Lin
 53969.8     0.0054744    Lin-Lin
 53974.6     0.00594418   Lin-Lin
 53979.4     0.0064436    Lin-Lin
 53985.2     0.00708266   Lin-Lin
 53990.9     0.00776581   Lin-Lin
 53996.7     0.00849392   Lin-Lin
 54002.4     0.00926782   Lin-Lin
 54008.2     0.0100884    Lin-Lin
 54013.9     0.0109566    Lin-Lin
 54021.6     0.0121897    Lin-Lin
 54029.3     0.0135112    Lin-Lin
 54037       0.0149231    Lin-Lin
 54045.3     0.0165576    Lin-Lin
 54054.2     0.018443     Lin-Lin
 54063.2     0.0204628    Lin-Lin
 54072.1     0.0226221    Lin-Lin
 54081.7     0.0250944    Lin-Lin
 54092       0.0279147    Lin-Lin
 54102.2     0.03093      Lin-Lin
 54112.4     0.0341487    Lin-Lin
 54124.1     0.0380756    Lin-Lin
 54133.9     0.0416032    Lin-Lin
 54143.7     0.0453395    Lin-Lin
 54153.6     0.0492909    Lin-Lin
 54166.7     0.0549062    Lin-Lin
 54178.2     0.060206     Lin-Lin
 54190.7     0.0662777    Lin-Lin
 54203.1     0.0727525    Lin-Lin
 54215.5     0.0796497    Lin-Lin
 54228       0.0869888    Lin-Lin
 54240.3     0.0947484    Lin-Lin
 54252.6     0.102906     Lin-Lin
 54264.9     0.111548     Lin-Lin
