#LIBRARY    ENDF/B-VII.1
#REACTION   B-10(N,NON),SIG
#NUCLEUS    B-10
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       193304       Lin-Lin
 1.10304E-05 184054       Lin-Lin
 1.21669E-05 175247       Lin-Lin
 1.34206E-05 166862       Lin-Lin
 1.48034E-05 158877       Lin-Lin
 1.63286E-05 151275       Lin-Lin
 1.80111E-05 144036       Lin-Lin
 1.98669E-05 137144       Lin-Lin
 2.19139E-05 130581       Lin-Lin
 2.41719E-05 124333       Lin-Lin
 2.66625E-05 118383       Lin-Lin
 2.94097E-05 112719       Lin-Lin
 3.244E-05   107325       Lin-Lin
 3.57825E-05 102189       Lin-Lin
 3.94694E-05 97299.6      Lin-Lin
 4.35362E-05 92643.7      Lin-Lin
 4.80221E-05 88210.6      Lin-Lin
 5.29701E-05 83989.7      Lin-Lin
 5.8428E-05  79970.7      Lin-Lin
 6.44482E-05 76144        Lin-Lin
 7.10888E-05 72500.5      Lin-Lin
 7.84136E-05 69031.3      Lin-Lin
 8.64931E-05 65728.1      Lin-Lin
 9.54051E-05 62582.9      Lin-Lin
 0.000105235 59588.3      Lin-Lin
 0.000116078 56736.9      Lin-Lin
 0.000128039 54022        Lin-Lin
 0.000141232 51437        Lin-Lin
 0.000155784 48975.7      Lin-Lin
 0.000171835 46632.2      Lin-Lin
 0.00018954  44400.8      Lin-Lin
 0.00020907  42276.2      Lin-Lin
 0.000230612 40253.2      Lin-Lin
 0.000254374 38327.1      Lin-Lin
 0.000280584 36493.1      Lin-Lin
 0.000309494 34746.8      Lin-Lin
 0.000341383 33084.2      Lin-Lin
 0.000376558 31501.1      Lin-Lin
 0.000415358 29993.7      Lin-Lin
 0.000458155 28558.5      Lin-Lin
 0.000505362 27191.9      Lin-Lin
 0.000557433 25890.8      Lin-Lin
 0.000614869 24651.9      Lin-Lin
 0.000678223 23472.3      Lin-Lin
 0.000748105 22349.1      Lin-Lin
 0.000825188 21279.7      Lin-Lin
 0.000910213 20261.4      Lin-Lin
 0.001004    19291.9      Lin-Lin
 0.00110745  18368.8      Lin-Lin
 0.00122155  17489.8      Lin-Lin
 0.00134742  16652.9      Lin-Lin
 0.00148625  15856        Lin-Lin
 0.00163939  15097.3      Lin-Lin
 0.00180831  14374.9      Lin-Lin
 0.00199463  13687        Lin-Lin
 0.00220016  13032.1      Lin-Lin
 0.00242685  12408.5      Lin-Lin
 0.00267691  11814.8      Lin-Lin
 0.00295273  11249.4      Lin-Lin
 0.00325697  10711.1      Lin-Lin
 0.00359256  10198.6      Lin-Lin
 0.00396272  9710.56      Lin-Lin
 0.00437103  9245.9       Lin-Lin
 0.00482141  8803.48      Lin-Lin
 0.00531819  8382.22      Lin-Lin
 0.00586616  7981.12      Lin-Lin
 0.00647059  7599.22      Lin-Lin
 0.0071373   7235.59      Lin-Lin
 0.00787271  6889.35      Lin-Lin
 0.00868389  6559.69      Lin-Lin
 0.00957865  6245.79      Lin-Lin
 0.0105656   5946.92      Lin-Lin
 0.0116543   5662.34      Lin-Lin
 0.0128551   5391.38      Lin-Lin
 0.0141796   5133.39      Lin-Lin
 0.0156406   4887.73      Lin-Lin
 0.0172522   4653.82      Lin-Lin
 0.0190298   4431.11      Lin-Lin
 0.0209906   4219.04      Lin-Lin
 0.0231534   4017.11      Lin-Lin
 0.0252419   3847.3       Lin-Lin
 0.0253      3842.88      Lin-Lin
 0.0279068   3658.94      Lin-Lin
 0.0307823   3483.8       Lin-Lin
 0.033954    3317.03      Lin-Lin
 0.0374525   3158.24      Lin-Lin
 0.0413115   3007.05      Lin-Lin
 0.0455681   2863.09      Lin-Lin
 0.0502633   2726.02      Lin-Lin
 0.0554423   2595.52      Lin-Lin
 0.0611549   2471.27      Lin-Lin
 0.0674561   2352.99      Lin-Lin
 0.0744066   2240.4       Lin-Lin
 0.0820732   2133.23      Lin-Lin
 0.0905297   2031.23      Lin-Lin
 0.0998577   1934.14      Lin-Lin
 0.110147    1841.71      Lin-Lin
 0.121496    1753.68      Lin-Lin
 0.134014    1669.82      Lin-Lin
