#LIBRARY    CENDL-3.1
#REACTION   C-12(N,NON),SIG
#NUCLEUS    C-12
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.17044      Lin-Lin
 1.10304E-05 0.162284     Lin-Lin
 1.21669E-05 0.154518     Lin-Lin
 1.34206E-05 0.147124     Lin-Lin
 1.48034E-05 0.140084     Lin-Lin
 1.63286E-05 0.133381     Lin-Lin
 1.80111E-05 0.126998     Lin-Lin
 1.98669E-05 0.120921     Lin-Lin
 2.19139E-05 0.115134     Lin-Lin
 2.41719E-05 0.109625     Lin-Lin
 2.66625E-05 0.104379     Lin-Lin
 2.94097E-05 0.0993841    Lin-Lin
 3.244E-05   0.0946283    Lin-Lin
 3.57825E-05 0.0900999    Lin-Lin
 3.94694E-05 0.0857883    Lin-Lin
 4.35362E-05 0.0816829    Lin-Lin
 4.80221E-05 0.077774     Lin-Lin
 5.29701E-05 0.0740521    Lin-Lin
 5.8428E-05  0.0705083    Lin-Lin
 6.44482E-05 0.067134     Lin-Lin
 7.10888E-05 0.0639212    Lin-Lin
 7.84136E-05 0.0608621    Lin-Lin
 8.64931E-05 0.0579494    Lin-Lin
 9.54051E-05 0.055176     Lin-Lin
 0.000105235 0.0525353    Lin-Lin
 0.000116078 0.0500209    Lin-Lin
 0.000128039 0.0476269    Lin-Lin
 0.000141232 0.0453473    Lin-Lin
 0.000155784 0.0431768    Lin-Lin
 0.000171835 0.0411102    Lin-Lin
 0.00018954  0.0391424    Lin-Lin
 0.00020907  0.0372687    Lin-Lin
 0.000230612 0.0354847    Lin-Lin
 0.000254374 0.033786     Lin-Lin
 0.000280584 0.0321685    Lin-Lin
 0.000309494 0.0306284    Lin-Lin
 0.000341383 0.029162     Lin-Lin
 0.000376558 0.0277657    Lin-Lin
 0.000415358 0.0264362    Lin-Lin
 0.000458155 0.0251702    Lin-Lin
 0.000505362 0.0239648    Lin-Lin
 0.000557433 0.022817     Lin-Lin
 0.000614869 0.0217241    Lin-Lin
 0.000678223 0.0206835    Lin-Lin
 0.000748105 0.0196926    Lin-Lin
 0.000825188 0.0187491    Lin-Lin
 0.000910213 0.0178506    Lin-Lin
 0.001004    0.0169952    Lin-Lin
 0.00110745  0.0161806    Lin-Lin
 0.00122155  0.0154049    Lin-Lin
 0.00134742  0.0146663    Lin-Lin
 0.00148625  0.013963     Lin-Lin
 0.00163939  0.0132933    Lin-Lin
 0.00180831  0.0126556    Lin-Lin
 0.00199463  0.0120484    Lin-Lin
 0.00220016  0.0114702    Lin-Lin
 0.00242685  0.0109196    Lin-Lin
 0.00267691  0.0103954    Lin-Lin
 0.00295273  0.00989615   Lin-Lin
 0.00325697  0.00942081   Lin-Lin
 0.00359256  0.0089682    Lin-Lin
 0.00396272  0.00853724   Lin-Lin
 0.00437103  0.00812689   Lin-Lin
 0.00482141  0.00773618   Lin-Lin
 0.00531819  0.00736418   Lin-Lin
 0.00586616  0.00701      Lin-Lin
 0.00647059  0.00667281   Lin-Lin
 0.0071373   0.00635178   Lin-Lin
 0.00787271  0.00604618   Lin-Lin
 0.00868389  0.00575526   Lin-Lin
 0.00957865  0.00547835   Lin-Lin
 0.0105656   0.00521479   Lin-Lin
 0.0116543   0.00496395   Lin-Lin
 0.0128551   0.00472527   Lin-Lin
 0.0141796   0.00449817   Lin-Lin
 0.0156406   0.00428214   Lin-Lin
 0.0172522   0.00407668   Lin-Lin
 0.0190298   0.00388131   Lin-Lin
 0.0209906   0.00369559   Lin-Lin
 0.0231534   0.00351907   Lin-Lin
 0.0252419   0.0033709    Lin-Lin
 0.0253      0.00336705   Lin-Lin
 0.0279068   0.00320687   Lin-Lin
 0.0307823   0.00305466   Lin-Lin
 0.033954    0.00290999   Lin-Lin
 0.0374525   0.00277244   Lin-Lin
 0.0413115   0.00264159   Lin-Lin
 0.0455681   0.00251708   Lin-Lin
 0.0502633   0.00239853   Lin-Lin
 0.0554423   0.00228563   Lin-Lin
 0.0611549   0.00217807   Lin-Lin
 0.0674561   0.00207559   Lin-Lin
 0.0744066   0.00197791   Lin-Lin
 0.0820732   0.00188476   Lin-Lin
 0.0911684   0.00178963   Lin-Lin
 0.101266    0.00169908   Lin-Lin
 0.112489    0.00161276   Lin-Lin
 0.124079    0.00153593   Lin-Lin
 0.136864    0.00146258   Lin-Lin
 0.150966    0.00139263   Lin-Lin
 0.166521    0.00132597   Lin-Lin
 0.183679    0.00126249   Lin-Lin
 0.202604    0.00120208   Lin-Lin
 0.22348     0.00114458   Lin-Lin
 0.246507    0.00108984   Lin-Lin
 0.271906    0.00103772   Lin-Lin
 0.299923    0.000988062  Lin-Lin
 0.330826    0.000940738  Lin-Lin
 0.364913    0.000895681  Lin-Lin
 0.402512    0.000852825  Lin-Lin
 0.443986    0.000812048  Lin-Lin
 0.489733    0.000773204  Lin-Lin
 0.540194    0.000736226  Lin-Lin
 0.595854    0.00070103   Lin-Lin
 0.657249    0.000667428  Lin-Lin
 0.724969    0.000635447  Lin-Lin
 0.799668    0.000605047  Lin-Lin
 0.882063    0.000576125  Lin-Lin
 0.979764    0.000546658  Lin-Lin
 1.08072     0.000520499  Lin-Lin
 1.19207     0.000495651  Lin-Lin
 1.32417     0.000470203  Lin-Lin
 1.46061     0.000447681  Lin-Lin
 1.61111     0.000426267  Lin-Lin
 1.77711     0.000405888  Lin-Lin
 1.97395     0.000385133  Lin-Lin
 2.16219     0.000367978  Lin-Lin
 2.40169     0.000349203  Lin-Lin
 2.66784     0.000331247  Lin-Lin
 2.94272     0.000315405  Lin-Lin
 3.24593     0.000300315  Lin-Lin
 3.58038     0.00028595   Lin-Lin
 4.00501     0.000270359  Lin-Lin
 4.38673     0.00025837   Lin-Lin
 4.83872     0.000246023  Lin-Lin
 5.37494     0.000233356  Lin-Lin
 5.92876     0.000222218  Lin-Lin
 6.53964     0.000211621  Lin-Lin
 7.16294     0.000202209  Lin-Lin
 7.84603     0.000193221  Lin-Lin
 8.59383     0.000184541  Lin-Lin
 9.54619     0.000175101  Lin-Lin
 10.6036     0.000166146  Lin-Lin
 11.6148     0.000158792  Lin-Lin
 12.9012     0.000150604  Lin-Lin
 14.3309     0.00014296   Lin-Lin
 15.5876     0.000137107  Lin-Lin
 16.9545     0.000131394  Lin-Lin
 18.5705     0.000125568  Lin-Lin
 20.3414     0.000119974  Lin-Lin
 22.4374     0.000114209  Lin-Lin
 25.4525     0.00010722   Lin-Lin
 27.6845     0.000102872  Lin-Lin
 30.1122     9.86142E-05  Lin-Lin
 33.4475     9.35449E-05  Lin-Lin
 36.3806     8.97175E-05  Lin-Lin
 39.2956     8.63188E-05  Lin-Lin
 42.7415     8.27605E-05  Lin-Lin
 46.4895     7.93742E-05  Lin-Lin
 51.2797     7.55413E-05  Lin-Lin
 55.3858     7.27325E-05  Lin-Lin
 59.8236     6.99534E-05  Lin-Lin
 66.4498     6.63629E-05  Lin-Lin
 72.2769     6.36493E-05  Lin-Lin
 78.615      6.10287E-05  Lin-Lin
 85.5089     5.85128E-05  Lin-Lin
 92.3603     5.63062E-05  Lin-Lin
 102.59      5.34084E-05  Lin-Lin
 110.811     5.14214E-05  Lin-Lin
 119.684     4.94574E-05  Lin-Lin
 132.947     4.69178E-05  Lin-Lin
 144.605     4.49995E-05  Lin-Lin
 156.184     4.32939E-05  Lin-Lin
 171.078     4.1368E-05   Lin-Lin
 184.777     3.98091E-05  Lin-Lin
 205.253     3.77592E-05  Lin-Lin
 220.147     3.64794E-05  Lin-Lin
 239.452     3.4966E-05   Lin-Lin
 265.974     3.31712E-05  Lin-Lin
 287.285     3.1923E-05   Lin-Lin
 312.478     3.06084E-05  Lin-Lin
 339.879     2.93465E-05  Lin-Lin
 369.684     2.81447E-05  Lin-Lin
