#LIBRARY    JEFF-3.2
#REACTION   C-13(N,NON),SIG
#NUCLEUS    C-13
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.0687708    Lin-Lin
 1.10304E-05 0.0654801    Lin-Lin
 1.21669E-05 0.0623468    Lin-Lin
 1.34206E-05 0.0593635    Lin-Lin
 1.48034E-05 0.0565229    Lin-Lin
 1.63286E-05 0.0538182    Lin-Lin
 1.80111E-05 0.0512429    Lin-Lin
 1.98669E-05 0.0487909    Lin-Lin
 2.19139E-05 0.0464562    Lin-Lin
 2.41719E-05 0.0442333    Lin-Lin
 2.66625E-05 0.0421167    Lin-Lin
 2.94097E-05 0.0401013    Lin-Lin
 3.244E-05   0.0381825    Lin-Lin
 3.57825E-05 0.0363554    Lin-Lin
 3.94694E-05 0.0346158    Lin-Lin
 4.35362E-05 0.0329594    Lin-Lin
 4.80221E-05 0.0313822    Lin-Lin
 5.29701E-05 0.0298806    Lin-Lin
 5.8428E-05  0.0284507    Lin-Lin
 6.44482E-05 0.0270894    Lin-Lin
 7.10888E-05 0.0257931    Lin-Lin
 7.84136E-05 0.0245589    Lin-Lin
 8.64931E-05 0.0233837    Lin-Lin
 9.54051E-05 0.0222648    Lin-Lin
 0.000105235 0.0211994    Lin-Lin
 0.000116078 0.020185     Lin-Lin
 0.000128039 0.0192191    Lin-Lin
 0.000141232 0.0182995    Lin-Lin
 0.000155784 0.0174238    Lin-Lin
 0.000171835 0.0165901    Lin-Lin
 0.00018954  0.0157962    Lin-Lin
 0.00020907  0.0150404    Lin-Lin
 0.000230612 0.0143207    Lin-Lin
 0.000254374 0.0136354    Lin-Lin
 0.000280584 0.0129829    Lin-Lin
 0.000309494 0.0123617    Lin-Lin
 0.000341383 0.0117702    Lin-Lin
 0.000376558 0.011207     Lin-Lin
 0.000415358 0.0106707    Lin-Lin
 0.000458155 0.0101601    Lin-Lin
 0.000505362 0.00967393   Lin-Lin
 0.000557433 0.00921103   Lin-Lin
 0.000614869 0.00877027   Lin-Lin
 0.000678223 0.0083506    Lin-Lin
 0.000748105 0.00795102   Lin-Lin
 0.000825188 0.00757056   Lin-Lin
 0.000910213 0.0072083    Lin-Lin
 0.001004    0.00686338   Lin-Lin
 0.00110745  0.00653496   Lin-Lin
 0.00122155  0.00622225   Lin-Lin
 0.00134742  0.00592451   Lin-Lin
 0.00148625  0.00564102   Lin-Lin
 0.00163939  0.00537109   Lin-Lin
 0.00180831  0.00511408   Lin-Lin
 0.00199463  0.00486937   Lin-Lin
 0.00220016  0.00463636   Lin-Lin
 0.00242685  0.00441451   Lin-Lin
 0.00267691  0.00420327   Lin-Lin
 0.00295273  0.00400214   Lin-Lin
 0.00325697  0.00381064   Lin-Lin
 0.00359256  0.00362829   Lin-Lin
 0.00396272  0.00345468   Lin-Lin
 0.00437103  0.00328937   Lin-Lin
 0.00482141  0.00313197   Lin-Lin
 0.00531819  0.0029821    Lin-Lin
 0.00586616  0.0028394    Lin-Lin
 0.00647059  0.00270354   Lin-Lin
 0.0071373   0.00257417   Lin-Lin
 0.00787271  0.00245099   Lin-Lin
 0.00868389  0.00233371   Lin-Lin
