#LIBRARY    ENDF/B-VII.1
#REACTION   CA-48(N,NON),SIG
#NUCLEUS    Ca-48
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       54.9616      Lin-Lin
 1.10304E-05 52.3317      Lin-Lin
 1.21669E-05 49.8276      Lin-Lin
 1.34206E-05 47.4433      Lin-Lin
 1.48034E-05 45.1731      Lin-Lin
 1.63286E-05 43.0115      Lin-Lin
 1.80111E-05 40.9534      Lin-Lin
 1.98669E-05 38.9937      Lin-Lin
 2.19139E-05 37.1278      Lin-Lin
 2.41719E-05 35.3512      Lin-Lin
 2.66625E-05 33.6596      Lin-Lin
 2.94097E-05 32.049       Lin-Lin
 3.244E-05   30.5154      Lin-Lin
 3.57825E-05 29.0552      Lin-Lin
 3.94694E-05 27.6649      Lin-Lin
 4.35362E-05 26.3411      Lin-Lin
 4.80221E-05 25.0807      Lin-Lin
 5.29701E-05 23.8805      Lin-Lin
 5.8428E-05  22.7378      Lin-Lin
 6.44482E-05 21.6498      Lin-Lin
 7.10888E-05 20.6138      Lin-Lin
 7.84136E-05 19.6275      Lin-Lin
 8.64931E-05 18.6883      Lin-Lin
 9.54051E-05 17.794       Lin-Lin
 0.000105235 16.9426      Lin-Lin
 0.000116078 16.1318      Lin-Lin
 0.000128039 15.3599      Lin-Lin
 0.000141232 14.6249      Lin-Lin
 0.000155784 13.9251      Lin-Lin
 0.000171835 13.2588      Lin-Lin
 0.00018954  12.6243      Lin-Lin
 0.00020907  12.0203      Lin-Lin
 0.000230612 11.4451      Lin-Lin
 0.000254374 10.8974      Lin-Lin
 0.000280584 10.376       Lin-Lin
 0.000309494 9.87947      Lin-Lin
 0.000341383 9.40673      Lin-Lin
 0.000376558 8.95661      Lin-Lin
 0.000415358 8.52802      Lin-Lin
 0.000458155 8.11995      Lin-Lin
 0.000505362 7.7314       Lin-Lin
 0.000557433 7.36145      Lin-Lin
 0.000614869 7.0092       Lin-Lin
 0.000678223 6.6738       Lin-Lin
 0.000748105 6.35445      Lin-Lin
 0.000825188 6.05039      Lin-Lin
 0.000910213 5.76087      Lin-Lin
 0.001004    5.48521      Lin-Lin
 0.00110745  5.22274      Lin-Lin
 0.00122155  4.97282      Lin-Lin
 0.00134742  4.73487      Lin-Lin
 0.00148625  4.5083       Lin-Lin
 0.00163939  4.29257      Lin-Lin
 0.00180831  4.08717      Lin-Lin
 0.00199463  3.8916       Lin-Lin
 0.00220016  3.70538      Lin-Lin
 0.00242685  3.52807      Lin-Lin
 0.00267691  3.35925      Lin-Lin
 0.00295273  3.19851      Lin-Lin
 0.00325697  3.04546      Lin-Lin
 0.00359256  2.89973      Lin-Lin
 0.00396272  2.76097      Lin-Lin
 0.00437103  2.62886      Lin-Lin
 0.00482141  2.50307      Lin-Lin
 0.00531819  2.38329      Lin-Lin
 0.00586616  2.26925      Lin-Lin
 0.00647059  2.16066      Lin-Lin
 0.0071373   2.05727      Lin-Lin
 0.00787271  1.95883      Lin-Lin
 0.00868389  1.8651       Lin-Lin
 0.00957865  1.77585      Lin-Lin
 0.0105656   1.69088      Lin-Lin
 0.0116543   1.60997      Lin-Lin
 0.0128551   1.53294      Lin-Lin
 0.0141796   1.4596       Lin-Lin
 0.0156406   1.38978      Lin-Lin
 0.0172522   1.32332      Lin-Lin
 0.0190298   1.26004      Lin-Lin
 0.0209906   1.1998       Lin-Lin
 0.0231534   1.14244      Lin-Lin
 0.0252419   1.09419      Lin-Lin
 0.0253      1.09293      Lin-Lin
 0.0279068   1.04067      Lin-Lin
 0.0307823   0.990901     Lin-Lin
 0.033954    0.943526     Lin-Lin
 0.0374525   0.898424     Lin-Lin
 0.0413115   0.855457     Lin-Lin
 0.0455681   0.814512     Lin-Lin
 0.0502633   0.775502     Lin-Lin
 0.0554423   0.73836      Lin-Lin
 0.0611549   0.703023     Lin-Lin
 0.0674561   0.669422     Lin-Lin
 0.0744066   0.637446     Lin-Lin
 0.0820732   0.606961     Lin-Lin
 0.0905297   0.577888     Lin-Lin
 0.0998577   0.550195     Lin-Lin
 0.110147    0.523832     Lin-Lin
 0.121496    0.498742     Lin-Lin
 0.134014    0.474882     Lin-Lin
 0.147823    0.452219     Lin-Lin
 0.163054    0.430619     Lin-Lin
 0.179855    0.409991     Lin-Lin
 0.198386    0.390341     Lin-Lin
 0.218827    0.371636     Lin-Lin
 0.241375    0.353832     Lin-Lin
 0.266245    0.336888     Lin-Lin
 0.293678    0.320805     Lin-Lin
 0.326223    0.304436     Lin-Lin
 0.359836    0.289846     Lin-Lin
 0.396913    0.275952     Lin-Lin
 0.437809    0.262728     Lin-Lin
 0.48292     0.250141     Lin-Lin
 0.532679    0.238162     Lin-Lin
 0.587564    0.226836     Lin-Lin
 0.652645    0.215227     Lin-Lin
 0.719891    0.204906     Lin-Lin
 0.794067    0.195083     Lin-Lin
 0.875885    0.185732     Lin-Lin
 0.966133    0.176832     Lin-Lin
 1.06568     0.168362     Lin-Lin
 1.17549     0.160384     Lin-Lin
 1.28758     0.153219     Lin-Lin
 1.42025     0.145869     Lin-Lin
 1.56659     0.138871     Lin-Lin
 1.72801     0.132209     Lin-Lin
 1.90606     0.125874     Lin-Lin
 2.10245     0.119839     Lin-Lin
 2.31908     0.114096     Lin-Lin
 2.54012     0.109065     Lin-Lin
 2.78235     0.104193     Lin-Lin
 3.04754     0.0995453    Lin-Lin
 3.33816     0.095099     Lin-Lin
 3.68212     0.0905288    Lin-Lin
 4.06151     0.0861922    Lin-Lin
 4.48        0.0820563    Lin-Lin
 4.90699     0.0784052    Lin-Lin
 5.45077     0.0743918    Lin-Lin
 6.0124      0.0708292    Lin-Lin
 6.58545     0.0676686    Lin-Lin
 7.21347     0.064636     Lin-Lin
 7.95672     0.0615335    Lin-Lin
 8.77656     0.0585721    Lin-Lin
 9.68086     0.0557607    Lin-Lin
 10.9049     0.0525392    Lin-Lin
 11.9448     0.0501904    Lin-Lin
 12.9922     0.0481144    Lin-Lin
 14.1316     0.0461227    Lin-Lin
 15.5876     0.0438903    Lin-Lin
 17.1937     0.0417817    Lin-Lin
 18.9653     0.0397674    Lin-Lin
 21.2146     0.0375861    Lin-Lin
 23.7306     0.0355223    Lin-Lin
 25.9924     0.0339295    Lin-Lin
 28.2717     0.0325172    Lin-Lin
 30.9678     0.0310434    Lin-Lin
 34.1586     0.0295439    Lin-Lin
 37.6782     0.0281085    Lin-Lin
 40.9823     0.0269506    Lin-Lin
 43.6481     0.0260916    Lin-Lin
 47.4757     0.0249962    Lin-Lin
 51.6389     0.023948     Lin-Lin
 56.1672     0.0229423    Lin-Lin
 61.0925     0.0219738    Lin-Lin
 67.3873     0.0208952    Lin-Lin
 73.8137     0.0199352    Lin-Lin
 79.7241     0.0191709    Lin-Lin
 86.7153     0.0183512    Lin-Lin
 94.9848     0.0175062    Lin-Lin
 103.314     0.0167582    Lin-Lin
 111.587     0.0160985    Lin-Lin
 120.528     0.0154622    Lin-Lin
 132.015     0.0147356    Lin-Lin
 144.605     0.0140476    Lin-Lin
 158.387     0.0133897    Lin-Lin
 173.492     0.0127537    Lin-Lin
 190.027     0.0121471    Lin-Lin
 206.691     0.0116093    Lin-Lin
 223.252     0.0111341    Lin-Lin
 241.129     0.0106758    Lin-Lin
 264.124     0.010151     Lin-Lin
 289.298     0.00965419   Lin-Lin
 314.667     0.00921233   Lin-Lin
 346.925     0.00871912   Lin-Lin
 380.009     0.00827826   Lin-Lin
 412.89      0.00789172   Lin-Lin
 445.951     0.00754546   Lin-Lin
 481.683     0.00721069   Lin-Lin
 518.945     0.00689711   Lin-Lin
 568.434     0.00652788   Lin-Lin
 621.976     0.00617634   Lin-Lin
 680.345     0.00584152   Lin-Lin
 754.667     0.0054713    Lin-Lin
 819.969     0.00518594   Lin-Lin
 885.67      0.00492993   Lin-Lin
 949.934     0.00470445   Lin-Lin
 1016.31     0.00449359   Lin-Lin
 1090.05     0.0042814    Lin-Lin
 1177.33     0.00405425   Lin-Lin
 1270.38     0.00383955   Lin-Lin
 1371.8      0.00362834   Lin-Lin
 1491.92     0.00340671   Lin-Lin
 1628.51     0.00318531   Lin-Lin
 1758.9      0.00299756   Lin-Lin
 1886.53     0.00283258   Lin-Lin
 2018.35     0.00267889   Lin-Lin
 2149.74     0.00253994   Lin-Lin
 2286.66     0.0024082    Lin-Lin
 2413.69     0.00229616   Lin-Lin
 2558.52     0.00217902   Lin-Lin
