#LIBRARY    ENDF/B-VII.1
#REACTION   CD-113(N,NON),SIG
#NUCLEUS    Cd-113
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       763255       Lin-Lin
 1.10304E-05 726740       Lin-Lin
 1.21669E-05 691973       Lin-Lin
 1.34206E-05 658870       Lin-Lin
 1.48034E-05 627351       Lin-Lin
 1.63286E-05 597341       Lin-Lin
 1.80111E-05 568768       Lin-Lin
 1.98669E-05 541562       Lin-Lin
 2.19139E-05 515658       Lin-Lin
 2.41719E-05 490995       Lin-Lin
 2.66625E-05 467512       Lin-Lin
 2.94097E-05 445154       Lin-Lin
 3.244E-05   423866       Lin-Lin
 3.57825E-05 403597       Lin-Lin
 3.94694E-05 384299       Lin-Lin
 4.35362E-05 365925       Lin-Lin
 4.80221E-05 348431       Lin-Lin
 5.29701E-05 331775       Lin-Lin
 5.8428E-05  315917       Lin-Lin
 6.44482E-05 300818       Lin-Lin
 7.10888E-05 286443       Lin-Lin
 7.84136E-05 272757       Lin-Lin
 8.64931E-05 259727       Lin-Lin
 9.54051E-05 247321       Lin-Lin
 0.000105235 235510       Lin-Lin
 0.000116078 224265       Lin-Lin
 0.000128039 213560       Lin-Lin
 0.000141232 203368       Lin-Lin
 0.000155784 193666       Lin-Lin
 0.000171835 184429       Lin-Lin
 0.00018954  175635       Lin-Lin
 0.00020907  167264       Lin-Lin
 0.000230612 159295       Lin-Lin
 0.000254374 151710       Lin-Lin
 0.000280584 144489       Lin-Lin
 0.000309494 137615       Lin-Lin
 0.000341383 131073       Lin-Lin
 0.000376558 124846       Lin-Lin
 0.000415358 118919       Lin-Lin
 0.000458155 113278       Lin-Lin
 0.000505362 107909       Lin-Lin
 0.000557433 102800       Lin-Lin
 0.000614869 97938.7      Lin-Lin
 0.000678223 93312.5      Lin-Lin
 0.000748105 88910.9      Lin-Lin
 0.000825188 84723.1      Lin-Lin
 0.000910213 80739.2      Lin-Lin
 0.001004    76949.6      Lin-Lin
 0.00110745  73345.1      Lin-Lin
 0.00122155  69917.1      Lin-Lin
 0.00134742  66657.5      Lin-Lin
 0.00148625  63558.3      Lin-Lin
 0.00163939  60612.2      Lin-Lin
 0.00180831  57812.1      Lin-Lin
 0.00199463  55151.3      Lin-Lin
 0.00220016  52623.5      Lin-Lin
 0.00242685  50222.7      Lin-Lin
 0.00269579  47784.1      Lin-Lin
 0.00299439  45479.2      Lin-Lin
 0.00332622  43299.6      Lin-Lin
