#LIBRARY    JENDL-4.0
#REACTION   CD-116(N,NON),SIG
#NUCLEUS    Cd-116
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       3.76454      Lin-Lin
 1.10304E-05 3.58441      Lin-Lin
 1.21669E-05 3.41289      Lin-Lin
 1.34206E-05 3.24958      Lin-Lin
 1.48034E-05 3.09408      Lin-Lin
 1.63286E-05 2.94603      Lin-Lin
 1.80111E-05 2.80506      Lin-Lin
 1.98669E-05 2.67083      Lin-Lin
 2.19139E-05 2.54303      Lin-Lin
 2.41719E-05 2.42135      Lin-Lin
 2.66625E-05 2.30548      Lin-Lin
 2.94097E-05 2.19516      Lin-Lin
 3.244E-05   2.09012      Lin-Lin
 3.57825E-05 1.99011      Lin-Lin
 3.94694E-05 1.89488      Lin-Lin
 4.35362E-05 1.80421      Lin-Lin
 4.80221E-05 1.71788      Lin-Lin
 5.29701E-05 1.63567      Lin-Lin
 5.8428E-05  1.55741      Lin-Lin
 6.44482E-05 1.48288      Lin-Lin
 7.10888E-05 1.41192      Lin-Lin
 7.84136E-05 1.34436      Lin-Lin
 8.64931E-05 1.28003      Lin-Lin
 9.54051E-05 1.21878      Lin-Lin
 0.000105235 1.16046      Lin-Lin
 0.000116078 1.10493      Lin-Lin
 0.000128039 1.05206      Lin-Lin
 0.000141232 1.00172      Lin-Lin
 0.000155784 0.953787     Lin-Lin
 0.000171835 0.908147     Lin-Lin
 0.00018954  0.864692     Lin-Lin
 0.00020907  0.823315     Lin-Lin
 0.000230612 0.783919     Lin-Lin
 0.000254374 0.746408     Lin-Lin
 0.000280584 0.710691     Lin-Lin
 0.000309494 0.676684     Lin-Lin
 0.000341383 0.644304     Lin-Lin
 0.000376558 0.613474     Lin-Lin
 0.000415358 0.584118     Lin-Lin
 0.000458155 0.556168     Lin-Lin
 0.000505362 0.529555     Lin-Lin
 0.000557433 0.504215     Lin-Lin
 0.000614869 0.480088     Lin-Lin
 0.000678223 0.457115     Lin-Lin
 0.000748105 0.435242     Lin-Lin
 0.000825188 0.414415     Lin-Lin
 0.000910213 0.394585     Lin-Lin
 0.001004    0.375704     Lin-Lin
 0.00110745  0.357726     Lin-Lin
 0.00122155  0.340608     Lin-Lin
 0.00134742  0.32431      Lin-Lin
 0.00148625  0.308791     Lin-Lin
 0.00163939  0.294015     Lin-Lin
 0.00180831  0.279946     Lin-Lin
 0.00199463  0.266551     Lin-Lin
 0.00220016  0.253796     Lin-Lin
 0.00242685  0.241652     Lin-Lin
 0.00267691  0.230088     Lin-Lin
 0.00295273  0.219078     Lin-Lin
 0.00325697  0.208595     Lin-Lin
 0.00359256  0.198614     Lin-Lin
 0.00396272  0.18911      Lin-Lin
 0.00437103  0.180061     Lin-Lin
 0.00482141  0.171446     Lin-Lin
 0.00531819  0.163243     Lin-Lin
 0.00586616  0.155434     Lin-Lin
 0.00647059  0.148        Lin-Lin
 0.0071373   0.140923     Lin-Lin
 0.00787271  0.134187     Lin-Lin
 0.00868389  0.127772     Lin-Lin
 0.00957865  0.121664     Lin-Lin
 0.0105656   0.115845     Lin-Lin
 0.0116543   0.110302     Lin-Lin
 0.0128551   0.105025     Lin-Lin
 0.0141796   0.100002     Lin-Lin
 0.0156406   0.0952202    Lin-Lin
 0.0172522   0.0906669    Lin-Lin
 0.0190298   0.0863283    Lin-Lin
 0.0209906   0.0821945    Lin-Lin
 0.0231534   0.0782584    Lin-Lin
 0.0252419   0.0749508    Lin-Lin
 0.0253      0.0748647    Lin-Lin
 0.0279068   0.0712856    Lin-Lin
 0.0307823   0.0678777    Lin-Lin
 0.033954    0.0646289    Lin-Lin
 0.0374525   0.0615328    Lin-Lin
 0.0413115   0.0585848    Lin-Lin
 0.0455681   0.0557797    Lin-Lin
 0.0502633   0.0531137    Lin-Lin
 0.0554423   0.050579     Lin-Lin
 0.0611549   0.0481602    Lin-Lin
 0.0674561   0.0458523    Lin-Lin
 0.0744066   0.0436547    Lin-Lin
 0.0820732   0.0415629    Lin-Lin
 0.0905297   0.0395723    Lin-Lin
 0.0998577   0.0376821    Lin-Lin
 0.110924    0.0357607    Lin-Lin
 0.122353    0.0340476    Lin-Lin
 0.13496     0.0324151    Lin-Lin
 0.148866    0.0308613    Lin-Lin
 0.164204    0.0293824    Lin-Lin
 0.181123    0.0279746    Lin-Lin
 0.199786    0.0266346    Lin-Lin
 0.220371    0.0253618    Lin-Lin
 0.24478     0.0240692    Lin-Lin
 0.270002    0.0229151    Lin-Lin
 0.297822    0.0218165    Lin-Lin
 0.328508    0.0207709    Lin-Lin
 0.362357    0.0197755    Lin-Lin
 0.399693    0.0188281    Lin-Lin
 0.437809    0.0179962    Lin-Lin
 0.48292     0.0171337    Lin-Lin
 0.532679    0.0163121    Lin-Lin
 0.587564    0.0155297    Lin-Lin
 0.648105    0.0147847    Lin-Lin
 0.714884    0.0140764    Lin-Lin
 0.794067    0.0133591    Lin-Lin
 0.882063    0.0126726    Lin-Lin
 0.979764    0.0120234    Lin-Lin
 1.08072     0.0114468    Lin-Lin
 1.19207     0.0108977    Lin-Lin
 1.3149      0.0103752    Lin-Lin
 1.45038     0.00987832   Lin-Lin
 1.63384     0.00930819   Lin-Lin
 1.80218     0.00886268   Lin-Lin
 1.97395     0.0084681    Lin-Lin
 2.16219     0.00808995   Lin-Lin
 2.38498     0.00770186   Lin-Lin
 2.63072     0.00733286   Lin-Lin
 2.86141     0.0070343    Lin-Lin
 3.15624     0.00669729   Lin-Lin
 3.45707     0.00639941   Lin-Lin
 3.78675     0.00611541   Lin-Lin
 4.11881     0.0058645    Lin-Lin
 4.51138     0.00560384   Lin-Lin
 4.97622     0.00533823   Lin-Lin
 5.45077     0.00510269   Lin-Lin
 6.05452     0.00484713   Lin-Lin
