#LIBRARY    JEFF-3.3
#REACTION   CE-136(N,NON),SIG
#NUCLEUS    Ce-136
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       377.742      Lin-Lin
 1.10304E-05 359.667      Lin-Lin
 1.21669E-05 342.456      Lin-Lin
 1.34206E-05 326.07       Lin-Lin
 1.48034E-05 310.467      Lin-Lin
 1.63286E-05 295.611      Lin-Lin
 1.80111E-05 281.466      Lin-Lin
 1.98669E-05 267.997      Lin-Lin
 2.19139E-05 255.173      Lin-Lin
 2.41719E-05 242.963      Lin-Lin
 2.66625E-05 231.337      Lin-Lin
 2.94097E-05 220.267      Lin-Lin
 3.244E-05   209.727      Lin-Lin
 3.57825E-05 199.692      Lin-Lin
 3.94694E-05 190.136      Lin-Lin
 4.35362E-05 181.038      Lin-Lin
 4.80221E-05 172.375      Lin-Lin
 5.29701E-05 164.127      Lin-Lin
 5.8428E-05  156.273      Lin-Lin
 6.44482E-05 148.795      Lin-Lin
 7.10888E-05 141.675      Lin-Lin
 7.84136E-05 134.896      Lin-Lin
 7.95199E-05 134.012      Lin-Lin
 8.64931E-05 128.441      Lin-Lin
 8.89508E-05 126.746      Lin-Lin
 9.54051E-05 122.295      Lin-Lin
 9.95003E-05 119.857      Lin-Lin
 0.000105235 116.443      Lin-Lin
 0.000111301 113.326      Lin-Lin
 0.000116078 110.871      Lin-Lin
 0.000124501 107.135      Lin-Lin
 0.000128039 105.566      Lin-Lin
 0.000139267 101.267      Lin-Lin
 0.000141232 100.515      Lin-Lin
 0.000155784 95.7049      Lin-Lin
 0.000171835 91.1253      Lin-Lin
 0.000174259 90.5283      Lin-Lin
 0.00018954  86.7649      Lin-Lin
 0.000197676 85.0353      Lin-Lin
 0.00020907  82.6131      Lin-Lin
 0.00022424  79.8293      Lin-Lin
 0.000230612 78.66        Lin-Lin
 0.000254374 74.896       Lin-Lin
 0.000280584 71.3122      Lin-Lin
 0.000288556 70.3711      Lin-Lin
 0.000309494 67.8998      Lin-Lin
 0.000331951 65.6117      Lin-Lin
 0.000341383 64.6507      Lin-Lin
 0.000376558 61.5571      Lin-Lin
 0.000381871 61.1538      Lin-Lin
 0.000415358 58.6115      Lin-Lin
 0.000439298 57.0426      Lin-Lin
 0.000458155 55.8069      Lin-Lin
 0.000505362 53.1365      Lin-Lin
 0.000512492 52.7883      Lin-Lin
 0.000557433 50.5938      Lin-Lin
 0.000606315 48.5334      Lin-Lin
 0.000614869 48.1728      Lin-Lin
 0.000678223 45.8677      Lin-Lin
 0.000727435 44.3221      Lin-Lin
 0.000748105 43.6729      Lin-Lin
 0.000825188 41.5831      Lin-Lin
 0.000885063 40.1818      Lin-Lin
 0.000910213 39.5932      Lin-Lin
 0.001004    37.6986      Lin-Lin
 0.00109204  36.1634      Lin-Lin
 0.00110745  35.8947      Lin-Lin
 0.00122155  34.1771      Lin-Lin
 0.00134742  32.5416      Lin-Lin
 0.00136643  32.3284      Lin-Lin
 0.00148625  30.9845      Lin-Lin
 0.00163939  29.5018      Lin-Lin
 0.00175835  28.5076      Lin-Lin
 0.00180831  28.0901      Lin-Lin
 0.00199463  26.7459      Lin-Lin
 0.00220016  25.466       Lin-Lin
 0.0023598   24.6079      Lin-Lin
 0.00242685  24.2474      Lin-Lin
 0.00267691  23.0871      Lin-Lin
 0.00295273  21.9823      Lin-Lin
 0.00325697  20.9304      Lin-Lin
 0.00334952  20.6542      Lin-Lin
 0.00359256  19.9289      Lin-Lin
 0.00396272  18.9752      Lin-Lin
 0.00437103  18.0673      Lin-Lin
 0.00482141  17.2029      Lin-Lin
 0.00509931  16.7425      Lin-Lin
 0.00531819  16.3799      Lin-Lin
 0.00586616  15.5966      Lin-Lin
 0.00647059  14.851       Lin-Lin
 0.0071373   14.1412      Lin-Lin
 0.00787271  13.4653      Lin-Lin
 0.00868389  12.8216      Lin-Lin
 0.00957865  12.2083      Lin-Lin
 0.0105656   11.6239      Lin-Lin
 0.0116543   11.0673      Lin-Lin
 0.0128551   10.5375      Lin-Lin
 0.0141796   10.0334      Lin-Lin
 0.0156406   9.55359      Lin-Lin
 0.0172522   9.09671      Lin-Lin
 0.0179927   8.91532      Lin-Lin
 0.0190298   8.66131      Lin-Lin
 0.0209906   8.24641      Lin-Lin
 0.0231534   7.85134      Lin-Lin
 0.0251838   7.52863      Lin-Lin
 0.0252419   7.5194       Lin-Lin
 0.0253      7.51076      Lin-Lin
