#LIBRARY    ENDF/B-VII.1
#REACTION   F-19(N,NON),SIG
#NUCLEUS    F-19
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       0.481784     Lin-Lin
 1.10304E-05 0.458731     Lin-Lin
 1.21669E-05 0.43678      Lin-Lin
 1.34206E-05 0.41588      Lin-Lin
 1.48034E-05 0.395979     Lin-Lin
 1.63286E-05 0.377031     Lin-Lin
 1.80111E-05 0.35899      Lin-Lin
 1.98669E-05 0.341812     Lin-Lin
 2.19139E-05 0.325456     Lin-Lin
 2.41719E-05 0.309883     Lin-Lin
 2.66625E-05 0.295055     Lin-Lin
 2.94097E-05 0.280936     Lin-Lin
 3.244E-05   0.267493     Lin-Lin
 3.57825E-05 0.254693     Lin-Lin
 3.94694E-05 0.242506     Lin-Lin
 4.35362E-05 0.230902     Lin-Lin
 4.80221E-05 0.219853     Lin-Lin
 5.29701E-05 0.209333     Lin-Lin
 5.8428E-05  0.199316     Lin-Lin
 6.44482E-05 0.189779     Lin-Lin
 7.10888E-05 0.180698     Lin-Lin
 7.84136E-05 0.172051     Lin-Lin
 8.64931E-05 0.163818     Lin-Lin
 9.54051E-05 0.155979     Lin-Lin
 0.000105235 0.148516     Lin-Lin
 0.000116078 0.141409     Lin-Lin
 0.000128039 0.134642     Lin-Lin
 0.000141232 0.1282       Lin-Lin
 0.000155784 0.122065     Lin-Lin
 0.000171835 0.116224     Lin-Lin
 0.00018954  0.110663     Lin-Lin
 0.00020907  0.105368     Lin-Lin
 0.000230612 0.100326     Lin-Lin
 0.000254374 0.0955249    Lin-Lin
 0.000280584 0.090954     Lin-Lin
 0.000309494 0.0866017    Lin-Lin
 0.000341383 0.0824578    Lin-Lin
 0.000376558 0.0785121    Lin-Lin
 0.000415358 0.0747552    Lin-Lin
 0.000458155 0.0711781    Lin-Lin
 0.000505362 0.0677722    Lin-Lin
 0.000557433 0.0645292    Lin-Lin
 0.000614869 0.0614415    Lin-Lin
 0.000678223 0.0585014    Lin-Lin
 0.000748105 0.0557021    Lin-Lin
 0.000825188 0.0530367    Lin-Lin
 0.000910213 0.0504988    Lin-Lin
 0.001004    0.0480824    Lin-Lin
 0.00110745  0.0457816    Lin-Lin
 0.00122155  0.0435909    Lin-Lin
 0.00134742  0.0415051    Lin-Lin
 0.00148625  0.039519     Lin-Lin
 0.00163939  0.037628     Lin-Lin
 0.00180831  0.0358275    Lin-Lin
 0.00199463  0.0341131    Lin-Lin
 0.00220016  0.0324807    Lin-Lin
 0.00242685  0.0309265    Lin-Lin
 0.00267691  0.0294466    Lin-Lin
 0.00295273  0.0280376    Lin-Lin
 0.00325697  0.026696     Lin-Lin
 0.00359256  0.0254185    Lin-Lin
 0.00396272  0.0242022    Lin-Lin
 0.00437103  0.0230441    Lin-Lin
 0.00482141  0.0219414    Lin-Lin
 0.00531819  0.0208915    Lin-Lin
 0.00586616  0.0198918    Lin-Lin
 0.00647059  0.01894      Lin-Lin
 0.0071373   0.0180337    Lin-Lin
 0.00787271  0.0171707    Lin-Lin
 0.00868389  0.0163491    Lin-Lin
 0.00957865  0.0155667    Lin-Lin
 0.0105656   0.0148218    Lin-Lin
 0.0116543   0.0141126    Lin-Lin
 0.0128551   0.0134373    Lin-Lin
 0.0141796   0.0127943    Lin-Lin
 0.0156406   0.012182     Lin-Lin
 0.0172522   0.0115991    Lin-Lin
 0.0190298   0.0110441    Lin-Lin
 0.0209906   0.0105156    Lin-Lin
 0.0231534   0.0100125    Lin-Lin
 0.0252419   0.00958936   Lin-Lin
 0.0253      0.00957834   Lin-Lin
 0.0279068   0.00912006   Lin-Lin
 0.0307823   0.00868373   Lin-Lin
 0.033954    0.00826834   Lin-Lin
 0.0374525   0.00787291   Lin-Lin
 0.0413115   0.00749653   Lin-Lin
 0.0455681   0.00713829   Lin-Lin
 0.0502633   0.0067973    Lin-Lin
 0.0554423   0.00647265   Lin-Lin
 0.0611549   0.00616344   Lin-Lin
 0.0674561   0.00586885   Lin-Lin
 0.0744066   0.0055882    Lin-Lin
 0.0820732   0.00532087   Lin-Lin
 0.0905297   0.00506633   Lin-Lin
 0.0998577   0.00482391   Lin-Lin
 0.110147    0.00459304   Lin-Lin
 0.121496    0.00437322   Lin-Lin
 0.134014    0.00416396   Lin-Lin
 0.147823    0.00396476   Lin-Lin
 0.163054    0.00377508   Lin-Lin
 0.179855    0.00359443   Lin-Lin
 0.198386    0.00342242   Lin-Lin
 0.218827    0.00325868   Lin-Lin
 0.241375    0.00310281   Lin-Lin
 0.266245    0.00295439   Lin-Lin
 0.293678    0.00281309   Lin-Lin
 0.323938    0.0026785    Lin-Lin
 0.357316    0.0025503    Lin-Lin
 0.394132    0.00242823   Lin-Lin
 0.434743    0.00231193   Lin-Lin
 0.479537    0.00220127   Lin-Lin
 0.528947    0.00209609   Lin-Lin
 0.583448    0.00199595   Lin-Lin
 0.643565    0.00190037   Lin-Lin
 0.709876    0.00180934   Lin-Lin
 0.78302     0.00172275   Lin-Lin
 0.8637      0.00164025   Lin-Lin
 0.952693    0.00156169   Lin-Lin
 1.05086     0.00148699   Lin-Lin
 1.15913     0.00141607   Lin-Lin
 1.27857     0.00134847   Lin-Lin
 1.4103      0.00128396   Lin-Lin
 1.55562     0.00122242   Lin-Lin
 1.72801     0.00115999   Lin-Lin
 1.90606     0.0011043    Lin-Lin
 2.10245     0.00105139   Lin-Lin
 2.31908     0.00100116   Lin-Lin
 2.55803     0.000953362  Lin-Lin
 2.82161     0.00090777   Lin-Lin
 3.11233     0.000864301  Lin-Lin
 3.43302     0.000823145  Lin-Lin
 3.76022     0.000786557  Lin-Lin
 4.11881     0.000751446  Lin-Lin
 4.51138     0.000718086  Lin-Lin
 4.97622     0.000683581  Lin-Lin
 5.45077     0.000653427  Lin-Lin
 5.97029     0.000624315  Lin-Lin
 6.58545     0.000594417  Lin-Lin
 7.21347     0.000567958  Lin-Lin
 7.90098     0.000542718  Lin-Lin
 8.71508     0.000516778  Lin-Lin
 9.47932     0.000495607  Lin-Lin
 10.456      0.000471895  Lin-Lin
 11.5334     0.000449388  Lin-Lin
 12.7218     0.000427886  Lin-Lin
 13.8374     0.000410365  Lin-Lin
 15.1569     0.000392089  Lin-Lin
 16.4861     0.000376086  Lin-Lin
 17.8062     0.000361957  Lin-Lin
 19.5042     0.000345815  Lin-Lin
 21.5139     0.0003293    Lin-Lin
 23.7306     0.000313613  Lin-Lin
 26.1757     0.000298714  Lin-Lin
 29.0751     0.000283555  Lin-Lin
 32.0709     0.00027012   Lin-Lin
 34.8832     0.000259134  Lin-Lin
 37.9422     0.000248593  Lin-Lin
 41.5605     0.000237601  Lin-Lin
 46.1639     0.000225561  Lin-Lin
 51.2797     0.000214112  Lin-Lin
 55.7765     0.000205385  Lin-Lin
 61.0925     0.000196319  Lin-Lin
 67.3873     0.000187032  Lin-Lin
 73.2966     0.000179419  Lin-Lin
 80.8489     0.000170895  Lin-Lin
 89.8084     0.000162249  Lin-Lin
 98.3681     0.000155078  Lin-Lin
 108.504     0.000147819  Lin-Lin
 118.851     0.000141374  Lin-Lin
 131.097     0.000134765  Lin-Lin
 143.592     0.000128899  Lin-Lin
 155.097     0.000124181  Lin-Lin
 172.276     0.000118356  Lin-Lin
 191.368     0.000112775  Lin-Lin
 211.086     0.000107833  Lin-Lin
 236.12      0.000102427  Lin-Lin
 260.449     9.79338E-05  Lin-Lin
 289.298     9.33202E-05  Lin-Lin
 316.886     8.95044E-05  Lin-Lin
 349.537     8.55664E-05  Lin-Lin
 382.852     8.20849E-05  Lin-Lin
