#LIBRARY    ENDF/B-VII.1
#REACTION   FE-57(N,NON),SIG
#NUCLEUS    Fe-57
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       122.026      Lin-Lin
 1.10304E-05 116.187      Lin-Lin
 1.21669E-05 110.627      Lin-Lin
 1.34206E-05 105.334      Lin-Lin
 1.48034E-05 100.294      Lin-Lin
 1.63286E-05 95.4944      Lin-Lin
 1.80111E-05 90.9249      Lin-Lin
 1.98669E-05 86.5741      Lin-Lin
 2.19139E-05 82.4314      Lin-Lin
 2.41719E-05 78.487       Lin-Lin
 2.66625E-05 74.7313      Lin-Lin
 2.94097E-05 71.1554      Lin-Lin
 3.244E-05   67.7505      Lin-Lin
 3.57825E-05 64.5086      Lin-Lin
 3.94694E-05 61.4218      Lin-Lin
 4.35362E-05 58.4827      Lin-Lin
 4.80221E-05 55.6843      Lin-Lin
 5.29701E-05 53.0197      Lin-Lin
 5.8428E-05  50.4827      Lin-Lin
 5.92523E-05 50.1519      Lin-Lin
 6.44482E-05 48.067       Lin-Lin
 6.62796E-05 47.4327      Lin-Lin
 7.10888E-05 45.767       Lin-Lin
 7.41403E-05 44.8547      Lin-Lin
 7.84136E-05 43.577       Lin-Lin
 8.29332E-05 42.4105      Lin-Lin
 8.64931E-05 41.4918      Lin-Lin
 9.2769E-05  40.0936      Lin-Lin
 9.54051E-05 39.5064      Lin-Lin
 0.000103771 37.8975      Lin-Lin
 0.000105235 37.616       Lin-Lin
 0.000116078 35.816       Lin-Lin
 0.000128039 34.1022      Lin-Lin
 0.000129845 33.8787      Lin-Lin
 0.000141232 32.4704      Lin-Lin
 0.000147294 31.8231      Lin-Lin
 0.000155784 30.9166      Lin-Lin
 0.000167087 29.8748      Lin-Lin
 0.000171835 29.4372      Lin-Lin
 0.00018954  28.0286      Lin-Lin
 0.00020907  26.6874      Lin-Lin
 0.000215011 26.3353      Lin-Lin
 0.000230612 25.4104      Lin-Lin
 0.000247345 24.5542      Lin-Lin
 0.000254374 24.1945      Lin-Lin
 0.000280584 23.0368      Lin-Lin
 0.000284542 22.8858      Lin-Lin
 0.000309494 21.9344      Lin-Lin
 0.00031386  21.7907      Lin-Lin
 0.000341383 20.8849      Lin-Lin
 0.000366154 20.1811      Lin-Lin
 0.000376558 19.8855      Lin-Lin
 0.000415358 18.934       Lin-Lin
 0.000433187 18.5565      Lin-Lin
 0.000458155 18.028       Lin-Lin
 0.000505362 17.1653      Lin-Lin
 0.000519722 16.9388      Lin-Lin
 0.000557433 16.3439      Lin-Lin
 0.000614869 15.5618      Lin-Lin
 0.000632341 15.3565      Lin-Lin
 0.000678223 14.8172      Lin-Lin
 0.000748105 14.1082      Lin-Lin
 0.000780217 13.8269      Lin-Lin
 0.000825188 13.4331      Lin-Lin
 0.000910213 12.7903      Lin-Lin
 0.000976257 12.3593      Lin-Lin
 0.001004    12.1783      Lin-Lin
 0.00110745  11.5955      Lin-Lin
 0.00122155  11.0407      Lin-Lin
 0.00125627  10.895       Lin-Lin
 0.00134742  10.5124      Lin-Lin
 0.00148625  10.0093      Lin-Lin
 0.00163939  9.53037      Lin-Lin
 0.00180831  9.07433      Lin-Lin
 0.00199463  8.64011      Lin-Lin
 0.00216955  8.28824      Lin-Lin
 0.00220016  8.22667      Lin-Lin
 0.00242685  7.83301      Lin-Lin
 0.00267691  7.45819      Lin-Lin
 0.0028312   7.25855      Lin-Lin
 0.00295273  7.1013       Lin-Lin
 0.00325697  6.7615       Lin-Lin
 0.00359256  6.43795      Lin-Lin
 0.00369464  6.35299      Lin-Lin
 0.00396272  6.12988      Lin-Lin
 0.00437103  5.83655      Lin-Lin
 0.00475433  5.59886      Lin-Lin
 0.00482141  5.55726      Lin-Lin
 0.00531819  5.29134      Lin-Lin
 0.00586616  5.03814      Lin-Lin
 0.00647059  4.79705      Lin-Lin
 0.00684355  4.66864      Lin-Lin
 0.0071373   4.5675       Lin-Lin
 0.00765518  4.41358      Lin-Lin
 0.00787271  4.34894      Lin-Lin
 0.00821064  4.26224      Lin-Lin
 0.00868389  4.14083      Lin-Lin
 0.00918441  4.02999      Lin-Lin
 0.00957865  3.94269      Lin-Lin
 0.00998981  3.8641       Lin-Lin
 0.0102737   3.80984      Lin-Lin
 0.0105656   3.75404      Lin-Lin
 0.0108658   3.70451      Lin-Lin
 0.0111746   3.65357      Lin-Lin
 0.0114921   3.60119      Lin-Lin
 0.0116543   3.57444      Lin-Lin
 0.0118187   3.55102      Lin-Lin
 0.0119854   3.52728      Lin-Lin
 0.0121545   3.50321      Lin-Lin
 0.012326    3.47879      Lin-Lin
 0.0124999   3.45403      Lin-Lin
 0.0126762   3.42892      Lin-Lin
 0.0128551   3.40345      Lin-Lin
 0.0130364   3.38117      Lin-Lin
 0.0132204   3.35856      Lin-Lin
 0.0134069   3.33564      Lin-Lin
 0.013596    3.3124       Lin-Lin
 0.0137878   3.28883      Lin-Lin
 0.0139824   3.26493      Lin-Lin
 0.0141796   3.24068      Lin-Lin
 0.0143797   3.21947      Lin-Lin
 0.0145825   3.19795      Lin-Lin
 0.0147883   3.17613      Lin-Lin
 0.0149969   3.15401      Lin-Lin
 0.0152085   3.13157      Lin-Lin
 0.0154231   3.10881      Lin-Lin
 0.0156406   3.08574      Lin-Lin
 0.0158613   3.06554      Lin-Lin
 0.0160851   3.04506      Lin-Lin
 0.016312    3.02428      Lin-Lin
 0.0165421   3.00322      Lin-Lin
 0.0167755   2.98186      Lin-Lin
 0.0172522   2.93822      Lin-Lin
 0.0177424   2.89949      Lin-Lin
 0.0182466   2.85965      Lin-Lin
 0.0187651   2.81868      Lin-Lin
 0.0190298   2.79776      Lin-Lin
 0.0192983   2.77944      Lin-Lin
 0.0198467   2.74202      Lin-Lin
 0.0206986   2.6839       Lin-Lin
 0.0209906   2.66397      Lin-Lin
 0.0215871   2.62883      Lin-Lin
 0.0228313   2.55552      Lin-Lin
 0.0231534   2.53654      Lin-Lin
 0.0248334   2.4503       Lin-Lin
 0.0251838   2.43232      Lin-Lin
 0.0252419   2.42933      Lin-Lin
 0.0253      2.42654      Lin-Lin
 0.0279068   2.31042      Lin-Lin
 0.0307823   2.19988      Lin-Lin
 0.033954    2.09468      Lin-Lin
 0.0374525   1.99455      Lin-Lin
 0.0413115   1.89916      Lin-Lin
 0.0455681   1.80824      Lin-Lin
 0.0502633   1.72161      Lin-Lin
 0.0554423   1.63912      Lin-Lin
 0.0611549   1.56063      Lin-Lin
 0.0674561   1.48601      Lin-Lin
 0.0744066   1.41503      Lin-Lin
 0.0820732   1.34736      Lin-Lin
 0.0905297   1.2828       Lin-Lin
 0.0998577   1.22129      Lin-Lin
 0.110147    1.16274      Lin-Lin
 0.121496    1.10702      Lin-Lin
 0.134014    1.054        Lin-Lin
 0.147823    1.00366      Lin-Lin
 0.163054    0.955727     Lin-Lin
 0.179855    0.909918     Lin-Lin
 0.198386    0.866268     Lin-Lin
 0.218827    0.824718     Lin-Lin
 0.241375    0.785167     Lin-Lin
 0.266245    0.747518     Lin-Lin
 0.293678    0.711747     Lin-Lin
 0.326223    0.675426     Lin-Lin
 0.359836    0.643015     Lin-Lin
 0.396913    0.61214      Lin-Lin
 0.437809    0.582751     Lin-Lin
 0.48292     0.554774     Lin-Lin
 0.532679    0.528141     Lin-Lin
 0.587564    0.502915     Lin-Lin
 0.652645    0.47716      Lin-Lin
 0.719891    0.454212     Lin-Lin
 0.794067    0.432368     Lin-Lin
 0.875885    0.411569     Lin-Lin
 0.966133    0.391766     Lin-Lin
 1.06568     0.372913     Lin-Lin
 1.17549     0.354961     Lin-Lin
 1.28758     0.339158     Lin-Lin
 1.4302      0.321706     Lin-Lin
 1.57757     0.306185     Lin-Lin
