#LIBRARY    ENDF/B-VII.1
#REACTION   FE-58(N,NON),SIG
#NUCLEUS    Fe-58
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       58.1913      Lin-Lin
 1.10304E-05 55.4066      Lin-Lin
 1.21669E-05 52.7552      Lin-Lin
 1.34206E-05 50.2306      Lin-Lin
 1.48034E-05 47.8269      Lin-Lin
 1.63286E-05 45.5381      Lin-Lin
 1.80111E-05 43.3589      Lin-Lin
 1.98669E-05 41.2839      Lin-Lin
 2.19139E-05 39.3082      Lin-Lin
 2.41719E-05 37.4271      Lin-Lin
 2.66625E-05 35.6359      Lin-Lin
 2.94097E-05 33.9305      Lin-Lin
 3.244E-05   32.3066      Lin-Lin
 3.57825E-05 30.7604      Lin-Lin
 3.94694E-05 29.2882      Lin-Lin
 4.35362E-05 27.8865      Lin-Lin
 4.80221E-05 26.5517      Lin-Lin
 5.29701E-05 25.2809      Lin-Lin
 5.8428E-05  24.0708      Lin-Lin
 6.44482E-05 22.9187      Lin-Lin
 7.10888E-05 21.8216      Lin-Lin
 7.84136E-05 20.777       Lin-Lin
 8.64931E-05 19.7824      Lin-Lin
 9.54051E-05 18.8354      Lin-Lin
 0.000105235 17.9337      Lin-Lin
 0.000116078 17.0751      Lin-Lin
 0.000128039 16.2575      Lin-Lin
 0.000141232 15.4791      Lin-Lin
 0.000155784 14.7379      Lin-Lin
 0.000171835 14.0321      Lin-Lin
 0.00018954  13.3601      Lin-Lin
 0.00020907  12.7203      Lin-Lin
 0.000230612 12.111       Lin-Lin
 0.000254374 11.5309      Lin-Lin
 0.000280584 10.9785      Lin-Lin
 0.000309494 10.4525      Lin-Lin
 0.000341383 9.9517       Lin-Lin
 0.000376558 9.47483      Lin-Lin
 0.000415358 9.02077      Lin-Lin
 0.000458155 8.58842      Lin-Lin
 0.000505362 8.17675      Lin-Lin
 0.000557433 7.78478      Lin-Lin
 0.000614869 7.41155      Lin-Lin
 0.000678223 7.05618      Lin-Lin
 0.000748105 6.71782      Lin-Lin
 0.000825188 6.39565      Lin-Lin
 0.000910213 6.08889      Lin-Lin
 0.001004    5.79683      Lin-Lin
 0.00110745  5.51875      Lin-Lin
 0.00122155  5.25398      Lin-Lin
 0.00134742  5.00191      Lin-Lin
 0.00148625  4.76191      Lin-Lin
 0.00163939  4.53341      Lin-Lin
 0.00180831  4.31587      Lin-Lin
 0.00199463  4.10875      Lin-Lin
 0.00220016  3.91157      Lin-Lin
 0.00242685  3.72385      Lin-Lin
 0.00267691  3.54513      Lin-Lin
 0.00295273  3.37498      Lin-Lin
 0.00325697  3.213        Lin-Lin
 0.00359256  3.05879      Lin-Lin
 0.00396272  2.91199      Lin-Lin
 0.00437103  2.77222      Lin-Lin
 0.00482141  2.63917      Lin-Lin
 0.00531819  2.5125       Lin-Lin
 0.00586616  2.39191      Lin-Lin
 0.00647059  2.27711      Lin-Lin
 0.0071373   2.16781      Lin-Lin
 0.00787271  2.06377      Lin-Lin
 0.00868389  1.96472      Lin-Lin
 0.00957865  1.87043      Lin-Lin
 0.0105656   1.78067      Lin-Lin
 0.0116543   1.69523      Lin-Lin
 0.0128551   1.61391      Lin-Lin
 0.0141796   1.5365       Lin-Lin
 0.0156406   1.46282      Lin-Lin
 0.0172522   1.39268      Lin-Lin
 0.0190298   1.3259       Lin-Lin
 0.0209906   1.26233      Lin-Lin
 0.0231534   1.20182      Lin-Lin
 0.0252419   1.15098      Lin-Lin
 0.0253      1.14965      Lin-Lin
 0.0279068   1.09466      Lin-Lin
 0.0307823   1.04237      Lin-Lin
 0.033954    0.992637     Lin-Lin
 0.0374525   0.945303     Lin-Lin
 0.0413115   0.900209     Lin-Lin
 0.0455681   0.857231     Lin-Lin
 0.0502633   0.816284     Lin-Lin
 0.0554423   0.777301     Lin-Lin
 0.0611549   0.740217     Lin-Lin
 0.0674561   0.704952     Lin-Lin
 0.0744066   0.671367     Lin-Lin
 0.0820732   0.639325     Lin-Lin
 0.0905297   0.608777     Lin-Lin
 0.0998577   0.579688     Lin-Lin
 0.110147    0.551997     Lin-Lin
 0.121496    0.52564      Lin-Lin
 0.134014    0.500591     Lin-Lin
 0.147823    0.476779     Lin-Lin
 0.163054    0.454034     Lin-Lin
 0.179855    0.432335     Lin-Lin
 0.198386    0.411678     Lin-Lin
 0.218827    0.392013     Lin-Lin
 0.241375    0.373292     Lin-Lin
 0.266245    0.355482     Lin-Lin
 0.293678    0.338599     Lin-Lin
 0.326223    0.32132      Lin-Lin
 0.359836    0.305962     Lin-Lin
 0.396913    0.291344     Lin-Lin
 0.437809    0.277427     Lin-Lin
 0.48292     0.264181     Lin-Lin
 0.532679    0.251594     Lin-Lin
 0.59168     0.238823     Lin-Lin
 0.652645    0.227406     Lin-Lin
 0.719891    0.216536     Lin-Lin
 0.794067    0.206193     Lin-Lin
 0.875885    0.196344     Lin-Lin
 0.966133    0.18697      Lin-Lin
 1.06568     0.178079     Lin-Lin
 1.19207     0.168422     Lin-Lin
 1.32417     0.159817     Lin-Lin
 1.46061     0.152184     Lin-Lin
 1.61111     0.14491      Lin-Lin
 1.77711     0.137988     Lin-Lin
 1.96022     0.131401     Lin-Lin
 2.16219     0.125126     Lin-Lin
 2.36827     0.119607     Lin-Lin
 2.61229     0.113901     Lin-Lin
 2.88146     0.108467     Lin-Lin
 3.15624     0.103644     Lin-Lin
 3.48145     0.0986833    Lin-Lin
 3.84017     0.0939806    Lin-Lin
 4.23585     0.0894879    Lin-Lin
 4.6723      0.0852313    Lin-Lin
 5.18982     0.080892     Lin-Lin
 5.68474     0.0772998    Lin-Lin
 6.22656     0.0738712    Lin-Lin
 6.82035     0.0705812    Lin-Lin
 7.5231      0.0672121    Lin-Lin
 8.29826     0.0639975    Lin-Lin
 9.15329     0.0609476    Lin-Lin
 10.3106     0.057448     Lin-Lin
 11.3729     0.0547121    Lin-Lin
 12.3703     0.0524662    Lin-Lin
 13.5499     0.0501326    Lin-Lin
 15.0508     0.0475734    Lin-Lin
 16.6016     0.0452964    Lin-Lin
 18.3121     0.0431394    Lin-Lin
 20.6284     0.0406657    Lin-Lin
 22.5945     0.0388635    Lin-Lin
 24.5759     0.0372712    Lin-Lin
 26.731      0.0357443    Lin-Lin
 29.2802     0.034152     Lin-Lin
 32.2971     0.0325326    Lin-Lin
 35.3753     0.0310878    Lin-Lin
 38.4775     0.0298339    Lin-Lin
 42.1468     0.0285083    Lin-Lin
 46.1639     0.0272514    Lin-Lin
