#LIBRARY    JEFF-3.3
#REACTION   H-1(N,G)H-2,SIG
#NUCLEUS    H-1
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       16.7001      Lin-Lin
 1.10304E-05 15.901       Lin-Lin
 1.21669E-05 15.1401      Lin-Lin
 1.34206E-05 14.4156      Lin-Lin
 1.48034E-05 13.7258      Lin-Lin
 1.63286E-05 13.069       Lin-Lin
 1.80111E-05 12.4437      Lin-Lin
 1.98669E-05 11.8482      Lin-Lin
 2.19139E-05 11.2813      Lin-Lin
 2.41719E-05 10.7415      Lin-Lin
 2.66625E-05 10.2275      Lin-Lin
 2.94097E-05 9.73807      Lin-Lin
 3.244E-05   9.2721       Lin-Lin
 3.57825E-05 8.82842      Lin-Lin
 3.94694E-05 8.40597      Lin-Lin
 4.35362E-05 8.00374      Lin-Lin
 4.80221E-05 7.62075      Lin-Lin
 5.29701E-05 7.25609      Lin-Lin
 5.8428E-05  6.90888      Lin-Lin
 6.44482E-05 6.57829      Lin-Lin
 7.10888E-05 6.26351      Lin-Lin
 7.84136E-05 5.96379      Lin-Lin
 8.64931E-05 5.67842      Lin-Lin
 9.54051E-05 5.4067       Lin-Lin
 0.000105235 5.14799      Lin-Lin
 0.000116078 4.90165      Lin-Lin
 0.000128039 4.6671       Lin-Lin
 0.000141232 4.44378      Lin-Lin
 0.000155784 4.23114      Lin-Lin
 0.000171835 4.02868      Lin-Lin
 0.00018954  3.8359       Lin-Lin
 0.00020907  3.65235      Lin-Lin
 0.000230612 3.47758      Lin-Lin
 0.000254374 3.31118      Lin-Lin
 0.000280584 3.15273      Lin-Lin
 0.000309494 3.00187      Lin-Lin
 0.000341383 2.85823      Lin-Lin
 0.000376558 2.72146      Lin-Lin
 0.000415358 2.59124      Lin-Lin
 0.000458155 2.46724      Lin-Lin
 0.000505362 2.34918      Lin-Lin
 0.000557433 2.23677      Lin-Lin
 0.000614869 2.12974      Lin-Lin
 0.000678223 2.02783      Lin-Lin
 0.000748105 1.9308       Lin-Lin
 0.000825188 1.83841      Lin-Lin
 0.000910213 1.75044      Lin-Lin
 0.001004    1.66668      Lin-Lin
 0.00110745  1.58693      Lin-Lin
 0.00122155  1.51099      Lin-Lin
 0.00134742  1.43869      Lin-Lin
 0.00148625  1.36985      Lin-Lin
 0.00163939  1.3043       Lin-Lin
 0.00180831  1.24189      Lin-Lin
 0.00199463  1.18246      Lin-Lin
 0.00220016  1.12588      Lin-Lin
 0.00242685  1.072        Lin-Lin
 0.00267691  1.02071      Lin-Lin
 0.00295273  0.971866     Lin-Lin
 0.00325697  0.925362     Lin-Lin
 0.00359256  0.881082     Lin-Lin
 0.00396272  0.838922     Lin-Lin
