#LIBRARY    ENDF/B-VII.1
#REACTION   H-2(N,NON),SIG
#NUCLEUS    H-2
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.0254285    Lin-Lin
 1.10304E-05 0.0242117    Lin-Lin
 1.21669E-05 0.0230531    Lin-Lin
 1.34206E-05 0.02195      Lin-Lin
 1.48034E-05 0.0208997    Lin-Lin
 1.63286E-05 0.0198996    Lin-Lin
 1.80111E-05 0.0189474    Lin-Lin
 1.98669E-05 0.0180408    Lin-Lin
 2.19139E-05 0.0171775    Lin-Lin
 2.41719E-05 0.0163555    Lin-Lin
 2.66625E-05 0.0155729    Lin-Lin
 2.94097E-05 0.0148277    Lin-Lin
 3.244E-05   0.0141182    Lin-Lin
 3.57825E-05 0.0134427    Lin-Lin
 3.94694E-05 0.0127994    Lin-Lin
 4.35362E-05 0.012187     Lin-Lin
 4.80221E-05 0.0116038    Lin-Lin
 5.29701E-05 0.0110485    Lin-Lin
 5.8428E-05  0.0105199    Lin-Lin
 6.44482E-05 0.0100165    Lin-Lin
 7.10888E-05 0.00953719   Lin-Lin
 7.84136E-05 0.00908083   Lin-Lin
 8.64931E-05 0.0086463    Lin-Lin
 9.54051E-05 0.00823257   Lin-Lin
 0.000105235 0.00783864   Lin-Lin
 0.000116078 0.00746356   Lin-Lin
 0.000128039 0.00710642   Lin-Lin
 0.000141232 0.00676638   Lin-Lin
 0.000155784 0.0064426    Lin-Lin
 0.000171835 0.00613432   Lin-Lin
 0.00018954  0.00584079   Lin-Lin
 0.00020907  0.00556131   Lin-Lin
 0.000230612 0.0052952    Lin-Lin
 0.000254374 0.00504182   Lin-Lin
 0.000280584 0.00480057   Lin-Lin
 0.000309494 0.00457086   Lin-Lin
 0.000341383 0.00435215   Lin-Lin
 0.000376558 0.0041439    Lin-Lin
 0.000415358 0.00394561   Lin-Lin
 0.000458155 0.00375682   Lin-Lin
 0.000505362 0.00357706   Lin-Lin
 0.000557433 0.0034059    Lin-Lin
 0.000614869 0.00324293   Lin-Lin
 0.000678223 0.00308776   Lin-Lin
 0.000748105 0.00294001   Lin-Lin
 0.000825188 0.00279933   Lin-Lin
 0.000910213 0.00266539   Lin-Lin
 0.001004    0.00253786   Lin-Lin
 0.00110745  0.00241643   Lin-Lin
 0.00122155  0.00230081   Lin-Lin
 0.00134742  0.00219072   Lin-Lin
 0.00148625  0.0020859    Lin-Lin
 0.00163939  0.0019861    Lin-Lin
 0.00180831  0.00189107   Lin-Lin
 0.00199463  0.00180059   Lin-Lin
 0.00220016  0.00171444   Lin-Lin
 0.00242685  0.00163241   Lin-Lin
 0.00267691  0.00155431   Lin-Lin
 0.00295273  0.00147995   Lin-Lin
 0.00325697  0.00140914   Lin-Lin
 0.00359256  0.00134172   Lin-Lin
 0.00396272  0.00127753   Lin-Lin
 0.00437103  0.00121641   Lin-Lin
 0.00482141  0.00115822   Lin-Lin
 0.00531819  0.00110281   Lin-Lin
 0.00586616  0.00105005   Lin-Lin
 0.00647059  0.000999816  Lin-Lin
 0.0071373   0.000951986  Lin-Lin
 0.00787271  0.000906444  Lin-Lin
 0.00868389  0.000863082  Lin-Lin
 0.00957865  0.000821794  Lin-Lin
 0.0105656   0.000782481  Lin-Lin
 0.0116543   0.000745049  Lin-Lin
 0.0128551   0.000709407  Lin-Lin
 0.0141796   0.00067547   Lin-Lin
 0.0156406   0.000643156  Lin-Lin
 0.0172522   0.000612387  Lin-Lin
 0.0190298   0.000583089  Lin-Lin
 0.0209906   0.000555192  Lin-Lin
 0.0231534   0.000528628  Lin-Lin
 0.0252419   0.000506288  Lin-Lin
 0.0253      0.000505706  Lin-Lin
 0.0279068   0.000481507  Lin-Lin
 0.0307823   0.000458463  Lin-Lin
 0.033954    0.000436521  Lin-Lin
 0.0374525   0.000415627  Lin-Lin
 0.0413115   0.000395731  Lin-Lin
 0.0455681   0.000376785  Lin-Lin
 0.0502633   0.000358744  Lin-Lin
 0.0554423   0.000341565  Lin-Lin
 0.0611549   0.000325207  Lin-Lin
 0.0674561   0.000309631  Lin-Lin
 0.0744066   0.0002948    Lin-Lin
 0.0820732   0.000280678  Lin-Lin
 0.0905297   0.000267231  Lin-Lin
 0.0998577   0.000254428  Lin-Lin
 0.110147    0.000242238  Lin-Lin
 0.121496    0.000230632  Lin-Lin
 0.134014    0.000219581  Lin-Lin
 0.147823    0.00020906   Lin-Lin
 0.163054    0.000199043  Lin-Lin
 0.179855    0.000189505  Lin-Lin
 0.198386    0.000180425  Lin-Lin
 0.218827    0.00017178   Lin-Lin
 0.241375    0.000163549  Lin-Lin
 0.266245    0.000155712  Lin-Lin
 0.293678    0.000148252  Lin-Lin
 0.323938    0.000141149  Lin-Lin
 0.357316    0.000134388  Lin-Lin
 0.394132    0.000127953  Lin-Lin
 0.434743    0.000121828  Lin-Lin
 0.479537    0.000115998  Lin-Lin
 0.528947    0.000110449  Lin-Lin
 0.583448    0.000105165  Lin-Lin
 0.643565    0.000100131  Lin-Lin
 0.709876    9.53361E-05  Lin-Lin
 0.78302     9.07686E-05  Lin-Lin
 0.8637      8.64195E-05  Lin-Lin
 0.952693    8.22788E-05  Lin-Lin
 1.05086     7.83368E-05  Lin-Lin
 1.15913     7.45839E-05  Lin-Lin
 1.27857     7.10102E-05  Lin-Lin
 1.4103      6.76069E-05  Lin-Lin
 1.55562     6.43661E-05  Lin-Lin
 1.7159      6.12812E-05  Lin-Lin
 1.89271     5.83451E-05  Lin-Lin
 2.08772     5.55499E-05  Lin-Lin
 2.30284     5.28888E-05  Lin-Lin
 2.54012     5.03552E-05  Lin-Lin
 2.80184     4.79416E-05  Lin-Lin
 3.09053     4.56431E-05  Lin-Lin
 3.40897     4.34551E-05  Lin-Lin
 3.76022     4.13735E-05  Lin-Lin
 4.14767     3.93915E-05  Lin-Lin
 4.57503     3.75039E-05  Lin-Lin
 5.04642     3.57083E-05  Lin-Lin
 5.56639     3.39964E-05  Lin-Lin
 6.13994     3.23662E-05  Lin-Lin
 6.77258     3.08147E-05  Lin-Lin
 7.4704      2.93382E-05  Lin-Lin
 8.24013     2.79336E-05  Lin-Lin
 9.08917     2.65941E-05  Lin-Lin
 10.0257     2.53217E-05  Lin-Lin
 11.0587     2.41074E-05  Lin-Lin
 12.1982     2.29514E-05  Lin-Lin
 13.455      2.18516E-05  Lin-Lin
 14.8414     2.08035E-05  Lin-Lin
 16.4861     1.9739E-05   Lin-Lin
 18.1848     1.87918E-05  Lin-Lin
 20.0585     1.78929E-05  Lin-Lin
 22.2802     1.69752E-05  Lin-Lin
 24.5759     1.61616E-05  Lin-Lin
 27.1081     1.53874E-05  Lin-Lin
 29.9012     1.46486E-05  Lin-Lin
 33.4475     1.385E-05    Lin-Lin
 36.8938     1.31864E-05  Lin-Lin
 40.6952     1.2556E-05   Lin-Lin
 44.8884     1.19534E-05  Lin-Lin
 49.1691     1.14207E-05  Lin-Lin
 53.8554     1.09115E-05  Lin-Lin
 58.5781     1.04651E-05  Lin-Lin
 64.1644     9.99561E-06  Lin-Lin
 70.2799     9.55159E-06  Lin-Lin
 76.9821     9.12559E-06  Lin-Lin
 84.9141     8.68551E-06  Lin-Lin
 93.6634     8.27034E-06  Lin-Lin
 104.038     7.84388E-06  Lin-Lin
 114.758     7.46615E-06  Lin-Lin
 128.368     7.0536E-06   Lin-Lin
 139.624     6.7648E-06   Lin-Lin
 150.812     6.5048E-06   Lin-Lin
 167.516     6.16693E-06  Lin-Lin
 182.206     5.91203E-06  Lin-Lin
 196.806     5.68587E-06  Lin-Lin
 214.064     5.44912E-06  Lin-Lin
 231.204     5.2418E-06   Lin-Lin
 256.826     4.96907E-06  Lin-Lin
 279.348     4.76571E-06  Lin-Lin
 299.617     4.59803E-06  Lin-Lin
 332.803     4.35956E-06  Lin-Lin
 361.988     4.17948E-06  Lin-Lin
 393.731     4.00568E-06  Lin-Lin
 428.258     3.83888E-06  Lin-Lin
 462.572     3.69272E-06  Lin-Lin
 513.808     3.50066E-06  Lin-Lin
 554.977     3.36913E-06  Lin-Lin
 599.416     3.23925E-06  Lin-Lin
 665.842     3.07118E-06  Lin-Lin
 724.231     2.94433E-06  Lin-Lin
 782.222     2.8319E-06   Lin-Lin
 862.819     2.69471E-06  Lin-Lin
 938.481     2.5827E-06   Lin-Lin
 1020.78     2.47534E-06  Lin-Lin
 1110.29     2.37191E-06  Lin-Lin
 1199.25     2.28149E-06  Lin-Lin
 1313.56     2.1783E-06   Lin-Lin
 1428.74     2.08782E-06  Lin-Lin
 1554.03     2.00069E-06  Lin-Lin
 1714.16     1.90378E-06  Lin-Lin
 1864.47     1.82439E-06  Lin-Lin
 2013.86     1.75497E-06  Lin-Lin
 2252.71     1.67022E-06  Lin-Lin
 2502.22     1.5942E-06   Lin-Lin
 2798.99     1.51651E-06  Lin-Lin
 3044.43     1.46116E-06  Lin-Lin
 3311.4      1.41019E-06  Lin-Lin
 3652.6      1.35207E-06  Lin-Lin
 4028.95     1.29655E-06  Lin-Lin
 4538.57     1.23701E-06  Lin-Lin
 5006.21     1.18974E-06  Lin-Lin
 5639.17     1.15531E-06  Lin-Lin
 6487.21     1.11523E-06  Lin-Lin
 7621.46     1.0709E-06   Lin-Lin
 8585.08     1.03959E-06  Lin-Lin
 9876.14     1.00323E-06  Lin-Lin
 10000       1.00018E-06  Lin-Lin
 20007.1     1.03014E-06  Lin-Lin
 51420.8     1.40563E-06  Lin-Lin
 81700.9     1.73701E-06  Lin-Lin
 90634.9     1.82762E-06  Lin-Lin
 100705      1.94664E-06  Lin-Lin
 122527      2.15004E-06  Lin-Lin
 143943      2.33087E-06  Lin-Lin
 165707      2.49913E-06  Lin-Lin
 187726      2.65629E-06  Lin-Lin
 213020      2.82313E-06  Lin-Lin
 246457      3.02872E-06  Lin-Lin
 308464      3.37393E-06  Lin-Lin
