#LIBRARY    JEFF-3.2
#REACTION   K-40(N,NON),SIG
#NUCLEUS    K-40
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       1727.91      Lin-Lin
 1.10304E-05 1645.23      Lin-Lin
 1.21669E-05 1566.5       Lin-Lin
 1.34206E-05 1491.54      Lin-Lin
 1.48034E-05 1420.17      Lin-Lin
 1.63286E-05 1352.21      Lin-Lin
 1.80111E-05 1287.51      Lin-Lin
 1.98669E-05 1225.9       Lin-Lin
 2.19139E-05 1167.24      Lin-Lin
 2.41719E-05 1111.39      Lin-Lin
 2.66625E-05 1058.21      Lin-Lin
 2.94097E-05 1007.57      Lin-Lin
 3.244E-05   959.357      Lin-Lin
 3.57825E-05 913.451      Lin-Lin
 3.94694E-05 869.741      Lin-Lin
 4.35362E-05 828.123      Lin-Lin
 4.80221E-05 788.497      Lin-Lin
 5.29701E-05 750.766      Lin-Lin
 5.8428E-05  714.842      Lin-Lin
 6.44482E-05 680.636      Lin-Lin
 7.10888E-05 648.067      Lin-Lin
 7.84136E-05 617.056      Lin-Lin
 8.64931E-05 587.529      Lin-Lin
 9.54051E-05 559.416      Lin-Lin
 0.000105235 532.647      Lin-Lin
 0.000116078 507.159      Lin-Lin
 0.000128039 482.891      Lin-Lin
 0.000141232 459.785      Lin-Lin
 0.000155784 437.783      Lin-Lin
 0.000171835 416.835      Lin-Lin
 0.00018954  396.889      Lin-Lin
 0.00020907  377.898      Lin-Lin
 0.000230612 359.815      Lin-Lin
 0.000254374 342.597      Lin-Lin
 0.000280584 326.204      Lin-Lin
 0.000309494 310.595      Lin-Lin
 0.000341383 295.732      Lin-Lin
 0.000376558 281.581      Lin-Lin
 0.000415358 268.107      Lin-Lin
 0.000458155 255.278      Lin-Lin
 0.000505362 243.063      Lin-Lin
 0.000557433 231.432      Lin-Lin
 0.000614869 220.358      Lin-Lin
 0.000678223 209.813      Lin-Lin
 0.000748105 199.773      Lin-Lin
