#LIBRARY    ENDF/B-VII.1
#REACTION   LI-6(N,NON),SIG
#NUCLEUS    Li-6
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       47206.4      Lin-Lin
 1.10304E-05 44947.5      Lin-Lin
 1.21669E-05 42796.7      Lin-Lin
 1.34206E-05 40748.9      Lin-Lin
 1.48034E-05 38799        Lin-Lin
 1.63286E-05 36942.4      Lin-Lin
 1.80111E-05 35174.7      Lin-Lin
 1.98669E-05 33491.6      Lin-Lin
 2.19139E-05 31888.9      Lin-Lin
 2.41719E-05 30363        Lin-Lin
 2.66625E-05 28910.1      Lin-Lin
 2.94097E-05 27526.8      Lin-Lin
 3.244E-05   26209.6      Lin-Lin
 3.57825E-05 24955.4      Lin-Lin
 3.94694E-05 23761.3      Lin-Lin
 4.35362E-05 22624.3      Lin-Lin
 4.80221E-05 21541.7      Lin-Lin
 5.29701E-05 20510.9      Lin-Lin
 5.8428E-05  19529.4      Lin-Lin
 6.44482E-05 18594.9      Lin-Lin
 7.10888E-05 17705.2      Lin-Lin
 7.84136E-05 16858        Lin-Lin
 8.64931E-05 16051.3      Lin-Lin
 9.54051E-05 15283.2      Lin-Lin
 0.000105235 14551.9      Lin-Lin
 0.000116078 13855.6      Lin-Lin
 0.000128039 13192.6      Lin-Lin
 0.000141232 12561.3      Lin-Lin
 0.000155784 11960.2      Lin-Lin
 0.000171835 11387.9      Lin-Lin
 0.00018954  10843        Lin-Lin
 0.00020907  10324.2      Lin-Lin
 0.000230612 9830.13      Lin-Lin
 0.000254374 9359.75      Lin-Lin
 0.000280584 8911.88      Lin-Lin
 0.000309494 8485.44      Lin-Lin
 0.000341383 8079.4       Lin-Lin
 0.000376558 7692.8       Lin-Lin
 0.000415358 7324.69      Lin-Lin
 0.000458155 6974.2       Lin-Lin
 0.000505362 6640.48      Lin-Lin
 0.000557433 6322.72      Lin-Lin
 0.000614869 6020.18      Lin-Lin
 0.000678223 5732.1       Lin-Lin
 0.000748105 5457.82      Lin-Lin
 0.000825188 5196.66      Lin-Lin
 0.000910213 4947.99      Lin-Lin
 0.001004    4711.23      Lin-Lin
 0.00110745  4485.79      Lin-Lin
 0.00122155  4271.14      Lin-Lin
 0.00134742  4066.76      Lin-Lin
 0.00148625  3872.16      Lin-Lin
 0.00163939  3686.88      Lin-Lin
 0.00180831  3510.46      Lin-Lin
 0.00199463  3342.48      Lin-Lin
 0.00220016  3182.54      Lin-Lin
 0.00242685  3030.25      Lin-Lin
 0.00267691  2885.25      Lin-Lin
 0.00295273  2747.19      Lin-Lin
 0.00325697  2615.73      Lin-Lin
 0.00359256  2490.57      Lin-Lin
 0.00396272  2371.39      Lin-Lin
 0.00437103  2257.92      Lin-Lin
 0.00482141  2149.87      Lin-Lin
 0.00531819  2047         Lin-Lin
 0.00586616  1949.05      Lin-Lin
 0.00647059  1855.78      Lin-Lin
 0.0071373   1766.98      Lin-Lin
 0.00787271  1682.43      Lin-Lin
 0.00868389  1601.92      Lin-Lin
 0.00957865  1525.27      Lin-Lin
 0.0105656   1452.28      Lin-Lin
 0.0116543   1382.79      Lin-Lin
 0.0128551   1316.62      Lin-Lin
 0.0141796   1253.62      Lin-Lin
 0.0156406   1193.63      Lin-Lin
 0.0172522   1136.51      Lin-Lin
 0.0190298   1082.12      Lin-Lin
 0.0209906   1030.34      Lin-Lin
 0.0231534   981.034      Lin-Lin
 0.0252419   939.569      Lin-Lin
 0.0253      938.49       Lin-Lin
 0.0279068   893.578      Lin-Lin
 0.0307823   850.815      Lin-Lin
 0.033954    810.098      Lin-Lin
 0.0374525   771.329      Lin-Lin
 0.0413115   734.415      Lin-Lin
 0.0455681   699.268      Lin-Lin
 0.0502633   665.802      Lin-Lin
 0.0554423   633.938      Lin-Lin
 0.0611549   603.598      Lin-Lin
 0.0674561   574.711      Lin-Lin
 0.0744066   547.206      Lin-Lin
 0.0820732   521.017      Lin-Lin
 0.0905297   496.083      Lin-Lin
 0.0998577   472.344      Lin-Lin
 0.110147    449.744      Lin-Lin
 0.121496    428.23       Lin-Lin
 0.134014    407.751      Lin-Lin
 0.147823    388.258      Lin-Lin
 0.163054    369.704      Lin-Lin
 0.179855    352.039      Lin-Lin
 0.198386    335.217      Lin-Lin
 0.218827    319.195      Lin-Lin
 0.241375    303.933      Lin-Lin
 0.266245    289.394      Lin-Lin
