#LIBRARY    JENDL-4.0
#REACTION   LI-7(N,NON),SIG
#NUCLEUS    Li-7
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       2.2836       Lin-Lin
 1.10304E-05 2.17433      Lin-Lin
 1.21669E-05 2.07028      Lin-Lin
 1.34206E-05 1.97122      Lin-Lin
 1.48034E-05 1.87689      Lin-Lin
 1.63286E-05 1.78708      Lin-Lin
 1.80111E-05 1.70157      Lin-Lin
 1.98669E-05 1.62015      Lin-Lin
 2.19139E-05 1.54262      Lin-Lin
 2.41719E-05 1.46881      Lin-Lin
 2.66625E-05 1.39852      Lin-Lin
 2.94097E-05 1.3316       Lin-Lin
 3.244E-05   1.26788      Lin-Lin
 3.57825E-05 1.20721      Lin-Lin
 3.94694E-05 1.14945      Lin-Lin
 4.35362E-05 1.09445      Lin-Lin
 4.80221E-05 1.04208      Lin-Lin
 5.29701E-05 0.992211     Lin-Lin
 5.8428E-05  0.944733     Lin-Lin
 6.44482E-05 0.899526     Lin-Lin
 7.10888E-05 0.856483     Lin-Lin
 7.84136E-05 0.8155       Lin-Lin
 8.64931E-05 0.776477     Lin-Lin
 9.54051E-05 0.739322     Lin-Lin
 0.000105235 0.703945     Lin-Lin
 0.000116078 0.670261     Lin-Lin
 0.000128039 0.638188     Lin-Lin
 0.000141232 0.60765      Lin-Lin
 0.000155784 0.578574     Lin-Lin
 0.000171835 0.550888     Lin-Lin
 0.00018954  0.524528     Lin-Lin
 0.00020907  0.499429     Lin-Lin
 0.000230612 0.475531     Lin-Lin
 0.000254374 0.452776     Lin-Lin
 0.000280584 0.43111      Lin-Lin
 0.000309494 0.410481     Lin-Lin
 0.000341383 0.390839     Lin-Lin
 0.000376558 0.372137     Lin-Lin
 0.000415358 0.35433      Lin-Lin
 0.000458155 0.337375     Lin-Lin
 0.000505362 0.321232     Lin-Lin
 0.000557433 0.30586      Lin-Lin
 0.000614869 0.291225     Lin-Lin
 0.000678223 0.277289     Lin-Lin
 0.000748105 0.264021     Lin-Lin
 0.000825188 0.251387     Lin-Lin
 0.000910213 0.239358     Lin-Lin
 0.001004    0.227905     Lin-Lin
 0.00110745  0.216999     Lin-Lin
 0.00122155  0.206616     Lin-Lin
 0.00134742  0.196729     Lin-Lin
 0.00148625  0.187315     Lin-Lin
 0.00163939  0.178352     Lin-Lin
 0.00180831  0.169818     Lin-Lin
 0.00199463  0.161692     Lin-Lin
 0.00220016  0.153955     Lin-Lin
 0.00242685  0.146588     Lin-Lin
 0.00267691  0.139573     Lin-Lin
 0.00295273  0.132895     Lin-Lin
 0.00325697  0.126536     Lin-Lin
 0.00359256  0.120481     Lin-Lin
 0.00396272  0.114716     Lin-Lin
 0.00437103  0.109226     Lin-Lin
 0.00482141  0.104        Lin-Lin
 0.00531819  0.0990233    Lin-Lin
 0.00586616  0.094285     Lin-Lin
 0.00647059  0.0897734    Lin-Lin
 0.0071373   0.0854776    Lin-Lin
 0.00787271  0.0813875    Lin-Lin
 0.00868389  0.077493     Lin-Lin
 0.00957865  0.0737849    Lin-Lin
 0.0105656   0.0702542    Lin-Lin
 0.0116543   0.0668925    Lin-Lin
 0.0128551   0.0636916    Lin-Lin
 0.0141796   0.0606439    Lin-Lin
 0.0156406   0.0577421    Lin-Lin
 0.0172522   0.054979     Lin-Lin
 0.0190298   0.0523483    Lin-Lin
 0.0209906   0.0498433    Lin-Lin
 0.0231534   0.0474583    Lin-Lin
 0.0252419   0.0454526    Lin-Lin
 0.0253      0.0454004    Lin-Lin
 0.0279068   0.0432279    Lin-Lin
 0.0307823   0.0411594    Lin-Lin
 0.033954    0.0391899    Lin-Lin
 0.0374525   0.0373146    Lin-Lin
 0.0413115   0.0355291    Lin-Lin
 0.0455681   0.033829     Lin-Lin
 0.0502633   0.0322102    Lin-Lin
 0.0554423   0.030669     Lin-Lin
 0.0611549   0.0292014    Lin-Lin
 0.0674561   0.0278042    Lin-Lin
