#LIBRARY    CENDL-3.1
#REACTION   MG-24(N,NON),SIG
#NUCLEUS    Mg-24
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       2.5295       Lin-Lin
 1.10304E-05 2.40846      Lin-Lin
 1.21669E-05 2.29321      Lin-Lin
 1.34206E-05 2.18348      Lin-Lin
 1.48034E-05 2.079        Lin-Lin
 1.63286E-05 1.97951      Lin-Lin
 1.80111E-05 1.88479      Lin-Lin
 1.98669E-05 1.7946       Lin-Lin
 2.19139E-05 1.70873      Lin-Lin
 2.41719E-05 1.62697      Lin-Lin
 2.66625E-05 1.54911      Lin-Lin
 2.94097E-05 1.47499      Lin-Lin
 3.244E-05   1.40441      Lin-Lin
 3.57825E-05 1.33721      Lin-Lin
 3.94694E-05 1.27322      Lin-Lin
 4.35362E-05 1.2123       Lin-Lin
 4.80221E-05 1.15429      Lin-Lin
 5.29701E-05 1.09905      Lin-Lin
 5.8428E-05  1.04646      Lin-Lin
 6.44482E-05 0.996387     Lin-Lin
 7.10888E-05 0.948709     Lin-Lin
 7.84136E-05 0.903313     Lin-Lin
 8.64931E-05 0.860089     Lin-Lin
 9.54051E-05 0.818933     Lin-Lin
 0.000105235 0.779746     Lin-Lin
 0.000116078 0.742434     Lin-Lin
 0.000128039 0.706908     Lin-Lin
 0.000141232 0.673082     Lin-Lin
 0.000155784 0.640875     Lin-Lin
 0.000171835 0.610208     Lin-Lin
 0.00018954  0.581009     Lin-Lin
 0.00020907  0.553207     Lin-Lin
 0.000230612 0.526736     Lin-Lin
 0.000254374 0.501531     Lin-Lin
 0.000280584 0.477532     Lin-Lin
 0.000309494 0.454682     Lin-Lin
 0.000341383 0.432925     Lin-Lin
 0.000376558 0.412209     Lin-Lin
 0.000415358 0.392485     Lin-Lin
 0.000458155 0.373704     Lin-Lin
 0.000505362 0.355822     Lin-Lin
 0.000557433 0.338795     Lin-Lin
 0.000614869 0.322584     Lin-Lin
 0.000678223 0.307148     Lin-Lin
 0.000748105 0.292451     Lin-Lin
 0.000825188 0.278457     Lin-Lin
 0.000910213 0.265132     Lin-Lin
 0.001004    0.252445     Lin-Lin
 0.00110745  0.240366     Lin-Lin
 0.00122155  0.228864     Lin-Lin
 0.00134742  0.217913     Lin-Lin
 0.00148625  0.207485     Lin-Lin
 0.00163939  0.197557     Lin-Lin
 0.00180831  0.188104     Lin-Lin
 0.00199463  0.179103     Lin-Lin
 0.00220016  0.170533     Lin-Lin
 0.00242685  0.162372     Lin-Lin
 0.00267691  0.154603     Lin-Lin
