#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       91.901       Lin-Lin
 1.10304E-05 87.5035      Lin-Lin
 1.21669E-05 83.3164      Lin-Lin
 1.34206E-05 79.3296      Lin-Lin
 1.48034E-05 75.5336      Lin-Lin
 1.63286E-05 71.9193      Lin-Lin
 1.80111E-05 68.4779      Lin-Lin
 1.98669E-05 65.2011      Lin-Lin
 2.19139E-05 62.0812      Lin-Lin
 2.41719E-05 59.1106      Lin-Lin
 2.66625E-05 56.2821      Lin-Lin
 2.94097E-05 53.5889      Lin-Lin
 3.244E-05   51.0247      Lin-Lin
 3.57825E-05 48.5831      Lin-Lin
 3.94694E-05 46.2583      Lin-Lin
 4.35362E-05 44.0448      Lin-Lin
 4.80221E-05 41.9372      Lin-Lin
 5.29701E-05 39.9305      Lin-Lin
 5.8428E-05  38.0198      Lin-Lin
 6.44482E-05 36.2005      Lin-Lin
 7.10888E-05 34.4683      Lin-Lin
 7.84136E-05 32.819       Lin-Lin
 8.64931E-05 31.2485      Lin-Lin
 9.54051E-05 29.7533      Lin-Lin
 0.000105235 28.3296      Lin-Lin
 0.000116078 26.974       Lin-Lin
 0.000128039 25.6832      Lin-Lin
 0.000141232 24.4543      Lin-Lin
 0.000155784 23.2841      Lin-Lin
 0.000171835 22.1699      Lin-Lin
 0.00018954  21.1091      Lin-Lin
 0.00020907  20.099       Lin-Lin
 0.000230612 19.1373      Lin-Lin
 0.000254374 18.2215      Lin-Lin
 0.000280584 17.3496      Lin-Lin
 0.000309494 16.5194      Lin-Lin
 0.000341383 15.7289      Lin-Lin
 0.000376558 14.9763      Lin-Lin
 0.000415358 14.2597      Lin-Lin
 0.000458155 13.5773      Lin-Lin
 0.000505362 12.9276      Lin-Lin
 0.000557433 12.309       Lin-Lin
 0.000614869 11.7201      Lin-Lin
 0.000678223 11.1592      Lin-Lin
 0.000748105 10.6253      Lin-Lin
 0.000825188 10.1168      Lin-Lin
 0.000910213 9.63274      Lin-Lin
 0.001004    9.1718       Lin-Lin
 0.00110745  8.73292      Lin-Lin
 0.00122155  8.31505      Lin-Lin
 0.00134742  7.91717      Lin-Lin
 0.00148625  7.53832      Lin-Lin
 0.00163939  7.17761      Lin-Lin
 0.00180831  6.83416      Lin-Lin
 0.00199463  6.50714      Lin-Lin
 0.00220016  6.19577      Lin-Lin
 0.00242685  5.8993       Lin-Lin
 0.00267691  5.61701      Lin-Lin
 0.00295273  5.34823      Lin-Lin
 0.00325697  5.09232      Lin-Lin
 0.00359256  4.84865      Lin-Lin
 0.00396272  4.61664      Lin-Lin
 0.00437103  4.39573      Lin-Lin
 0.00482141  4.18539      Lin-Lin
 0.00531819  3.98512      Lin-Lin
 0.00586616  3.79443      Lin-Lin
 0.00647059  3.61286      Lin-Lin
 0.0071373   3.43998      Lin-Lin
 0.00787271  3.27538      Lin-Lin
 0.00868389  3.11865      Lin-Lin
 0.00957865  2.96942      Lin-Lin
 0.0105656   2.82733      Lin-Lin
 0.0116543   2.69204      Lin-Lin
 0.0128551   2.56323      Lin-Lin
 0.0141796   2.44058      Lin-Lin
 0.0156406   2.32379      Lin-Lin
