#LIBRARY    ENDF/B-VII.1
#REACTION   NA-23(N,NON),SIG
#NUCLEUS    Na-23
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       26.5596      Lin-Lin
 1.10304E-05 25.2887      Lin-Lin
 1.21669E-05 24.0786      Lin-Lin
 1.34206E-05 22.9264      Lin-Lin
 1.48034E-05 21.8294      Lin-Lin
 1.63286E-05 20.7848      Lin-Lin
 1.80111E-05 19.7902      Lin-Lin
 1.98669E-05 18.8432      Lin-Lin
 2.19139E-05 17.9416      Lin-Lin
 2.41719E-05 17.0831      Lin-Lin
 2.66625E-05 16.2656      Lin-Lin
 2.94097E-05 15.4873      Lin-Lin
 3.244E-05   14.7462      Lin-Lin
 3.57825E-05 14.0406      Lin-Lin
 3.94694E-05 13.3687      Lin-Lin
 4.35362E-05 12.729       Lin-Lin
 4.80221E-05 12.1199      Lin-Lin
 5.29701E-05 11.54        Lin-Lin
 5.8428E-05  10.9878      Lin-Lin
 6.44482E-05 10.462       Lin-Lin
 7.10888E-05 9.96139      Lin-Lin
 7.84136E-05 9.48473      Lin-Lin
 8.64931E-05 9.03087      Lin-Lin
 9.54051E-05 8.59874      Lin-Lin
 0.000105235 8.18728      Lin-Lin
 0.000116078 7.79551      Lin-Lin
 0.000128039 7.42248      Lin-Lin
 0.000141232 7.06731      Lin-Lin
 0.000155784 6.72913      Lin-Lin
 0.000171835 6.40713      Lin-Lin
 0.00018954  6.10055      Lin-Lin
 0.00020907  5.80863      Lin-Lin
 0.000230612 5.53068      Lin-Lin
 0.000254374 5.26603      Lin-Lin
 0.000280584 5.01404      Lin-Lin
 0.000309494 4.77411      Lin-Lin
 0.000341383 4.54566      Lin-Lin
 0.000376558 4.32815      Lin-Lin
 0.000415358 4.12104      Lin-Lin
 0.000458155 3.92384      Lin-Lin
 0.000505362 3.73608      Lin-Lin
 0.000557433 3.5573       Lin-Lin
 0.000614869 3.38708      Lin-Lin
 0.000678223 3.225        Lin-Lin
 0.000748105 3.07068      Lin-Lin
 0.000825188 2.92374      Lin-Lin
 0.000910213 2.78383      Lin-Lin
 0.001004    2.65062      Lin-Lin
 0.00110745  2.52378      Lin-Lin
 0.00122155  2.40301      Lin-Lin
 0.00134742  2.28802      Lin-Lin
 0.00148625  2.17853      Lin-Lin
 0.00163939  2.07428      Lin-Lin
 0.00180831  1.97502      Lin-Lin
 0.00199463  1.88051      Lin-Lin
 0.00220016  1.79052      Lin-Lin
 0.00242685  1.70484      Lin-Lin
 0.00267691  1.62325      Lin-Lin
 0.00295273  1.54557      Lin-Lin
 0.00325697  1.47161      Lin-Lin
 0.00359256  1.40119      Lin-Lin
 0.00396272  1.33414      Lin-Lin
 0.00437103  1.27029      Lin-Lin
 0.00482141  1.2095       Lin-Lin
 0.00531819  1.15162      Lin-Lin
 0.00586616  1.09651      Lin-Lin
 0.00647059  1.04404      Lin-Lin
 0.0071373   0.994082     Lin-Lin
 0.00787271  0.946512     Lin-Lin
 0.00868389  0.901219     Lin-Lin
 0.00957865  0.858094     Lin-Lin
 0.0105656   0.817033     Lin-Lin
 0.0116543   0.777938     Lin-Lin
 0.0128551   0.740714     Lin-Lin
 0.0141796   0.705271     Lin-Lin
 0.0156406   0.671524     Lin-Lin
 0.0172522   0.639393     Lin-Lin
 0.0190298   0.608799     Lin-Lin
 0.0209906   0.579668     Lin-Lin
 0.0231534   0.551932     Lin-Lin
 0.0252419   0.528609     Lin-Lin
 0.0253      0.528001     Lin-Lin
 0.0279068   0.502741     Lin-Lin
 0.0307823   0.478693     Lin-Lin
 0.033954    0.455804     Lin-Lin
 0.0374525   0.434019     Lin-Lin
 0.0413115   0.413284     Lin-Lin
 0.0455681   0.393547     Lin-Lin
 0.0502633   0.374751     Lin-Lin
 0.0554423   0.356846     Lin-Lin
 0.0611549   0.339785     Lin-Lin
 0.0674561   0.323532     Lin-Lin
 0.0744066   0.308053     Lin-Lin
 0.0820732   0.293314     Lin-Lin
