#LIBRARY    ENDF/B-VII.1
#REACTION   O-16(N,NON),SIG
#NUCLEUS    O-16
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.00955691   Lin-Lin
 1.10304E-05 0.0090996    Lin-Lin
 1.21669E-05 0.00866417   Lin-Lin
 1.34206E-05 0.00824959   Lin-Lin
 1.48034E-05 0.00785484   Lin-Lin
 1.63286E-05 0.00747898   Lin-Lin
 1.80111E-05 0.0071211    Lin-Lin
 1.98669E-05 0.00678035   Lin-Lin
 2.19139E-05 0.0064559    Lin-Lin
 2.41719E-05 0.00614698   Lin-Lin
 2.66625E-05 0.00585284   Lin-Lin
 2.94097E-05 0.00557278   Lin-Lin
 3.244E-05   0.00530612   Lin-Lin
 3.57825E-05 0.00505222   Lin-Lin
 3.94694E-05 0.00481046   Lin-Lin
 4.35362E-05 0.00458028   Lin-Lin
 4.80221E-05 0.00436111   Lin-Lin
 5.29701E-05 0.00415243   Lin-Lin
 5.8428E-05  0.00395373   Lin-Lin
 6.44482E-05 0.00376454   Lin-Lin
 7.10888E-05 0.0035844    Lin-Lin
 7.84136E-05 0.00341288   Lin-Lin
 8.64931E-05 0.00324957   Lin-Lin
 9.54051E-05 0.00309408   Lin-Lin
 0.000105235 0.00294603   Lin-Lin
 0.000116078 0.00280506   Lin-Lin
 0.000128039 0.00267083   Lin-Lin
 0.000141232 0.00254303   Lin-Lin
 0.000155784 0.00242134   Lin-Lin
 0.000171835 0.00230548   Lin-Lin
 0.00018954  0.00219516   Lin-Lin
 0.00020907  0.00209012   Lin-Lin
 0.000230612 0.00199011   Lin-Lin
 0.000254374 0.00189488   Lin-Lin
 0.000280584 0.00180421   Lin-Lin
 0.000309494 0.00171787   Lin-Lin
 0.000341383 0.00163567   Lin-Lin
 0.000376558 0.0015574    Lin-Lin
 0.000415358 0.00148288   Lin-Lin
 0.000458155 0.00141192   Lin-Lin
 0.000505362 0.00134436   Lin-Lin
 0.000557433 0.00128003   Lin-Lin
 0.000614869 0.00121878   Lin-Lin
 0.000678223 0.00116046   Lin-Lin
 0.000748105 0.00110493   Lin-Lin
 0.000825188 0.00105206   Lin-Lin
 0.000910213 0.00100172   Lin-Lin
 0.001004    0.000953786  Lin-Lin
 0.00110745  0.000908146  Lin-Lin
 0.00122155  0.000864691  Lin-Lin
 0.00134742  0.000823314  Lin-Lin
 0.00148625  0.000783918  Lin-Lin
 0.00163939  0.000746407  Lin-Lin
 0.00180831  0.000710691  Lin-Lin
 0.00199463  0.000676684  Lin-Lin
