#LIBRARY    JEFF-3.2
#REACTION   O-17(N,NON),SIG
#NUCLEUS    O-17
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       0.230784     Lin-Lin
 1.10304E-05 0.219741     Lin-Lin
 1.21669E-05 0.209226     Lin-Lin
 1.34206E-05 0.199215     Lin-Lin
 1.48034E-05 0.189682     Lin-Lin
 1.63286E-05 0.180606     Lin-Lin
 1.80111E-05 0.171963     Lin-Lin
 1.98669E-05 0.163735     Lin-Lin
 2.19139E-05 0.1559       Lin-Lin
 2.41719E-05 0.14844      Lin-Lin
 2.66625E-05 0.141337     Lin-Lin
 2.94097E-05 0.134574     Lin-Lin
 3.244E-05   0.128134     Lin-Lin
 3.57825E-05 0.122003     Lin-Lin
 3.94694E-05 0.116165     Lin-Lin
 4.35362E-05 0.110607     Lin-Lin
 4.80221E-05 0.105314     Lin-Lin
 5.29701E-05 0.100275     Lin-Lin
 5.8428E-05  0.0954764    Lin-Lin
 6.44482E-05 0.0909077    Lin-Lin
 7.10888E-05 0.0865577    Lin-Lin
 7.84136E-05 0.0824158    Lin-Lin
 8.64931E-05 0.0784722    Lin-Lin
 9.54051E-05 0.0747172    Lin-Lin
 0.000105235 0.0711419    Lin-Lin
 0.000116078 0.0677377    Lin-Lin
 0.000128039 0.0644964    Lin-Lin
 0.000141232 0.0614102    Lin-Lin
 0.000155784 0.0584717    Lin-Lin
 0.000171835 0.0556737    Lin-Lin
 0.00018954  0.0530097    Lin-Lin
 0.00020907  0.0504731    Lin-Lin
 0.000230612 0.048058     Lin-Lin
 0.000254374 0.0457583    Lin-Lin
 0.000280584 0.0435688    Lin-Lin
 0.000309494 0.041484     Lin-Lin
 0.000341383 0.0394989    Lin-Lin
 0.000376558 0.0376089    Lin-Lin
 0.000415358 0.0358092    Lin-Lin
 0.000458155 0.0340957    Lin-Lin
 0.000505362 0.0324642    Lin-Lin
 0.000557433 0.0309108    Lin-Lin
 0.000614869 0.0294317    Lin-Lin
 0.000678223 0.0280233    Lin-Lin
 0.000748105 0.0266824    Lin-Lin
 0.000825188 0.0254056    Lin-Lin
 0.000910213 0.0241899    Lin-Lin
 0.001004    0.0230324    Lin-Lin
 0.00110745  0.0219303    Lin-Lin
 0.00122155  0.0208809    Lin-Lin
 0.00134742  0.0198818    Lin-Lin
 0.00148625  0.0189304    Lin-Lin
 0.00163939  0.0180246    Lin-Lin
 0.00180831  0.0171621    Lin-Lin
 0.00199463  0.0163408    Lin-Lin
 0.00220016  0.0155589    Lin-Lin
 0.00242685  0.0148144    Lin-Lin
 0.00267691  0.0141055    Lin-Lin
 0.00295273  0.0134306    Lin-Lin
 0.00325697  0.0127879    Lin-Lin
 0.00359256  0.012176     Lin-Lin
 0.00396272  0.0115934    Lin-Lin
 0.00437103  0.0110386    Lin-Lin
 0.00482141  0.0105104    Lin-Lin
 0.00531819  0.0100075    Lin-Lin
 0.00586616  0.00952859   Lin-Lin
 0.00647059  0.00907264   Lin-Lin
 0.0071373   0.0086385    Lin-Lin
 0.00787271  0.00822514   Lin-Lin
 0.00868389  0.00783156   Lin-Lin
 0.00957865  0.00745681   Lin-Lin
 0.0105656   0.00709999   Lin-Lin
 0.0116543   0.00676025   Lin-Lin
 0.0128551   0.00643676   Lin-Lin
 0.0141796   0.00612875   Lin-Lin
 0.0156406   0.00583548   Lin-Lin
 0.0172522   0.00555625   Lin-Lin
 0.0190298   0.00529038   Lin-Lin
 0.0209906   0.00503722   Lin-Lin
 0.0231534   0.00479619   Lin-Lin
 0.0252419   0.00459349   Lin-Lin
 0.0253      0.00458821   Lin-Lin
 0.0279068   0.00436866   Lin-Lin
 0.0307823   0.00415962   Lin-Lin
 0.033954    0.0039606    Lin-Lin
 0.0374525   0.00377113   Lin-Lin
