#LIBRARY    JEFF-3.2
#REACTION   S-34(N,NON),SIG
#NUCLEUS    S-34
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       12.8858      Lin-Lin
 1.10304E-05 12.2692      Lin-Lin
 1.21669E-05 11.6821      Lin-Lin
 1.34206E-05 11.1231      Lin-Lin
 1.48034E-05 10.5908      Lin-Lin
 1.63286E-05 10.0841      Lin-Lin
 1.80111E-05 9.60153      Lin-Lin
 1.98669E-05 9.14209      Lin-Lin
 2.19139E-05 8.70463      Lin-Lin
 2.41719E-05 8.28811      Lin-Lin
 2.66625E-05 7.89151      Lin-Lin
 2.94097E-05 7.5139       Lin-Lin
 3.244E-05   7.15435      Lin-Lin
 3.57825E-05 6.81201      Lin-Lin
 3.94694E-05 6.48605      Lin-Lin
 4.35362E-05 6.17568      Lin-Lin
 4.80221E-05 5.88017      Lin-Lin
 5.29701E-05 5.5988       Lin-Lin
 5.8428E-05  5.33089      Lin-Lin
 6.44482E-05 5.0758       Lin-Lin
 7.10888E-05 4.83292      Lin-Lin
 7.84136E-05 4.60166      Lin-Lin
 8.64931E-05 4.38147      Lin-Lin
 9.54051E-05 4.17181      Lin-Lin
 0.000105235 3.97219      Lin-Lin
 0.000116078 3.78211      Lin-Lin
 0.000128039 3.60114      Lin-Lin
 0.000141232 3.42882      Lin-Lin
 0.000155784 3.26475      Lin-Lin
 0.000171835 3.10852      Lin-Lin
 0.00018954  2.95978      Lin-Lin
 0.00020907  2.81815      Lin-Lin
 0.000230612 2.6833       Lin-Lin
 0.000254374 2.5549       Lin-Lin
 0.000280584 2.43265      Lin-Lin
 0.000309494 2.31624      Lin-Lin
 0.000341383 2.20541      Lin-Lin
 0.000376558 2.09987      Lin-Lin
 0.000415358 1.99939      Lin-Lin
 0.000458155 1.90372      Lin-Lin
 0.000505362 1.81262      Lin-Lin
 0.000557433 1.72589      Lin-Lin
 0.000614869 1.6433       Lin-Lin
 0.000678223 1.56467      Lin-Lin
 0.000748105 1.4898       Lin-Lin
 0.000825188 1.41851      Lin-Lin
 0.000910213 1.35063      Lin-Lin
 0.001004    1.286        Lin-Lin
 0.00110745  1.22446      Lin-Lin
 0.00122155  1.16587      Lin-Lin
 0.00134742  1.11008      Lin-Lin
 0.00148625  1.05696      Lin-Lin
 0.00163939  1.00639      Lin-Lin
 0.00180831  0.958228     Lin-Lin
 0.00199463  0.912375     Lin-Lin
 0.00220016  0.868716     Lin-Lin
 0.00242685  0.827146     Lin-Lin
 0.00267691  0.787565     Lin-Lin
 0.00295273  0.749878     Lin-Lin
 0.00325697  0.713994     Lin-Lin
 0.00359256  0.679827     Lin-Lin
 0.00396272  0.647295     Lin-Lin
 0.00437103  0.61632      Lin-Lin
 0.00482141  0.586827     Lin-Lin
 0.00531819  0.558745     Lin-Lin
 0.00586616  0.532007     Lin-Lin
 0.00647059  0.506548     Lin-Lin
 0.0071373   0.482307     Lin-Lin
 0.00787271  0.459226     Lin-Lin
 0.00868389  0.437249     Lin-Lin
 0.00957865  0.416324     Lin-Lin
 0.0105656   0.3964       Lin-Lin
 0.0116543   0.377429     Lin-Lin
 0.0128551   0.359366     Lin-Lin
 0.0141796   0.342168     Lin-Lin
 0.0156406   0.325792     Lin-Lin
 0.0172522   0.310201     Lin-Lin
 0.0190298   0.295357     Lin-Lin
 0.0209906   0.281225     Lin-Lin
 0.0231534   0.267773     Lin-Lin
 0.0252419   0.256464     Lin-Lin
 0.0253      0.25617      Lin-Lin
 0.0279068   0.243924     Lin-Lin
 0.0307823   0.232266     Lin-Lin
 0.033954    0.221163     Lin-Lin
 0.0374525   0.210584     Lin-Lin
 0.0413115   0.200502     Lin-Lin
 0.0455681   0.190897     Lin-Lin
 0.0502633   0.181752     Lin-Lin
 0.0554423   0.173047     Lin-Lin
 0.0611549   0.164765     Lin-Lin
 0.0674561   0.156883     Lin-Lin
 0.0744066   0.149375     Lin-Lin
 0.0820732   0.142218     Lin-Lin
 0.0905297   0.135398     Lin-Lin
 0.0998577   0.128904     Lin-Lin
 0.110147    0.122723     Lin-Lin
 0.121496    0.116844     Lin-Lin
 0.134014    0.111254     Lin-Lin
 0.147823    0.105929     Lin-Lin
 0.163054    0.100849     Lin-Lin
 0.179855    0.096006     Lin-Lin
 0.198386    0.0913951    Lin-Lin
 0.218827    0.0870056    Lin-Lin
 0.241375    0.0828287    Lin-Lin
 0.266245    0.0788615    Lin-Lin
 0.293678    0.0750852    Lin-Lin
 0.323938    0.0714756    Lin-Lin
 0.357316    0.0680354    Lin-Lin
 0.394132    0.0647601    Lin-Lin
 0.434743    0.0616418    Lin-Lin
 0.479537    0.0586745    Lin-Lin
 0.528947    0.0558633    Lin-Lin
 0.587564    0.052986     Lin-Lin
 0.648105    0.0504261    Lin-Lin
 0.714884    0.0479886    Lin-Lin
 0.788543    0.0456675    Lin-Lin
 0.869792    0.0434571    Lin-Lin
 0.959413    0.0413518    Lin-Lin
 1.05827     0.0393473    Lin-Lin
 1.16731     0.037451     Lin-Lin
 1.28758     0.0356289    Lin-Lin
 1.42025     0.0338919    Lin-Lin
 1.56659     0.0322373    Lin-Lin
 1.72801     0.0306613    Lin-Lin
 1.90606     0.0291592    Lin-Lin
 2.10245     0.0277279    Lin-Lin
 2.31908     0.0263766    Lin-Lin
 2.54012     0.0251643    Lin-Lin
 2.78235     0.024004     Lin-Lin
 3.06904     0.0228104    Lin-Lin
 3.38526     0.0216745    Lin-Lin
 3.73407     0.0205897    Lin-Lin
 4.11881     0.0195558    Lin-Lin
 4.48        0.0187139    Lin-Lin
 4.94161     0.0177657    Lin-Lin
 5.41259     0.0169238    Lin-Lin
 5.92876     0.0161167    Lin-Lin
 6.49383     0.0153418    Lin-Lin
 7.16294     0.0145457    Lin-Lin
 7.90098     0.0137837    Lin-Lin
 8.71508     0.0130574    Lin-Lin
 9.74868     0.0122679    Lin-Lin
 10.7531     0.0116087    Lin-Lin
 11.6961     0.0110654    Lin-Lin
 12.7218     0.010542     Lin-Lin
 13.935      0.00999452   Lin-Lin
 15.2631     0.00947272   Lin-Lin
 16.7187     0.0089688    Lin-Lin
 18.0574     0.00856534   Lin-Lin
