#LIBRARY    ENDF/B-VII.1
#REACTION   SI-30(N,NON),SIG
#NUCLEUS    Si-30
#MF         3
#MT         3
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       5.38603      Lin-Lin
 1.10304E-05 5.12831      Lin-Lin
 1.21669E-05 4.88291      Lin-Lin
 1.34206E-05 4.64926      Lin-Lin
 1.48034E-05 4.42679      Lin-Lin
 1.63286E-05 4.21496      Lin-Lin
 1.80111E-05 4.01327      Lin-Lin
 1.98669E-05 3.82123      Lin-Lin
 2.19139E-05 3.63839      Lin-Lin
 2.41719E-05 3.46429      Lin-Lin
 2.66625E-05 3.29852      Lin-Lin
 2.94097E-05 3.14068      Lin-Lin
 3.244E-05   2.99039      Lin-Lin
 3.57825E-05 2.8473       Lin-Lin
 3.94694E-05 2.71106      Lin-Lin
 4.35362E-05 2.58133      Lin-Lin
 4.80221E-05 2.45781      Lin-Lin
 5.29701E-05 2.3402       Lin-Lin
 5.8428E-05  2.22822      Lin-Lin
 6.44482E-05 2.1216       Lin-Lin
 7.10888E-05 2.02008      Lin-Lin
 7.84136E-05 1.92342      Lin-Lin
 8.64931E-05 1.83138      Lin-Lin
 9.54051E-05 1.74375      Lin-Lin
 0.000105235 1.66031      Lin-Lin
 0.000116078 1.58086      Lin-Lin
 0.000128039 1.50521      Lin-Lin
 0.000141232 1.43319      Lin-Lin
 0.000155784 1.36461      Lin-Lin
 0.000171835 1.29931      Lin-Lin
 0.00018954  1.23714      Lin-Lin
 0.00020907  1.17794      Lin-Lin
 0.000230612 1.12157      Lin-Lin
 0.000254374 1.06791      Lin-Lin
 0.000280584 1.01681      Lin-Lin
 0.000309494 0.96815      Lin-Lin
 0.000341383 0.921824     Lin-Lin
 0.000376558 0.877714     Lin-Lin
 0.000415358 0.835714     Lin-Lin
 0.000458155 0.795725     Lin-Lin
 0.000505362 0.757648     Lin-Lin
 0.000557433 0.721394     Lin-Lin
 0.000614869 0.686875     Lin-Lin
 0.000678223 0.654007     Lin-Lin
 0.000748105 0.622712     Lin-Lin
 0.000825188 0.592915     Lin-Lin
 0.000910213 0.564544     Lin-Lin
 0.001004    0.53753      Lin-Lin
 0.00110745  0.511808     Lin-Lin
 0.00122155  0.487318     Lin-Lin
 0.00134742  0.463999     Lin-Lin
 0.00148625  0.441797     Lin-Lin
 0.00163939  0.420656     Lin-Lin
 0.00180831  0.400527     Lin-Lin
 0.00199463  0.381362     Lin-Lin
 0.00220016  0.363113     Lin-Lin
 0.00242685  0.345738     Lin-Lin
 0.00267691  0.329194     Lin-Lin
 0.00295273  0.313442     Lin-Lin
 0.00325697  0.298444     Lin-Lin
 0.00359256  0.284163     Lin-Lin
 0.00396272  0.270565     Lin-Lin
 0.00437103  0.257619     Lin-Lin
 0.00482141  0.245291     Lin-Lin
 0.00531819  0.233554     Lin-Lin
 0.00586616  0.222378     Lin-Lin
 0.00647059  0.211737     Lin-Lin
 0.0071373   0.201605     Lin-Lin
 0.00787271  0.191958     Lin-Lin
 0.00868389  0.182773     Lin-Lin
 0.00957865  0.174027     Lin-Lin
 0.0105656   0.1657       Lin-Lin
 0.0116543   0.157771     Lin-Lin
 0.0128551   0.150221     Lin-Lin
 0.0141796   0.143033     Lin-Lin
 0.0156406   0.136189     Lin-Lin
 0.0172522   0.129673     Lin-Lin
 0.0190298   0.123468     Lin-Lin
 0.0209906   0.117561     Lin-Lin
 0.0231534   0.111937     Lin-Lin
 0.0252419   0.107209     Lin-Lin
 0.0253      0.107085     Lin-Lin
 0.0279068   0.101965     Lin-Lin
 0.0307823   0.0970918    Lin-Lin
 0.033954    0.092452     Lin-Lin
 0.0374525   0.0880336    Lin-Lin
 0.0413115   0.0838245    Lin-Lin
 0.0455681   0.0798143    Lin-Lin
 0.0502633   0.0759942    Lin-Lin
 0.0554423   0.0723576    Lin-Lin
 0.0611549   0.0688968    Lin-Lin
 0.0674561   0.0656032    Lin-Lin
 0.0744066   0.0624667    Lin-Lin
